"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-11-10 02:",3503,0,11.4,0,0.1,80,0,6,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636.9499,1383.8333,1716.0949,901.2077,856.6163,769.6756,1030.4655,1423.5108,1974.0918,1541.0874,1247.4655,807.0559,611.784,1204.1975,1829.6719,1532.6327,1714.7887,1114.6792,1015.8434,838.5546,1491.3146,1933.9232,2207.9852,1591.2058,1362.9427,898.2017,678.5606,1573.9414,8,0,6377,6099,3463,3502,3540,3266
"2022-09-18 06:",544,1,23.1,0,1.2,91,0,7,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1621.0766,1370.414,1812.848,1029.4992,868.5204,730.5853,1027.1446,1384.928,2034.4444,1591.9282,1292.4064,830.7729,628.2755,1319.1015,1793.8361,1502.6144,1759.029,1213.9764,1008.0752,964.0333,1522.3727,1862.219,2223.9005,1612.1461,1353.579,853.6613,710.6178,1601.3291,69,186,6377,6099,3463,3502,3540,3266
"2022-12-25 00:",544,0,-8.5,0,1.8,65,1.6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1568.5976,1326.05,1720.5352,1008.3661,797.8982,756.0046,1083.7033,1401.5832,1993.4323,1619.1667,1297.8384,829.3286,626.7398,1228.3938,1742.0533,1459.2384,1700.6811,1143.2915,1052.0089,880.0768,1473.902,1883.9804,2295.4336,1504.4764,1334.7681,838.2305,658.4917,1458.979,12,0,6377,6099,3463,3502,3540,3266
"2022-11-25 05:",544,0,7.7,0,2,82,0,8,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630.3716,1378.2722,1781.8441,930.4064,919.1036,781.5941,1082.3257,1540.7451,2030.1324,1662.5704,1268.8108,881.1381,688.0295,1348.3331,1866.4172,1563.4122,1817.227,1093.7979,1033.8855,882.8212,1515.2107,2055.6931,2222.86,1630.7689,1443.755,912.8532,693.2934,1512.0525,55,190,6377,6099,3463,3502,3540,3266
"2022-01-06 19:",3521,0,0,0,3.2,37,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1528.1892,1291.8894,1250.1307,843.9651,825.1994,760.5174,1101.3868,1251.7572,1594.0738,1421.8455,1287.7402,855.1092,665.1812,1344.6014,1868.8209,1565.4254,1233.5693,1062.0294,859.3692,838.0332,1469.8612,1830.3488,2092.2531,1529.0637,1412.9247,1048.2535,758.6052,1791.3959,224,454,6377,6099,3463,3502,3540,3266
"2022-12-08 15:",3521,0,8.1,0,1.9,23,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1879.3155,1588.7224,1508.5629,845.5117,724.1169,688.4964,843.607,919.4021,1144.9564,1039.0454,903.3441,749.5602,535.8534,1283.3354,2062.0758,1727.3068,1654.8252,957.8824,909.9175,832.1105,1401.7166,1538.9271,1751.3707,1286.4398,1345.1063,1148.1782,691.5174,1784.0279,284,698,6377,6099,3463,3502,3540,3266
"2022-09-04 19:",3516,1,23.9,7.1,2.6,97,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1280.5431,1082.5364,1358.7621,846.1385,805.2087,769.2293,1109.1939,1511.2602,1845.7949,1418.5958,1158.1327,834.6774,657.3629,1109.4598,1656.3747,1387.4694,1360.3866,1072.6472,1021.137,985.9829,1505.8504,1750.7762,2155.1447,1473.8124,1355.2294,883.4264,646.9487,1505.6694,149,297,6377,6099,3463,3502,3540,3266
"2022-07-31 00:",3516,0,29,0,3,75,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1397.2692,1181.2139,1701.4379,1073.3331,916.1469,915.1784,1165.4261,1439.1707,1862.0134,1626.0656,1290.5063,782.5328,656.4106,1150.1691,1581.774,1324.9795,1835.6951,1234.8023,1194.8859,1012.6143,1435.2889,1657.6783,2202.441,1514.6487,1339.6667,848.949,653.1066,1509.704,14,1,6377,6099,3463,3502,3540,3266
"2022-05-07 11:",3570,6,19.1,0,4.1,58,0,7,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,611.9526,284.9924,603.1389,925.1583,1256.8725,1206.2852,1004.1345,997.7169,878.969,740.1608,708.6321,625.8582,412.4089,845.1005,613.3651,326.6962,542.6004,1042.2265,1196.3308,1047.0113,1062.5596,927.1271,918.8218,872.8063,919.9478,634.1654,575.7831,1324.3851,320,1235,6377,6099,3463,3502,3540,3266
"2022-06-14 07:",3878,0,19.7,0,4.2,61,0,7,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744.8831,1475.0774,1527.317,1055.0133,894.666,881.1088,1051.9562,1633.179,1677.6074,1422.9859,1214.3247,842.3447,696.1437,1210.1531,1965.7602,1646.6273,1681.8605,1260.5242,1168.1753,998.1422,1603.4709,1942.2802,2204.2943,1640.9424,1442.3967,960.0283,828.1765,1707.599,462,1823,6377,6099,3463,3502,3540,3266
