"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-08-27 21:",3508,1,21.2,0,2.7,61,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,545.9797,251.9904,1413.2,5361.3017,4761.0765,2392.4573,1780.6841,1129.0587,1131.7231,951.0683,935.4533,661.5633,431.0551,883.9833,648.8008,301.301,1778.1729,7493.4949,4715.8732,2162.2528,1514.4221,960.6496,965.2622,905.9531,807.1574,680.9828,573.393,1269.2573,595,3676,6377,6099,3463,3502,3540,3266
"2022-03-18 07:",3508,0,6.8,0,6.5,69,0,10,52.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.0661,244.184,1004.7983,3422.0921,3532.8121,1907.5397,1370.8382,1082.3951,1050.0671,940.9163,786.5158,611.7378,474.825,880.5733,419.5209,194.8239,1097.4027,5672.0971,3758.0877,1896.8749,1385.0524,878.6541,933.8496,815.498,760.6923,645.5232,538.9869,1345.5595,428,2234,6377,6099,3463,3502,3540,3266
"2022-01-16 02:",3508,1,2.3,0,2.1,73,0,9,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,409.5083,189.0035,496.2466,3042.3727,3505.3914,1839.5115,1253.9553,838.7265,977.9288,727.3213,771.5709,521.6082,395.969,733.2047,337.4698,156.7199,685.7616,5062.7687,3651.5311,1804.0246,1223.0808,713.3655,684.1347,742.5794,681.4515,628.2365,512.1871,1119.7321,11,0,6377,6099,3463,3502,3540,3266
"2022-11-26 12:",3508,3,8.7,0,4,39,0,0,125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,583.288,269.2094,1042.2831,3614.1622,3416.7589,1927.1468,1732.6593,1197.2766,1384.187,1020.2021,863.2933,641.8675,454.44,836.6444,707.0179,328.3372,1508.6203,5448.834,3792.2418,2025.6855,1593.3176,1167.0805,1167.0921,924.4105,882.8324,726.7246,608.0175,1125.7242,502,2768,6377,6099,3463,3502,3540,3266
"2022-02-05 23:",3508,0,-8,0,1,58,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,440.8923,203.4884,451.6761,2894.03,3705.843,1877.9003,1269.1009,917.8672,983.2355,747.4561,759.5587,536.9983,363.4031,850.1851,363.3336,168.7311,674.1416,4787.1414,3717.0541,1816.1793,1144.9395,702.9857,666.6652,714.3933,646.137,624.8815,514.2385,1133.5609,137,284,6377,6099,3463,3502,3540,3266
"2022-09-19 08:",3508,2,25,0,4.9,71,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.7826,187.2842,984.9597,3880.3068,3283.5738,1728.4366,1439.6553,1117.6851,1287.2695,1054.6181,991.4213,620.7606,466.6405,845.8036,330.893,153.6657,1302.8291,5945.3179,3477.5001,1818.0475,1386.3467,1005.0721,1067.705,958.3953,769.9569,665.3775,532.0255,1364.3574,810,4830,6377,6099,3463,3502,3540,3266
"2022-02-06 04:",3508,0,-7.8,0,0.2,62,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,490.6335,226.446,482.9852,2985.2946,3653.7656,1840.6429,1214.3375,798.1783,973.2223,718.68,684.494,489.5766,367.8064,812.9497,351.3229,163.1534,662.9077,4780.0438,3788.4332,1861.7643,1170.2376,703.2816,667.7933,732.0471,629.9544,633.4304,509.4217,1087.3172,20,3,6377,6099,3463,3502,3540,3266
"2022-10-24 19:",3508,1,11.3,0,2.8,40,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,531.8638,245.4756,1354.6564,4775.1368,4052.8847,2148.3431,1756.5578,1147.0357,1256.3775,1100.8749,975.7807,671.522,477.906,938.1167,561.9617,260.9732,1788.9927,6997.0994,4349.6486,2217.1972,1600.3741,995.985,1092.9478,975.0243,969.9003,758.367,590.6305,1287.1365,804,2937,6377,6099,3463,3502,3540,3266
"2022-07-28 20:",3508,1,31.1,0,2.2,61,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,573.4315,264.6601,1257.604,4361.251,3888.7442,2197.3869,1692.4488,1224.5148,1176.606,1020.0195,839.5943,651.925,428.1611,859.3497,638.9349,296.7195,1897.3448,6624.1991,4292.2514,2122.6472,1524.1308,963.0123,987.6376,945.2594,872.4017,785.2165,536.8142,1326.237,661,2851,6377,6099,3463,3502,3540,3266
"2022-02-03 14:",3508,0,-0.3,0,3.9,35,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,513.1402,236.8336,743.2015,2620.9792,2720.5832,1776.7648,1513.4468,1267.9497,1314.9807,1093.5743,1140.0343,719.8352,572.239,955.3927,472.3067,219.338,1405.0421,3928.7682,2959.0063,1709.4964,1371.4647,1116.0326,1084.7349,1056.06,998.5151,770.0335,601.7878,1269.6216,512,1777,6377,6099,3463,3502,3540,3266
"2022-08-11 04:",3508,0,23.7,5.2,2,95,0,10,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.4388,199.1256,664.0599,3449.7763,3649.898,1924.443,1388.6622,915.8757,955.8612,785.4679,794.7813,565.9469,411.962,820.8506,437.3793,203.1177,929.9567,5628.4358,3883.4078,1956.1463,1305.0684,718.188,785.9364,751.0662,643.0008,630.5291,529.4234,1236.1894,47,13,6377,6099,3463,3502,3540,3266
"2022-07-03 09:",3508,1,28.3,0,0.8,76,0,3,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,531.2631,245.1975,645.5825,3254.174,3458.4603,1870.4205,1327.6768,991.0302,975.949,848.6458,749.2122,524.5896,449.9432,738.1204,433.0002,201.0837,914.3856,4837.567,3523.4849,1778.4911,1213.1266,845.3233,884.2463,783.0152,709.2119,682.5852,553.701,1146.5777,277,1345,6377,6099,3463,3502,3540,3266
"2022-10-26 22:",3508,2,12.7,0,1,59,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,394.6999,182.1689,1800.7916,6854.6898,4471.428,2170.1587,1697.7802,1219.3628,1238.3348,971.9863,868.7663,645.0516,400.053,839.963,441.874,205.2049,2276.7819,9630.8242,4731.3786,2142.5635,1474.9024,927.2464,1012.2523,805.7711,857.7752,699.8242,577.5931,1252.5724,735,3677,6377,6099,3463,3502,3540,3266
"2022-09-06 14:",3508,4,25,0,4.1,61,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,471.6609,217.6895,1498.6022,4688.1995,3207.0761,1680.1581,1567.5393,1232.5058,1325.4863,1214.8597,1118.0194,712.4668,570.3499,1016.5102,418.5914,194.3927,1877.7385,6343.0001,3226.7651,1842.4532,1541.8872,1247.2241,1271.3798,1147.2112,1009.7343,832.0569,728.3783,1268.0573,446,2276,6377,6099,3463,3502,3540,3266
"2022-08-29 23:",3508,0,20.5,0,3,71,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,386.1704,178.2324,848.0604,4232.6442,3760.0988,1943.3236,1432.919,1033.2366,981.4135,823.5039,776.8554,582.6293,376.9121,790.3903,388.7925,180.5542,1317.7375,6459.8757,4106.8843,1897.6872,1275.2029,782.774,778.6517,757.4021,638.0109,630.0508,498.6907,1139.3144,334,1436,6377,6099,3463,3502,3540,3266
"2022-03-12 21:",3508,0,13.7,0.2,4,92,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,598.9767,276.4501,2106.0255,5450.8843,4803.3229,2342.6648,1645.6216,1088.0652,1108.7546,897.5462,829.0426,587.6376,471.91,850.5146,526.1634,244.3486,2296.2416,7064.9519,4460.7335,2164.5278,1326.2422,887.3208,887.0224,848.5593,768.6064,631.649,584.7629,1158.6136,412,2996,6377,6099,3463,3502,3540,3266
