"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-09-29 04:",3508,1,17,0,1.3,89,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.3021,205.0624,795.6084,3870.649,3862.9655,1931.133,1340.9301,952.8083,1058.4565,844.7157,748.0354,560.0248,439.0625,850.713,363.2038,168.6704,1104.0044,6454.8779,4079.1442,1943.0848,1353.9596,749.7296,801.5881,755.8724,678.2212,622.7548,501.1443,1248.0372,43,7,6377,6099,3463,3502,3540,3266
"2022-12-16 14:",3860,0,-2.7,0,2.7,39,1.9,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,623.3813,287.7138,1404.2987,4035.4459,2950.8958,1737.3618,1633.1904,1207.4353,1311.9075,1060.1478,1069.6577,715.249,560.8594,944.3903,556.6178,258.4914,1821.6747,6155.8275,3124.0905,1773.3537,1552.3629,1318.6694,1324.366,1166.0101,1194.9847,788.5381,656.5117,1387.6674,577,2705,6377,6099,3463,3502,3540,3266
"2022-07-18 20:",552,2,27.9,0,2.2,67,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1289.0975,701.1303,1165.5338,1026.8975,1023.7288,1050.8533,1217.0512,1094.5799,1304.0923,1247.8201,1121.4051,770.5479,555.3255,993.4369,1473.8792,770.378,1212.0638,1086.6937,1226.8459,1092.893,1284.1391,1153.5119,1548.8403,1211.2497,1274.021,1112.4219,684.9956,1498.1291,476,845,6377,6099,3463,3502,3540,3266
"2022-06-30 15:",3541,0,22.5,8.2,3.6,98,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,377.0067,158.1945,500.2144,1315.9818,1040.6727,764.8801,1032.3658,897.4048,951.7936,943.083,1066.8234,754.607,581.4984,943.9269,471.6641,230.6544,656.2807,1698.1714,1188.4064,1011.7463,1029.5188,1011.6521,989.1553,956.2604,1065.7683,956.169,664.5656,1627.5117,252,271,6377,6099,3463,3502,3540,3266
"2022-10-05 11:",3863,0,18.5,0,2.3,65,0,6,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340.5296,142.5223,641.1184,2459.8112,1606.8606,909.704,921.1607,814.2515,850.8707,678.8968,670.5054,419.6124,377.3499,656.6907,271.7072,133.1221,934.9197,2733.9491,1346.3585,878.5212,922.2029,741.2211,663.9062,644.2237,600.9133,527.477,397.2726,910.9835,392,0,6377,6099,3463,3502,3540,3266
"2022-03-27 04:",3533,0,6.4,0,1,71,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1097.5753,566.5669,703.9967,836.4441,896.2107,784.068,1118.9028,963.5507,992.5731,963.6354,935.6892,696.0047,477.1114,963.1249,941.8825,500.647,822.0664,969.9473,950.2758,1042.8033,1117.6256,995.0818,1016.1389,937.3063,1054.8686,838.2443,609.7683,1374.7724,6,0,6377,6099,3463,3502,3540,3266
"2022-01-09 09:",3528,0,-0.6,0,1,88,0,6,146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1560.3917,1319.1124,1567.1658,971.3423,893.3983,765.8126,1059.2632,1507.1541,1811.7182,1556.6364,1308.24,909.5071,654.7356,1255.7826,1766.3107,1479.5575,1513.6781,1150.3024,954.3958,923.0688,1527.2272,1882.9011,2070.6604,1508.64,1521.2735,942.5755,693.5709,1635.0415,103,415,6377,6099,3463,3502,3540,3266
"2022-06-17 02:",3853,0,17.9,0,0.1,83,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.3869,143.1291,235.1604,563.9041,756.4593,834.8433,691.79,532.3289,551.4876,441.2019,412.8285,311.0461,216.3167,419.5495,399.9429,142.9961,252.5862,802.5939,956.8568,938.018,788.2039,525.9253,364.9188,413.2894,511.796,351.1502,346.0803,783.8375,27,0,6377,6099,3463,3502,3540,3266
"2022-05-19 09:",3543,0,20.5,0,3.8,49,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.4966,108.1886,542.5692,1369.4294,1359.6702,995.0585,935.9403,647.2879,781.0974,636.3846,557.5099,456.7031,297.7301,651.4045,359.3697,176.0716,606.286,1840.0041,1270.6967,905.3244,895.045,678.5166,704.6957,616.1181,609.2219,522.0743,403.4587,1009.0035,692,0,6377,6099,3463,3502,3540,3266
"2022-07-19 15:",3533,16,30.7,0,3.5,59,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1073.0396,553.901,643.881,799.2556,796.1455,594.4568,768.0007,743.3044,778.2186,633.2038,556.6536,516.3731,427.4774,791.2561,1009.7708,536.7325,634.069,890.224,831.4047,738.1178,1108.0173,827.8089,1015.6485,938.9073,987.2675,832.1622,632.8822,1398.834,340,0,6377,6099,3463,3502,3540,3266
