"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-12-26 06:",3500,0,-7.1,0,1,83,1.2,0,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606.5895,213.3848,261.6693,471.3176,774.4879,873.1547,801.8987,599.8704,597.051,450.477,596.2443,428.1082,323.7762,578.8481,511.3989,201.3198,296.7335,647.2474,1018.4879,927.125,815.3568,610.93,540.0027,514.0323,607.1832,581.6911,374.4894,886.2071,166,0,6377,6099,3463,3502,3540,3266
"2022-11-30 12:",3500,0,-4.7,0,4.9,41,0,3,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,310.6575,109.2825,94.5359,365.5278,541.1437,544.135,584.9586,539.1615,596.4711,551.3613,611.511,420.9271,318.9687,614.3605,299.2433,117.8017,82.0848,396.7604,611.8713,558.3871,529.9866,488.801,446.0496,596.2665,588.3858,548.5696,368.8382,944.3953,201,0,6377,6099,3463,3502,3540,3266
"2022-04-23 22:",3500,8,18,0,2,47,0,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,618.3014,217.505,235.815,423.3933,711.6148,814.616,747.0192,573.9265,587.7128,525.9866,655.5369,468.5361,348.1498,541.9147,524.1184,206.3268,264.9877,614.8574,851.3945,802.751,758.077,513.9284,631.2201,547.7597,653.7373,566.268,396.827,875.422,126,0,6377,6099,3463,3502,3540,3266
"2022-04-14 03:",3500,1,12.2,0,3.8,48,0,10,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.4336,203.8321,227.4226,436.2912,766.399,852.9582,802.2607,679.627,575.7341,534.4391,573.7094,473.5211,342.9084,615.3377,433.6133,170.6986,251.9442,676.979,1031.0785,962.8314,808.9518,578.0264,590.0113,566.6001,647.6948,627.9835,396.4958,905.3737,8,0,6377,6099,3463,3502,3540,3266
"2022-07-26 10:",3500,8,29.5,0,1.6,69,0,2,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.3528,171.4402,229.5534,351.8669,591.6629,562.0862,615.692,521.7076,626.7176,630.1485,638.3847,417.8026,342.4474,545.9308,449.8111,177.0749,202.9804,470.368,647.6034,625.29,655.3115,460.3233,581.6735,514.0128,619.7288,487.0897,351.5787,991.9621,226,0,6377,6099,3463,3502,3540,3266
"2022-08-21 12:",3500,0,30.2,0,1.9,70,0,8,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,436.6932,153.6189,258.3429,436.5812,684.9151,745.8077,656.2921,587.0914,619.6906,494.2096,549.3981,419.3104,296.2995,546.158,493.4478,194.2531,241.7228,520.3212,789.1563,769.8577,607.3032,547.7888,493.9607,489.7827,551.8464,460.7929,375.0015,824.7964,249,0,6377,6099,3463,3502,3540,3266
"2022-12-17 14:",3500,3,-3.5,0,4.8,36,1.7,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,568.6324,200.0326,221.5159,399.1721,618.5604,741.5043,748.9667,591.155,601.2038,568.3762,672.0267,463.6951,363.9061,593.7848,392.9526,154.6917,279.1114,512.0019,774.208,687.3895,642.7575,560.8765,497.5856,567.8501,531.3726,547.7426,450.4011,878.0438,271,0,6377,6099,3463,3502,3540,3266
"2022-07-04 12:",3500,3,30.7,0,1.8,67,0,9,61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,355.3538,125.0057,150.4879,375.9984,581.384,558.5695,612.9269,607.321,627.8688,537.7654,664.5654,432.447,352.1182,514.7968,321.2687,126.4721,178.2961,447.1609,611.9692,629.3327,517.4389,501.8689,479.1955,540.5513,638.6429,506.5906,351.9874,850.1008,190,0,6377,6099,3463,3502,3540,3266
"2022-10-04 12:",3500,4,18.3,0,4.5,81,0,8,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,339.0027,119.2539,141.3966,339.7601,527.2177,544.9861,651.1862,582.1497,649.2353,544.7803,639.9634,434.4267,361.0406,528.0188,271.3653,106.827,136.106,354.3474,578.2932,608.2586,501.315,479.4019,458.0838,537.3495,555.8943,510.0311,351.6276,832.7984,212,0,6377,6099,3463,3502,3540,3266
"2022-04-08 05:",3500,1,5.6,0,1.6,78,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.9488,227.9343,235.2837,488.7171,782.7896,762.4388,755.7714,694.5815,556.7584,525.5066,583.5597,460.4775,330.0998,617.5408,458.3247,180.4261,270.325,681.618,1025.1845,980.1288,783.3137,575.5325,606.0168,573.5359,623.4695,618.7181,364.7075,931.9391,159,0,6377,6099,3463,3502,3540,3266
