"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-01-01 00:",500,0,-8.5,0,1.9,41,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,467.8565,215.9333,483.0675,2548.6367,3015.3596,1631.9538,1223.1281,841.4878,957.1493,762.272,746.4938,512.8421,410.6788,745.5813,324.4602,150.6782,681.4761,4073.9727,2851.2763,1539.043,1085.0905,683.3976,748.0299,662.6362,644.9142,585.9838,495.7997,1177.5972,43,0,6377,6099,3463,3502,3540,3266
"2022-01-01 01:",500,0,-9.2,0,1.8,42,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,479.9148,221.4989,493.5686,2523.8443,3001.7447,1657.9051,1220.2493,829.8956,934.9358,771.3296,748.2917,503.9736,401.14,745.9078,347.2202,161.2478,701.3249,4097.0041,2896.7789,1540.6339,1084.9156,701.6282,743.3119,666.9795,674.9197,590.0877,490.9543,1160.2243,14,0,6377,6099,3463,3502,3540,3266
"2022-01-01 02:",500,1,-9.5,0,1.2,43,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471.2436,217.497,488.5988,2543.2527,3015.5108,1648.6811,1233.4484,833.344,911.7137,769.4922,733.0098,481.7825,402.9143,742.8854,335.7561,155.9243,680.9299,4099.0282,2917.9572,1561.0891,1103.5672,712.1175,726.5149,670.5085,661.0095,611.642,489.9515,1162.6758,16,0,6377,6099,3463,3502,3540,3266
"2022-01-01 03:",500,1,-9.3,0,1.4,46,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471.5664,217.6455,527.1239,2551.1909,3020.2775,1662.8373,1231.1187,832.4996,923.3402,749.9581,746.442,471.9041,389.9331,746.3123,330.166,153.3279,723.9365,4135.1798,2924.6753,1567.5471,1131.8038,713.8411,727.0386,660.0832,667.3619,608.5868,504.7769,1151.3341,8,0,6377,6099,3463,3502,3540,3266
"2022-01-01 04:",500,0,-9.6,0,1.7,48,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,449.722,207.5637,701.5208,2579.9035,2981.9287,1641.807,1245.9018,811.1801,895.5703,742.7684,727.749,486.4672,387.0125,743.2318,363.9409,169.013,803.8808,4168.5383,2907.3525,1561.8924,1121.2855,721.1771,724.2587,666.0589,665.0042,605.5775,476.5806,1187.5351,23,6,6377,6099,3463,3502,3540,3266
"2022-01-01 05:",500,0,-9.7,0,0.8,51,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,444.4655,205.1374,766.3817,2590.3693,2934.6281,1614.0798,1217.2336,831.3166,899.2056,730.6878,721.1438,478.7768,385.9548,777.7017,346.3202,160.8301,839.1351,4159.7885,2941.5118,1573.812,1097.1383,732.9495,741.7626,654.4174,663.6529,626.3112,491.5761,1180.0011,32,248,6377,6099,3463,3502,3540,3266
"2022-01-01 06:",500,0,-9.8,0,1.9,53,0,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,401.0949,185.1206,774.0935,2533.7021,2900.0365,1605.2295,1220.2818,823.8045,896.2788,744.6223,750.8232,470.706,380.4025,743.4175,337.9221,156.9301,815.7923,4084.4067,2888.3386,1528.515,1091.8272,730.6798,741.4333,663.6508,673.8443,642.904,492.761,1197.9448,81,325,6377,6099,3463,3502,3540,3266
"2022-01-01 07:",500,0,-10.1,0,1.9,55,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,399.7965,184.5211,766.0265,2470.8683,2846.1085,1582.745,1208.269,813.9338,883.5217,719.9695,725.4468,468.7146,383.6743,765.5781,328.6982,152.6468,794.6434,4028.3356,2868.5616,1497.5235,1061.0575,708.6772,729.0047,689.8176,651.5425,631.9929,510.5522,1235.5588,65,448,6377,6099,3463,3502,3540,3266
"2022-01-01 08:",500,0,-10.2,0,2.5,56,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,385.5937,177.9659,722.3224,2488.335,2837.052,1665.3388,1211.9752,809.0183,919.4049,699.1623,747.8673,484.6792,399.9915,796.0439,342.5029,159.0575,800.9954,3973.4656,2775.5924,1479.1669,1109.2957,713.4432,788.2362,685.827,655.2793,676.5348,490.1022,1305.4915,135,699,6377,6099,3463,3502,3540,3266
"2022-01-01 09:",500,0,-9.1,0,2.1,56,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,416.7076,192.3262,620.5868,2473.7156,2783.3061,1669.6841,1256.7438,847.7634,951.7383,739.2992,784.0184,484.6419,425.649,792.5406,352.4556,163.679,731.0624,3899.94,2691.0828,1514.6997,1120.236,740.1295,808.2654,710.1531,666.1305,652.9334,505.5763,1249.5269,159,956,6377,6099,3463,3502,3540,3266
