"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-04-07 18:",3569,10,12.2,0,3.3,22,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,480.6475,221.8371,2013.1916,5084.8117,3794.0889,2109.4573,1830.2667,1317.9758,1374.2794,1095.0766,987.046,637.4919,497.6558,930.7917,448.0197,208.0588,2477.7813,6783.576,4206.6222,2083.6498,1456.0853,1084.0548,1210.4277,1005.3441,950.5197,814.901,598.1285,1358.3596,871,4193,6377,6099,3463,3502,3540,3266
"2022-08-05 21:",592,3,29,0,2.8,75,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,552.7906,255.1338,1212.8545,4880.466,4724.6327,2447.5974,1730.4866,1220.3302,1159.9045,955.1071,901.0866,602.8228,448.1123,795.5774,544.4537,252.8431,1586.5426,6750.4852,4676.8475,2136.4427,1434.824,992.8098,965.2991,929.1404,856.7621,745.5721,605.2263,1327.0112,670,3042,6377,6099,3463,3502,3540,3266
"2022-01-25 10:",500,0,1.9,0,2.6,93,0,10,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.2581,222.1188,522.7244,2769.9602,2678.9823,1596.6157,1404.6289,1264.6432,1245.0312,1177.2072,1081.5099,751.0283,529.8374,994.1327,363.773,168.935,625.4993,4113.7763,2993.1284,1732.7829,1379.2145,1074.2723,1106.3216,974.4568,910.3166,776.6722,621.284,1488.0813,338,1596,6377,6099,3463,3502,3540,3266
"2022-12-16 08:",3860,0,-9.4,0,2.4,63,3.4,8,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.2824,197.6682,1018.1827,3802.1995,3102.0992,1781.8482,1441.9704,1042.8343,1164.8686,1027.2608,888.3032,665.9286,509.414,959.9006,397.4655,184.5817,1101.6809,5957.6325,3542.9518,1851.5043,1312.0395,1044.1889,1089.1965,975.8309,810.8885,688.6129,518.7081,1456.6599,926,4604,6377,6099,3463,3502,3540,3266
"2022-08-26 12:",3508,2,26.5,0,2.3,64,0,4,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,620.1767,286.2351,859.5169,3241.1838,2709.3186,1583.5377,1485.377,1182.9936,1221.9035,1111.1841,1059.7316,690.1335,462.5565,872.4817,437.8045,203.3149,1238.2514,4901.0505,3010.2949,1826.1006,1458.7464,1162.4702,1164.3181,984.0026,1027.9828,744.6884,594.2711,1123.0282,430,1850,6377,6099,3463,3502,3540,3266
"2022-09-23 14:",3860,5,20.3,0,5.8,48,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,589.4794,272.0672,1167.9547,4272.9191,2871.36,1656.1723,1506.8356,1118.5935,1296.4936,1091.4085,1053.429,745.2997,523.9742,857.1556,423.013,196.4459,1608.657,5777.6549,2981.4547,1757.3793,1484.4205,1199.9891,1161.1182,1064.3449,1048.1988,805.0603,652.4712,1273.5232,554,2424,6377,6099,3463,3502,3540,3266
"2022-11-06 02:",500,1,5.4,0,1.6,71,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,366.9983,169.3836,974.0604,4278.7573,4174.1584,2088.1211,1417.0957,931.5914,1020.3363,839.3388,724.4618,510.338,365.0233,791.2151,372.9218,173.1836,1078.8491,6260.3052,4177.0901,1868.9058,1376.0836,757.0755,757.27,769.681,653.48,622.4044,486.9111,1177.5004,52,0,6377,6099,3463,3502,3540,3266
"2022-07-24 22:",3860,2,25.8,0,0.7,86,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,586.4937,270.6894,993.8306,4138.1301,3920.1677,2019.4973,1525.2286,1015.1992,952.3586,828.114,821.9392,592.9411,400.4629,780.3922,482.5542,224.0965,1324.1336,6182.2341,4087.3219,1972.8869,1371.7713,874.129,849.5726,781.2236,712.0568,683.0712,504.2752,1257.4688,436,2561,6377,6099,3463,3502,3540,3266
"2022-03-13 11:",3569,1,11.4,0,1.8,98,0,10,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,493.1725,227.6177,844.8543,3398.7827,3431.1392,1887.6228,1339.7559,939.1326,1006.9915,832.2825,822.1402,606.6612,400.2556,772.1175,489.3388,227.2472,1088.779,4803.945,3341.0654,1772.4507,1272.8779,889.5672,865.9309,776.8203,720.7396,646.9768,534.6854,1184.381,200,981,6377,6099,3463,3502,3540,3266
"2022-04-16 01:",3569,2,10.3,0,0.3,56,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,409.338,188.9249,950.1366,3873.6671,3700.5932,1928.1202,1344.4043,926.9059,1011.4472,781.9039,722.266,535.9713,435.5883,820.0796,340.0804,157.9321,1242.8207,5748.1994,3754.0522,1965.539,1272.6739,710.0238,761.5868,759.6624,659.6204,634.3987,540.4115,1150.2473,133,0,6377,6099,3463,3502,3540,3266
