"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-04-28 12:",3564,0,22.9,0,1.7,29,0,1,121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1911.6898,1616.0903,1411.5747,865.3082,894.4337,809.5545,982.3142,1172.4823,1350.9686,1067.1957,899.336,723.2695,565.787,1181.0645,2095.7696,1755.53,1448.828,1052.6173,1032.449,929.6154,1428.6495,1587.0616,1845.5505,1444.7857,1417.5593,1051.4163,823.9151,1911.9413,215,631,6377,6099,3463,3502,3540,3266
"2022-07-06 14:",576,1,31.7,0,1.8,69,0,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2081.7939,1759.8919,1520.0227,946.2202,617.278,652.2872,894.9217,965.6557,1139.216,1007.5002,925.4139,773.5436,608.4498,1249.0721,2503.6488,2097.1926,1519.2342,1009.7211,911.7298,835.4019,1311.0828,1527.6757,1751.8273,1370.7574,1198.1951,1049.6872,794.114,1703.9097,249,570,6377,6099,3463,3502,3540,3266
"2022-11-11 10:",3503,0,15.7,0,2.2,63,0,0,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126.8355,1797.9689,1599.2351,923.5612,878.9088,801.1056,936.5812,1002.7002,1294.9774,1002.6887,963.0125,848.3007,673.1918,1195.2734,2390.0586,2002.0432,1684.7071,1119.6271,960.0685,893.7615,1375.0181,1509.252,1738.3974,1417.1292,1440.3034,1022.302,809.6056,1845.6182,250,682,6377,6099,3463,3502,3540,3266
"2022-05-23 00:",3564,0,18.3,0,2,83,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796.1385,1518.4073,1770.2476,872.7454,765.4119,789.0976,1136.724,1596.6327,1966.6935,1661.9538,1244.8478,816.829,647.5404,1223.2246,2062.5875,1727.7355,1804.3536,1170.5423,960.8983,891.4692,1534.6427,1999.1311,2304.5867,1614.8139,1364.8891,924.2917,698.4151,1575.3474,26,0,6377,6099,3463,3502,3540,3266
"2022-01-11 00:",576,1,0.3,0.9,2.8,92,0.9,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1718.8746,1453.0902,1759.1645,1200.4615,1057.582,759.3669,1041.4627,1575.6464,1875.0536,1522.3321,1191.3324,784.5731,659.3183,1163.5275,1982.8601,1660.9507,1674.6952,1317.7107,1071.6146,833.6671,1586.9326,1977.2804,2235.1337,1549.6882,1352.7374,897.1748,692.3501,1583.5294,16,1,6377,6099,3463,3502,3540,3266
"2022-04-16 19:",3864,2,15.3,0,2.6,32,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,751.0136,349.7542,558.8823,975.6926,1249.7896,1256.2073,1064.605,977.0235,1045.1532,877.1457,892.2173,653.3124,433.7911,862.7737,524.3328,279.275,544.101,1046.4621,1232.9051,1135.6479,1161.0503,924.9055,1005.4555,946.7571,910.8036,741.8266,544.5165,1364.8808,318,641,6377,6099,3463,3502,3540,3266
"2022-12-26 21:",3878,0,-3.7,0,1.2,61,0.3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1464.9184,1238.4023,1506.7145,931.6048,759.7097,767.8071,989.596,1239.792,1722.3272,1393.0582,1232.4188,783.1378,647.8758,1309.0604,1707.5998,1430.3786,1535.9049,1019.184,1025.7548,889.3514,1404.2578,1893.3772,2259.1073,1549.3386,1305.8662,942.1525,726.8074,1638.6637,232,304,6377,6099,3463,3502,3540,3266
"2022-07-04 04:",3503,1,27,0,0.9,76,0,3,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695.5727,1433.3919,1810.7291,1045.8793,859.2045,790.4626,998.062,1600.743,2008.8608,1707.0119,1270.4106,826.5882,647.4942,1227.3144,1950.8272,1634.1189,1787.239,1218.5995,989.1555,925.2133,1460.9363,1961.7702,2332.3607,1601.2278,1394.062,942.6964,719.344,1611.3594,13,0,6377,6099,3463,3502,3540,3266
"2022-08-14 21:",3503,0,27.7,0,2.5,87,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1280.8886,1082.828,1314.7429,834.8923,769.3495,757.7363,1110.9301,1331.596,1756.4398,1480.2772,1166.3946,831.7323,649.088,1204.0338,1428.0522,1196.2141,1531.8426,1193.3075,1082.3231,1001.6426,1564.6951,1785.5101,2126.2674,1456.72,1291.8869,886.1344,690.2565,1489.8075,118,270,6377,6099,3463,3502,3540,3266
"2022-10-12 18:",577,7,18.4,0,1.3,51,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1446.6017,1222.9178,1290.1831,806.7856,896.6002,832.9176,1069.4384,1176.8396,1515.6026,1307.346,1166.3542,799.2852,641.4485,1261.4491,1665.5607,1395.1638,1326.1655,1129.3799,988.0332,902.5641,1304.1578,1731.314,2099.9457,1455.6931,1431.224,1048.2595,797.6775,1648.9392,443,1304,6377,6099,3463,3502,3540,3266
"2022-06-16 13:",3516,0,21.8,0,2.6,74,0,9,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2240.2775,1893.8694,1431.804,832.7656,729.8766,737.8847,897.7105,1073.724,1095.2018,954.1374,895.7835,821.8881,630.5123,1307.3315,2631.6695,2204.4293,1534.303,942.9476,934.7647,837.7808,1324.974,1494.1017,1703.6248,1355.1537,1268.1192,1063.4546,753.2484,1710.5042,209,636,6377,6099,3463,3502,3540,3266
"2022-01-23 05:",577,0,-0.1,0,1.1,51,0,8,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1644.8444,1390.5067,1811.9386,1038.1788,865.9367,849.8949,1093.3624,1570.3859,1918.4402,1607.3939,1290.3239,876.0559,666.0261,1147.5589,1907.9212,1598.178,1586.5226,1191.4032,1009.2784,949.6107,1515.9015,1959.0754,2246.6381,1568.1976,1378.3612,856.523,657.7924,1550.7936,11,91,6377,6099,3463,3502,3540,3266
"2022-08-02 04:",576,0,26.6,6.5,1.1,93,0,10,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512.3467,1278.4965,1841.9088,1042.1295,818.4921,824.7452,1071.1058,1512.5192,1942.3673,1666.9154,1297.0765,782.3385,662.4924,1153.5132,1877.5296,1572.721,1823.0121,1165.1719,1005.1236,854.1336,1621.8101,1884.0579,2289.7111,1601.5539,1384.9895,911.966,642.6222,1508.7642,10,0,6377,6099,3463,3502,3540,3266
"2022-05-12 12:",3570,3,25.2,0,1.5,40,0,6,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,737.6753,343.5429,369.6078,841.4105,949.0411,801.2285,822.9206,862.4211,882.5981,717.5903,779.3517,541.2452,401.8556,849.2269,1282.9883,683.3569,1160.1876,821.979,986.3471,822.6977,948.4723,906.1784,886.6072,754.1619,824.1842,706.3643,485.5048,1139.8982,328,873,6377,6099,3463,3502,3540,3266
"2022-04-14 18:",576,10,15,0,2.4,49,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1474.6188,1246.6031,1348.5292,878.4491,808.7494,821.8849,1164.3032,1325.8792,1443.2811,1233.7309,1226.2878,881.2713,625.3506,1233.1977,1873.7563,1569.5601,1506.0076,1021.1345,966.8234,1024.0527,1593.3859,2020.689,2110.852,1537.6236,1399.681,1074.8542,807.2886,1694.3414,351,1151,6377,6099,3463,3502,3540,3266
"2022-02-07 01:",3864,0,-5.9,0,1.9,55,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742.8249,345.9407,662.8081,1050.395,1729.9857,1580.7728,1411.6224,1244.6923,1232.412,939.7438,1021.429,786.3847,463.9839,1023.3851,668.7567,356.1994,635.7563,1353.8369,1967.589,1701.0044,1481.7208,1285.4489,1243.8132,1127.1253,1258.7479,947.1075,656.2107,1455.041,2,0,6377,6099,3463,3502,3540,3266
"2022-09-12 08:",3521,1,20.9,0,1.7,86,0,7,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.9644,1099.8003,1656.1955,1024.7001,837.8599,720.1919,1002.4411,1292.5006,1811.9382,1494.5784,1164.3906,835.4947,629.5445,1296.5959,1709.6205,1432.0708,1591.025,1165.1268,926.1242,840.1361,1331.656,1696.8389,2067.0779,1517.275,1283.6152,861.9682,677.9539,1529.6315,95,241,6377,6099,3463,3502,3540,3266
"2022-07-20 19:",3516,7,27.9,0,1.9,69,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1322.7182,1118.19,1442.392,859.7669,835.6343,733.5605,1043.4976,1366.1633,1607.5955,1366.3376,1131.7817,904.1528,570.238,1289.4713,1660.2915,1390.7501,1462.8187,1165.8997,967.376,877.2372,1401.4719,1768.4809,2143.1326,1440.997,1433.3387,1056.4804,711.0405,1535.8167,291,560,6377,6099,3463,3502,3540,3266
