"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-11-05 09:",3508,0,3.2,0,1.8,59,0,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,368.1591,169.9191,678.2447,3415.1069,3403.9491,1844.1582,1384.3068,974.6862,1081.6798,827.4541,777.6885,519.5023,387.6322,919.08,448.0898,208.0914,860.7957,5385.8098,3668.0499,1785.3894,1315.1655,877.1289,1001.8257,907.1268,731.9722,720.2447,503.933,1246.5137,374,1931,6377,6099,3463,3502,3540,3266
"2022-09-19 15:",3508,4,28,0,5.7,54,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,530.3677,244.7844,1332.9682,4738.2954,3074.372,1691.5343,1545.1063,1192.1149,1362.3021,1141.6071,1064.2009,742.2552,507.3377,947.6927,344.1777,159.8355,1633.5412,6447.3874,3169.3197,1815.3957,1388.7248,1219.4822,1239.3258,1044.9132,993.2288,877.4031,627.2637,1361.0515,580,2518,6377,6099,3463,3502,3540,3266
"2022-09-04 00:",3508,1,22.7,0,3.3,67,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,350.9525,161.9775,919.9461,4859.1071,4715.5441,2226.6067,1593.9312,944.3225,1054.7064,807.0455,791.3611,526.489,401.3818,769.7168,364.8803,169.4492,1351.8652,6838.4869,4435.618,1929.0167,1360.0172,762.4328,792.5243,725.1267,657.2385,643.6927,500.1281,1077.0561,162,0,6377,6099,3463,3502,3540,3266
"2022-09-25 03:",3508,0,16.6,0,1.5,83,0,9,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,391.453,180.6704,973.619,4463.6996,4120.2404,2030.4403,1393.2314,846.4732,1009.9545,772.1992,748.8651,514.8791,375.404,788.933,358.4237,166.4511,1151.6222,6324.058,3971.7858,1896.6182,1344.1026,759.1482,807.5132,741.6023,664.6083,619.3975,491.9709,1176.7956,37,0,6377,6099,3463,3502,3540,3266
"2022-01-05 16:",3508,2,1.8,0,1.3,36,0,10,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,462.081,213.2677,1370.8304,3218.7427,2938.594,1712.6398,1560.9858,1209.665,1226.5677,1026.7982,976.748,680.9115,531.5554,925.7484,541.2881,251.3725,1802.8236,4898.5381,2991.8163,1648.9586,1415.5244,1039.0558,1060.5371,973.3887,959.1355,774.7603,577.2199,1277.2771,543,2758,6377,6099,3463,3502,3540,3266
"2022-06-21 13:",3508,0,31.4,0,2,54,0,4,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,726.6795,335.3904,1413.0629,4303.058,2891.5178,1673.3295,1548.4184,1260.3241,1239.5383,1222.1336,1054.9069,682.2542,490.4062,892.7062,423.779,196.8016,1586.6916,6005.5948,3130.5444,1727.8429,1434.2278,1208.7777,1322.7996,1118.5708,1047.2894,825.1627,650.8696,1441.3783,545,2163,6377,6099,3463,3502,3540,3266
"2022-11-18 13:",3508,2,16,0,1.7,46,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,640.2863,295.5166,1193.5349,3959.3072,2938.7125,1629.5018,1427.841,1208.3021,1358.9947,1061.651,1040.4476,663.1747,487.2932,915.9636,851.5289,395.4476,1523.3728,5766.6886,3178.2252,1717.6918,1462.0906,1164.5748,1185.162,1017.0993,929.2777,773.5077,575.6637,1352.3213,489,2169,6377,6099,3463,3502,3540,3266
"2022-02-18 19:",3508,3,1.6,0,2.6,34,0,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,555.5455,256.405,1821.0385,4475.4153,4345.6796,2299.6579,1702.2516,1179.1743,1298.0326,1007.1658,995.3671,644.1528,477.1771,941.8451,529.6671,245.9759,2008.562,6208.0308,4293.4937,2258.586,1433.5016,1018.7403,1002.5264,991.4885,977.089,789.4884,619.5199,1298.6166,716,2621,6377,6099,3463,3502,3540,3266
"2022-02-17 22:",3508,0,-5.3,0,0.7,45,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,478.061,220.6433,619.545,3104.4454,3727.8222,1909.742,1426.4432,970.0755,1131.4945,856.6982,863.316,602.9117,445.1801,870.7251,402.4746,186.9082,897.3059,5124.1271,3966.342,2032.8817,1319.1027,816.2024,888.875,899.8187,763.8454,694.0324,592.3134,1187.1065,417,1210,6377,6099,3463,3502,3540,3266
"2022-11-05 00:",3508,1,2.7,0,1.8,47,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,314.5945,145.1973,927.6218,4743.442,4278.7155,2204.4632,1490.9901,992.8136,1043.4643,843.2205,742.1725,530.5428,401.257,797.1412,291.3544,135.304,1168.2644,6806.6491,4313.4454,1983.1696,1299.003,758.3154,849.3248,745.9366,715.5904,616.6677,483.7334,1176.0485,425,2,6377,6099,3463,3502,3540,3266
