"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-04-19 04:",546,1,10.1,0,1,72,0,0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.2529,337.4092,1113.81,1212.7957,1402.3198,1279.8899,1132.8995,940.0156,1125.0448,879.7225,885.8931,661.273,470.5434,860.1303,464.7984,268.8545,907.6982,1568.9942,1729.9189,1300.2533,1124.7227,1001.2803,977.7243,895.8125,1069.662,883.9292,617.4963,1304.4167,14,0,6377,6099,3463,3502,3540,3266
"2022-12-10 22:",584,4,2.4,0,2,48,0,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,461.7506,193.2567,401.2236,1277.5218,1412.225,1081.831,1064.5556,713.2736,664.3451,575.1375,656.6483,455.8868,286.411,573.3774,340.8063,166.9765,510.5921,1612.8963,1453.9483,1013.8374,909.8797,732.196,631.3441,557.8592,601.1061,522.113,358.565,958.2164,236,0,6377,6099,3463,3502,3540,3266
"2022-08-18 03:",3863,0,23.2,0,1.9,84,0,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.4714,156.7276,367.5976,1172.1388,1516.6757,1056.9343,968.7278,589.2288,617.3018,546.3848,588.1413,403.9686,280.845,548.7531,310.1937,151.9783,289.1395,1610.578,1507.8259,1078.4751,874.4918,635.3659,483.3185,459.3813,526.4317,474.3052,352.2189,813.5916,16,0,6377,6099,3463,3502,3540,3266
"2022-03-27 01:",3881,0,8.7,0,1.9,58,0,6,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,893.082,417.7968,472.5182,645.5068,906.6017,1055.1402,1056.6986,881.9351,1001.0793,777.2998,776.2366,715.3235,491.2436,1014.0487,676.7587,293.9657,543.2864,764.0649,1020.1937,1001.0913,1150.7066,963.1824,954.2548,766.081,1063.6003,848.2725,703.812,1387.3934,0,0,6377,6099,3463,3502,3540,3266
"2022-02-12 11:",3518,2,6.3,0,1.3,51,0,0,102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,461.9281,193.3311,328.6382,1083.1966,1341.3992,985.0813,926.6721,669.3066,694.7134,581.024,525.3188,411.2296,338.7108,534.8523,323.2305,158.3657,286.8694,1320.6662,1235.0023,954.4473,791.2786,571.1121,615.5295,477.9716,544.3738,485.9003,353.8556,810.8207,409,0,6377,6099,3463,3502,3540,3266
"2022-02-13 11:",3502,1,7.4,0,2.1,40,0,10,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,418.6778,207.0304,328.4052,439.8869,700.0504,666.6049,689.2713,612.0919,543.5055,586.8164,646.4446,520.9859,329.2637,744.0385,412.1605,200.007,320.3113,465.8606,578.9687,770.2061,642.8974,532.5753,714.7449,584.5508,661.6595,564.2916,484.8826,1171.6411,208,355,6377,6099,3463,3502,3540,3266
"2022-02-11 07:",3882,0,-2.3,0,1.4,78,0,0,91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883.0029,413.0816,474.9072,635.4417,961.5509,1017.7424,1132.5179,949.6355,943.4337,798.3747,813.3354,610.2472,495.0759,920.1491,780.0182,338.8187,543.4859,802.4603,1080.4605,1044.2294,1208.488,987.191,980.3392,774.8979,975.6616,881.0049,624.2804,1367.3317,664,0,6377,6099,3463,3502,3540,3266
"2022-03-18 06:",3523,0,7.2,0,5,66,0,9,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.9212,212.7324,789.948,3444.5359,3664.9477,1907.8756,1350.2064,961.2141,976.6077,816.3974,728.8673,511.8546,450.3099,896.3868,337.4015,156.688,1134.6879,5801.9194,3853.5803,1889.6269,1311.2034,875.504,829.6327,724.8106,677.799,628.9023,557.9713,1289.1779,185,779,6377,6099,3463,3502,3540,3266
"2022-02-22 14:",3500,1,-0.3,0,3.9,37,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,538.9647,189.5962,175.9706,463.3021,615.498,607.3329,628.7578,540.1472,598.07,567.216,643.8073,407.8705,332.2124,560.1301,398.9271,157.0438,235.6063,440.4502,656.6832,680.7623,604.4701,457.8854,558.5049,548.515,588.4189,520.2877,375.8028,855.9293,188,0,6377,6099,3463,3502,3540,3266
"2022-01-13 12:",3891,0,-4.4,0,5.2,40,0,1,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,587.2919,273.8712,313.2458,463.0208,673.0272,581.7154,702.3908,577.1714,570.923,596.7886,584.7326,438.9063,307.1989,712.8195,626.7148,309.8359,340.7423,582.4751,717.7328,625.4985,824.4475,560.0008,665.6947,706.3466,699.5548,624.9628,471.5575,1087.0554,270,0,6377,6099,3463,3502,3540,3266
