"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-12-01 16:",544,0,-1.3,0,2,39,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1695.8005,1433.5836,1376.156,946.2473,778.922,732.0663,946.8394,1067.9668,1247.3281,1093.6585,911.5363,861.3512,618.9739,1270.7537,1754.1202,1469.3462,1626.3957,922.7139,899.8217,903.5346,1397.9459,1605.9929,1837.1632,1347.9376,1466.614,1037.0699,760.8621,1754.9057,568,985,6377,6099,3463,3502,3540,3266
"2022-07-10 19:",3587,3,30.7,0,2.6,64,0,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1227.4963,667.6257,1302.6472,1062.1325,1178.486,1058.6767,1231.1801,1210.1408,1407.589,1271.6639,1134.4252,806.8243,664.5995,1070.8531,1373.9395,718.1408,1204.7668,1208.832,1342.3697,1128.5898,1236.6808,1271.354,1609.1216,1212.8348,1247.7378,1113.3426,748.1343,1592.1387,432,1850,6377,6099,3463,3502,3540,3266
"2022-05-31 21:",3880,2,20.6,0,2.2,37,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,757.8486,418.9531,592.8823,548.861,648.9726,741.2239,800.2556,821.9431,757.8379,738.9955,852.3766,635.524,415.0069,955.6289,916.9383,532.3179,674.1355,640.6917,769.385,720.7219,872.4727,991.537,984.6721,848.1065,883.7967,879.9806,650.7058,1514.1035,290,405,6377,6099,3463,3502,3540,3266
"2022-08-06 02:",576,1,27.9,0,2.1,85,0,6,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1527.6109,1291.401,1636.8141,952.2099,813.2239,737.8571,1095.1151,1542.6781,1979.3999,1640.9275,1269.7782,766.24,667.3821,1126.0496,1818.2366,1523.053,1841.163,1136.9282,1056.4782,928.7617,1542.7255,1869.4894,2282.2731,1590.4374,1383.8259,918.0651,666.4306,1408.3396,4,0,6377,6099,3463,3502,3540,3266
"2022-03-25 18:",3570,6,17.1,0,2.6,52,0,10,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,798.0475,371.6585,540.6197,823.8839,1142.1604,1131.0156,1025.8004,942.1669,957.4137,874.8915,780.0196,635.8604,393.0591,900.0585,646.6273,344.4123,581.8603,948.819,1283.8884,1130.505,1124.6926,1000.3606,974.2397,906.9387,956.6671,731.7792,553.0044,1302.6532,719,1752,6377,6099,3463,3502,3540,3266
"2022-10-11 15:",546,2,16.3,0,2.7,54,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,699.2167,426.4268,980.5066,1020.8029,988.3967,950.038,859.578,936.5149,1031.5043,772.57,868.8974,628.9683,415.0118,763.362,451.7649,261.3155,788.6189,1090.1915,1234.3068,932.3313,936.0846,873.4341,943.6839,891.2098,1139.9814,780.4752,613.9888,1452.4293,320,0,6377,6099,3463,3502,3540,3266
"2022-04-03 03:",549,0,4.7,0,1.1,76,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,711.7529,393.4707,690.0685,669.3513,697.9149,770.3318,868.1333,875.2323,950.1878,813.0206,932.9259,628.1891,440.225,970.6518,826.8003,479.9893,700.4846,853.5262,876.9669,894.1925,916.5903,989.3308,1143.3051,906.1396,939.6744,880.5418,668.7685,1562.9332,2,0,6377,6099,3463,3502,3540,3266
"2022-11-08 03:",3566,0,11.8,0,1,76,0,9,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973.5469,502.543,603.5642,717.8954,833.3616,703.1295,1084.138,951.7041,955.5561,847.7366,854.5356,573.8912,502.8258,895.6022,816.571,434.0388,682.9936,813.2808,883.1094,902.7535,1173.5902,994.9279,993.1926,861.1613,1146.3398,777.5123,612.0529,1299.9921,1,0,6377,6099,3463,3502,3540,3266
"2022-11-12 00:",548,7,13.4,0,2.1,69,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,939.2801,439.4087,513.4966,564.8008,785.5898,906.7626,1003.8089,863.6371,898.3886,787.0679,777.2217,663.3027,501.8074,1016.8887,835.8851,363.0857,522.8667,719.9493,895.9658,945.7512,1172.5728,981.044,933.8058,790.2376,1024.3025,832.6952,666.8143,1390.5582,18,0,6377,6099,3463,3502,3540,3266
"2022-12-30 23:",3508,0,-4,0,1.5,63,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,350.6803,161.8524,829.7504,4643.2832,4460.849,2177.0269,1533.6447,1004.1206,997.1929,859.7364,845.0585,549.0947,423.2128,779.3599,304.1895,141.2647,1049.9248,6108.8055,4103.9294,2028.9499,1375.7707,699.7367,771.1878,726.0581,704.8912,666.2175,490.5493,1216.3873,535,2824,6377,6099,3463,3502,3540,3266
