"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-11-08 14:",3500,4,17.5,0,2.6,48,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,346.1953,121.7839,93.3891,291.1821,519.738,564.4439,612.8162,574.2318,622.2176,536.1323,609.4017,429.2324,296.9206,531.3004,279.4355,110.0041,80.4299,327.2919,539.83,565.6583,539.5334,486.113,526.9429,550.5977,575.8473,476.9043,357.1934,888.8794,186,0,6377,6099,3463,3502,3540,3266
"2022-09-13 13:",3500,5,26.1,0,2.5,69,0,10,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,250.0465,87.9607,103.5035,291.6662,571.9852,578.1866,667.3266,549.9022,589.0292,512.2775,715.8548,457.6855,299.9587,631.7607,248.6095,97.8689,94.727,345.1089,537.7179,590.5605,558.6,496.6965,516.4366,563.2606,591.9823,503.2887,338.2998,788.8712,211,0,6377,6099,3463,3502,3540,3266
"2022-04-20 16:",3500,6,22,0,3.3,29,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,367.3318,129.2191,153.9149,354.4235,511.0995,571.7269,643.5489,571.2205,604.5072,598.727,653.7561,484.8007,331.8899,534.4914,206.6477,81.3501,156.0866,444.9245,551.1663,571.6959,543.7534,481.8425,532.9101,517.737,657.4707,546.9414,312.6259,827.3737,206,0,6377,6099,3463,3502,3540,3266
"2022-08-12 02:",3500,0,23.6,0,1.6,89,0,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587.575,206.696,231.2075,520.2002,705.2946,832.5507,764.635,664.6722,597.6794,534.0214,599.9212,452.5472,325.3498,604.0789,454.6642,178.9853,275.4097,639.5446,1055.4081,945.008,782.9182,565.0009,567.7972,486.2103,552.7963,653.5751,409.1898,852.5541,11,0,6377,6099,3463,3502,3540,3266
"2022-04-22 07:",3500,11,14.8,0,2.7,69,0,9,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.3283,134.1432,175.5694,452.406,727.2588,784.6451,745.2135,659.4369,592.122,546.371,572.6634,458.5083,300.986,550.0337,440.8223,173.5363,186.839,681.2731,968.7172,863.0655,750.6763,591.1267,592.7172,532.4609,624.2467,599.4886,366.5435,881.728,422,0,6377,6099,3463,3502,3540,3266
"2022-03-19 14:",3500,1,4.8,0,3.8,89,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,546.1963,192.1399,225.8715,508.5405,689.0803,713.627,767.5926,668.137,590.5663,585.0092,603.4046,455.1878,348.9765,635.9629,419.3493,165.0832,280.7049,602.8195,834.8276,765.2368,732.2378,494.4791,568.5027,590.7852,615.1855,517.4143,448.4328,867.2235,227,0,6377,6099,3463,3502,3540,3266
"2022-05-30 06:",3500,2,20.1,0,1.3,77,0,9,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.0779,196.3195,285.8475,509.4367,775.9229,892.2294,788.6326,713.0303,603.6269,497.8775,602.3507,406.2967,349.9431,590.174,466.0708,183.4756,254.6203,708.4665,1027.0379,978.2125,824.8533,590.5784,545.3783,549.4012,600.074,615.3363,385.4834,922.2476,200,0,6377,6099,3463,3502,3540,3266
"2022-04-24 15:",3500,7,24.1,0,2.9,51,0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,620.5553,218.298,229.4945,443.3564,647.82,689.2,714.9408,614.1187,547.9193,562.241,604.2826,455.7814,338.8677,523.585,420.6306,165.5875,231.8761,536.4235,764.2994,756.3738,691.2387,522.766,631.0936,562.725,598.2856,519.6367,334.7221,889.7538,141,0,6377,6099,3463,3502,3540,3266
"2022-01-30 11:",3500,0,-2.6,0,3.1,39,0,1,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,613.6426,215.8662,246.4128,412.4319,626.9669,649.2483,766.3155,585.6054,600.1077,503.9681,595.6406,429.7504,335.8262,563.3519,502.2695,197.7262,276.7364,473.9332,690.3555,629.7559,639.2113,408.068,577.0961,503.4785,574.8132,597.3795,390.5218,842.5204,167,0,6377,6099,3463,3502,3540,3266
"2022-10-10 17:",3500,0,10.2,0,4.1,70,0,9,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,604.8926,212.7881,204.032,433.2467,622.0915,769.1568,753.9887,615.1665,593.5462,603.6714,658.484,443.644,369.3195,630.5036,461.8645,181.82,232.8007,552.3749,775.0379,738.4759,752.0299,597.3169,533.1177,568.4853,642.3808,587.0045,424.8472,886.8835,206,0,6377,6099,3463,3502,3540,3266
"2022-12-18 20:",3500,1,-8.9,0,2.2,49,1.4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,726.3765,255.5235,174.0978,431.2622,684.5808,808.573,835.884,639.573,632.9453,589.3548,635.9959,461.6636,372.8169,621.6043,472.8693,186.1526,289.879,599.1512,896.0516,795.2639,791.7198,542.5362,465.6933,554.2712,635.007,565.738,422.695,947.6115,0,0,6377,6099,3463,3502,3540,3266
