"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-05-16 23:",3508,1,16.1,0,2.8,74,0,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,349.9929,161.535,1226.9448,4473.6752,3868.5525,1951.2979,1399.2729,991.0537,985.9645,803.6623,791.2191,552.0204,430.127,833.1621,365.1425,169.5709,1439.0721,6524.812,4048.6125,1994.4588,1318.6938,782.2271,785.5302,770.8763,694.4351,612.4655,507.5906,1179.0237,471,1530,6377,6099,3463,3502,3540,3266
"2022-12-14 08:",3579,10,-11,0,2.9,49,0.3,0,82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556.8349,257.0004,1022.164,4009.0704,3324.6409,1715.5436,1456.4735,1072.9921,1168.6425,956.3104,952.2737,632.1467,458.2864,922.4038,429.3285,199.3787,1157.5801,6208.9584,3560.4597,1830.6266,1358.9568,1007.2008,1069.113,930.5289,784.0796,689.9891,578.9782,1342.1139,867,4847,6377,6099,3463,3502,3540,3266
"2022-04-25 17:",3523,3,23.2,0,1.7,64,0,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,536.274,247.5107,1746.1734,4280.467,3171.2571,1698.5444,1674.4508,1228.7055,1421.694,1227.9237,1063.4975,721.1085,546.6263,873.5634,319.2674,148.2667,1942.107,6083.4271,3381.7884,1763.6787,1573.4398,1116.0413,1116.7243,1033.0022,930.821,741.1798,616.9766,1222.0401,726,3556,6377,6099,3463,3502,3540,3266
"2022-03-28 01:",3571,0,5,0,4,42,0,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.3376,201.3862,834.3622,3659.3542,3665.8692,1801.3958,1303.8836,926.1332,916.9257,725.9549,724.7964,500.0207,391.4158,836.2074,346.2457,160.7958,1066.7931,5725.1319,3712.5257,1888.2776,1192.7094,749.0357,747.1843,727.2244,660.1335,588.303,529.8686,1153.0077,16,0,6377,6099,3463,3502,3540,3266
"2022-02-14 08:",3508,2,0.7,0,1.7,77,0,7,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.2108,222.0971,505.3969,2774.6456,3008.6151,1638.7114,1372.4376,1076.2899,1136.3475,1021.5957,911.5262,631.8705,491.5576,946.8083,291.1659,135.2168,715.2275,4628.2677,3265.0121,1781.0994,1278.7162,933.2104,881.7138,875.5469,783.1946,745.0658,591.3958,1355.0436,730,4336,6377,6099,3463,3502,3540,3266
"2022-07-15 13:",3579,6,29.2,0,2.3,64,0,7,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,646.5254,298.396,736.5668,3299.6095,2774.9902,1626.6794,1529.3009,1205.7795,1266.3072,1046.1373,1004.2448,742.2511,488.7292,859.8313,608.9809,282.809,1229.9163,4723.1821,2951.9964,1810.8361,1441.2878,1164.5272,1258.3529,1045.4262,1050.2389,764.8949,638.8713,1235.3574,585,2220,6377,6099,3463,3502,3540,3266
"2022-02-19 06:",590,0,-2.5,0,1.1,50,0,8,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,432.4586,199.5961,517.0058,3021.1144,3582.5201,1837.0706,1246.1486,867.5321,999.0008,816.7284,752.5694,544.3206,402.4132,867.1023,345.0237,160.228,789.719,5079.0944,3664.2229,1937.4956,1245.303,791.2674,768.5992,780.4023,725.2374,667.1527,540.1712,1145.5645,122,485,6377,6099,3463,3502,3540,3266
"2022-05-25 10:",3508,1,23.6,0,2.7,56,0,7,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.5245,299.3184,1493.0916,4005.6322,2945.8446,1640.7543,1491.1255,1139.4315,1349.9532,1147.3623,1089.4873,764.2971,496.1547,973.6033,392.5618,182.3046,1658.0618,5894.8915,3110.82,1805.863,1426.096,1252.8692,1140.1285,1035.9196,996.8202,820.7071,692.143,1478.8546,390,1841,6377,6099,3463,3502,3540,3266
"2022-04-29 05:",3508,0,11.2,3.4,4.3,95,0,10,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.432,216.6607,953.3754,3823.0374,3744.5524,1933.0684,1380.4377,885.0196,1033.4038,750.9676,754.6519,521.6638,387.3722,844.17,391.868,181.9823,1198.0089,6086.4016,3963.0943,1977.1321,1302.1481,828.925,774.8623,780.2849,673.9482,602.3458,540.2501,1204.627,127,653,6377,6099,3463,3502,3540,3266
"2022-01-18 17:",3508,2,-1.9,0,2.8,32,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,453.7185,209.4084,1457.0513,3748.5505,3116.677,1826.2202,1652.7141,1296.5864,1270.5462,1068.3471,1037.2422,759.5395,545.1123,896.7105,551.6357,256.1774,2124.8843,5117.3016,3400.4283,1718.8947,1329.1862,974.7865,1039.0724,997.3338,967.1631,775.9874,671.3771,1330.5101,587,3595,6377,6099,3463,3502,3540,3266
"2022-10-22 01:",3860,1,11.7,0,0.5,85,0,6,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,416.5079,192.2343,902.3507,4427.8963,4246.4335,2077.9038,1413.5109,952.5604,1026.3559,768.8968,778.2189,541.4651,418.8449,743.5517,397.315,184.5118,1272.3596,6452.6865,4264.4364,1943.143,1387.8401,710.1234,808.3563,746.9466,706.105,632.6197,530.7751,1100.9434,169,0,6377,6099,3463,3502,3540,3266
"2022-05-31 06:",3571,0,14.3,0,0.9,65,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.0946,198.9663,957.2278,3668.8924,3660.4563,1858.807,1354.932,968.6585,1109.6062,745.3043,777.1714,576.3066,438.8207,862.2434,328.9289,152.7536,1129.6641,6172.5273,4020.414,1945.2979,1407.3648,814.135,804.348,807.7386,755.3627,682.6759,607.4687,1247.6339,227,1064,6377,6099,3463,3502,3540,3266
"2022-02-16 10:",3582,1,-7.6,0,4.4,51,0,1,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.3702,267.401,558.817,2750.0516,2765.992,1682.0001,1407.8105,1186.806,1321.3927,1070.9791,1017.1151,768.6191,533.6708,1028.1499,352.64,163.765,757.7213,4273.075,3006.8954,1806.1666,1463.2647,1042.154,1133.9478,1030.4031,1016.7724,784.6098,612.718,1484.4982,332,1492,6377,6099,3463,3502,3540,3266
"2022-01-15 07:",3582,0,-4.6,0,2.8,53,0,9,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,356.1793,164.3903,462.5205,2888.7251,3457.1882,1883.17,1337.4282,913.0934,1041.4091,781.4039,761.3563,583.8648,420.2657,776.4369,336.675,156.3508,664.938,4968.1962,3586.6556,1858.4893,1308.6438,778.6596,825.6381,737.9799,746.5623,655.8791,581.5863,1196.6938,143,740,6377,6099,3463,3502,3540,3266
"2022-11-20 17:",592,5,17.3,0,2.8,44,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,619.9372,286.1248,1597.8285,4298.7969,3907.7893,2263.5882,1776.6663,1078.3963,1167.5197,902.2401,870.2983,583.09,403.9959,834.7534,800.2686,371.6421,1991.0397,6386.4566,4143.3611,2048.1071,1441.874,897.9958,1063.8692,836.4234,944.8241,710.624,588.3053,1376.7721,628,3072,6377,6099,3463,3502,3540,3266
"2022-12-23 16:",3508,1,-9.4,0,4.4,56,1.7,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,508.2939,234.5968,1132.8971,3844.5698,3212.9542,1800.4975,1690.1497,1213.0654,1320.4572,1033.4513,1050.0459,665.4432,455.6528,944.0179,465.8737,216.35,1581.7305,5506.5525,3260.1522,1937.9682,1416.4348,1117.0334,1247.6174,1090.8478,1062.9447,783.2443,610.2519,1434.0765,751,3523,6377,6099,3463,3502,3540,3266
