"y","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m5","m20","m25","m30","m35","m45","m65","m70","f0","f15","f25","f30","f35","f40","f50","f55","f60","sub_passenger"
0,0,1.9,41,0,0,23,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.8565,483.0675,2548.6367,3015.3596,1631.9538,1223.1281,957.1493,410.6788,745.5813,324.4602,681.4761,2851.2763,1539.043,1085.0905,683.3976,662.6362,644.9142,585.9838,0
0,0,1.8,42,0,0,25,84.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.9148,493.5686,2523.8443,3001.7447,1657.9051,1220.2493,934.9358,401.14,745.9078,347.2202,701.3249,2896.7789,1540.6339,1084.9156,701.6282,666.9795,674.9197,590.0877,0
0,0,1.2,43,0,0,25,90.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.2436,488.5988,2543.2527,3015.5108,1648.6811,1233.4484,911.7137,402.9143,742.8854,335.7561,680.9299,2917.9572,1561.0891,1103.5672,712.1175,670.5085,661.0095,611.642,0
0,0,1.4,46,0,0,24,86.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.5664,527.1239,2551.1909,3020.2775,1662.8373,1231.1187,923.3402,389.9331,746.3123,330.166,723.9365,2924.6753,1567.5471,1131.8038,713.8411,660.0832,667.3619,608.5868,0
0,0,1.7,48,0,0,26,92.16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.722,701.5208,2579.9035,2981.9287,1641.807,1245.9018,895.5703,387.0125,743.2318,363.9409,803.8808,2907.3525,1561.8924,1121.2855,721.1771,666.0589,665.0042,605.5775,6
0,0,0.8,51,0,0,22,94.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.4655,766.3817,2590.3693,2934.6281,1614.0798,1217.2336,899.2056,385.9548,777.7017,346.3202,839.1351,2941.5118,1573.812,1097.1383,732.9495,654.4174,663.6529,626.3112,248
0,0,1.9,53,0,0,27,96.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.0949,774.0935,2533.7021,2900.0365,1605.2295,1220.2818,896.2788,380.4025,743.4175,337.9221,815.7923,2888.3386,1528.515,1091.8272,730.6798,663.6508,673.8443,642.904,325
0,0,1.9,55,0,0,25,102.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.7965,766.0265,2470.8683,2846.1085,1582.745,1208.269,883.5217,383.6743,765.5781,328.6982,794.6434,2868.5616,1497.5235,1061.0575,708.6772,689.8176,651.5425,631.9929,448
1,0,2.5,56,0,0,25,104.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.5937,722.3224,2488.335,2837.052,1665.3388,1211.9752,919.4049,399.9915,796.0439,342.5029,800.9954,2775.5924,1479.1669,1109.2957,713.4432,685.827,655.2793,676.5348,699
0,0,2.1,56,0,0,38,82.81,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.7076,620.5868,2473.7156,2783.3061,1669.6841,1256.7438,951.7383,425.649,792.5406,352.4556,731.0624,2691.0828,1514.6997,1120.236,740.1295,710.1531,666.1305,652.9334,956
