"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","semester","past_return","X5_6","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","m20","m25","m30","m35","m45","m50","m55","m65","f0","f10","f15","f20","f25","f65","bus_passenger","sub_passenger"
0,-8.5,0,1.9,41,0,0,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548.6367,3015.3596,1631.9538,1223.1281,957.1493,762.272,746.4938,410.6788,324.4602,150.6782,681.4761,4073.9727,2851.2763,495.7997,43,0
1,-9.2,0,1.8,42,0,0,84.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.8443,3001.7447,1657.9051,1220.2493,934.9358,771.3296,748.2917,401.14,347.2202,161.2478,701.3249,4097.0041,2896.7789,490.9543,14,0
0,-9.5,0,1.2,43,0,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2543.2527,3015.5108,1648.6811,1233.4484,911.7137,769.4922,733.0098,402.9143,335.7561,155.9243,680.9299,4099.0282,2917.9572,489.9515,16,0
0,-9.3,0,1.4,46,0,0,86.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2551.1909,3020.2775,1662.8373,1231.1187,923.3402,749.9581,746.442,389.9331,330.166,153.3279,723.9365,4135.1798,2924.6753,504.7769,8,0
0,-9.6,0,1.7,48,0,0,92.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2579.9035,2981.9287,1641.807,1245.9018,895.5703,742.7684,727.749,387.0125,363.9409,169.013,803.8808,4168.5383,2907.3525,476.5806,23,6
1,-9.7,0,0.8,51,0,0,94.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2590.3693,2934.6281,1614.0798,1217.2336,899.2056,730.6878,721.1438,385.9548,346.3202,160.8301,839.1351,4159.7885,2941.5118,491.5761,32,248
0,-9.8,0,1.9,53,0,0,96.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533.7021,2900.0365,1605.2295,1220.2818,896.2788,744.6223,750.8232,380.4025,337.9221,156.9301,815.7923,4084.4067,2888.3386,492.761,81,325
0,-10.1,0,1.9,55,0,0,102.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2470.8683,2846.1085,1582.745,1208.269,883.5217,719.9695,725.4468,383.6743,328.6982,152.6468,794.6434,4028.3356,2868.5616,510.5522,65,448
1,-10.2,0,2.5,56,0,0,104.04,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2488.335,2837.052,1665.3388,1211.9752,919.4049,699.1623,747.8673,399.9915,342.5029,159.0575,800.9954,3973.4656,2775.5924,490.1022,135,699
1,-9.1,0,2.1,56,0,0,82.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2473.7156,2783.3061,1669.6841,1256.7438,951.7383,739.2992,784.0184,425.649,352.4556,163.679,731.0624,3899.94,2691.0828,505.5763,159,956
1,-6.8,0,2.3,42,0,1,46.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2538.3244,2850.1474,1659.5073,1280.9699,874.7221,782.646,775.9598,416.1323,441.5602,205.0591,658.867,3872.7968,2745.5063,509.4526,128,831
0,-4.3,0,0.9,37,0,1,18.49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2465.0082,2924.4905,1686.0821,1385.1672,917.8842,800.8161,768.1554,420.2144,472.3808,219.3723,736.8298,3905.4698,2767.0991,545.356,207,1018
