"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m10","m5","m20","m30","m45","m65","f15","f20","f25","f35","f50","f55","f65","bus_passenger","sub_passenger"
1,-8.5,0,1.9,41,0,23,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.8565,215.9333,483.0675,2548.6367,1631.9538,957.1493,410.6788,681.4761,4073.9727,2851.2763,1085.0905,662.6362,644.9142,495.7997,43,0
1,-9.2,0,1.8,42,0,25,84.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.9148,221.4989,493.5686,2523.8443,1657.9051,934.9358,401.14,701.3249,4097.0041,2896.7789,1084.9156,666.9795,674.9197,490.9543,14,0
0,-9.5,0,1.2,43,0,25,90.25,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.2436,217.497,488.5988,2543.2527,1648.6811,911.7137,402.9143,680.9299,4099.0282,2917.9572,1103.5672,670.5085,661.0095,489.9515,16,0
3,-9.3,0,1.4,46,0,24,86.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.5664,217.6455,527.1239,2551.1909,1662.8373,923.3402,389.9331,723.9365,4135.1798,2924.6753,1131.8038,660.0832,667.3619,504.7769,8,0
1,-9.6,0,1.7,48,0,26,92.16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.722,207.5637,701.5208,2579.9035,1641.807,895.5703,387.0125,803.8808,4168.5383,2907.3525,1121.2855,666.0589,665.0042,476.5806,23,6
0,-9.7,0,0.8,51,0,22,94.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.4655,205.1374,766.3817,2590.3693,1614.0798,899.2056,385.9548,839.1351,4159.7885,2941.5118,1097.1383,654.4174,663.6529,491.5761,32,248
0,-9.8,0,1.9,53,0,27,96.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.0949,185.1206,774.0935,2533.7021,1605.2295,896.2788,380.4025,815.7923,4084.4067,2888.3386,1091.8272,663.6508,673.8443,492.761,81,325
0,-10.1,0,1.9,55,0,25,102.01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.7965,184.5211,766.0265,2470.8683,1582.745,883.5217,383.6743,794.6434,4028.3356,2868.5616,1061.0575,689.8176,651.5425,510.5522,65,448
0,-10.2,0,2.5,56,0,25,104.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.5937,177.9659,722.3224,2488.335,1665.3388,919.4049,399.9915,800.9954,3973.4656,2775.5924,1109.2957,685.827,655.2793,490.1022,135,699
0,-9.1,0,2.1,56,0,38,82.81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.7076,192.3262,620.5868,2473.7156,1669.6841,951.7383,425.649,731.0624,3899.94,2691.0828,1120.236,710.1531,666.1305,505.5763,159,956
0,-6.8,0,2.3,42,1,30,46.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,475.4972,219.4598,587.8323,2538.3244,1659.5073,874.7221,416.1323,658.867,3872.7968,2745.5063,1116.8421,730.6889,690.4344,509.4526,128,831
1,-4.3,0,0.9,37,1,21,18.49,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,490.0385,226.1711,586.4021,2465.0082,1686.0821,917.8842,420.2144,736.8298,3905.4698,2767.0991,1197.2218,745.7217,782.8822,545.356,207,1018
0,-2.3,0,1.2,34,0,17,5.29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,587.3517,271.0849,723.2443,2586.8189,1859.6825,977.1987,426.3821,868.8715,4058.0544,2952.5516,1258.8671,748.1338,830.7245,487.6,230,1212
1,-0.1,0,1.5,32,1,26,0.01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,625.9619,288.905,876.6455,2626.8551,1903.0784,1019.1622,455.5889,1092.1016,4179.6607,3095.74,1397.4549,767.3724,802.4848,539.4187,317,1333
0,1.3,0,2.2,32,1,33,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,694.8158,320.6838,1100.0851,2781.1102,1878.3498,1007.1156,426.191,1314.7159,4305.561,3120.8955,1296.6963,788.0211,799.3658,532.675,289,1564
0,1.9,0,1.7,35,0,46,3.61,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,768.3739,354.6337,1533.5207,3021.9892,1904.7691,1075.261,425.5368,1725.9705,4504.0262,3165.0785,1318.7469,775.275,831.9715,560.3337,334,1831
1,1.8,0,1.4,37,0,36,3.24,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,677.759,312.8113,1951.9843,3481.3525,1972.7596,1026.4613,440.202,2255.1883,4648.2518,3286.5011,1368.0086,816.4424,805.2629,581.6992,393,2177
1,0.5,0,1.5,38,0,42,0.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625.3572,288.6263,2263.3812,4061.439,2021.4605,995.6357,443.0869,2646.9193,5060.285,3510.5175,1263.0188,786.7407,813.6039,566.1505,436,2172
5,-0.9,0,0.7,42,1,46,0.81,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,714.8656,329.9373,2380.0975,4256.555,2106.8455,1068.9945,453.6725,2808.1361,5475.9384,3621.7632,1294.8336,784.0434,769.2663,534.6887,374,1919
2,-1.2,0,0.9,45,7,43,1.44,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,600.0606,276.9508,2302.7393,4307.0667,2142.992,1070.2002,444.6465,2620.2517,5433.5806,3618.2199,1328.7882,784.2678,799.8908,559.3522,305,1822
5,-1.6,0,0.9,47,4,44,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,480.8395,221.9256,1990.2825,3809.3629,2022.8202,1046.1585,438.4032,2174.8429,5054.2346,3458.2767,1213.1176,756.7894,742.736,562.3245,482,3216
3,-2.4,0,2.1,49,3,49,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,554.185,255.7777,1010.5843,2966.0381,1845.7715,1025.4351,424.2162,1027.2487,4384.5668,3166.2979,1187.2465,779.8195,757.9299,561.7106,634,4686
3,-2.5,0,1,49,6,48,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,514.7113,237.5586,665.6039,2697.6954,1777.7479,974.7318,442.2193,752.5396,4242.8454,3115.3854,1215.4682,794.7583,727.5439,524.8618,340,1294
0,-2.6,0,0.9,52,8,52,6.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,461.283,212.8995,515.973,2496.8181,1621.3565,895.2271,404.4098,637.14,4208.4572,3002.7874,1097.3711,672.8306,622.0597,501.4084,124,312
1,-2.8,0,2.3,55,7,51,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.8054,212.2175,527.3301,2528.0976,1649.3404,906.0489,416.2185,598.9934,4230.2852,2960.1867,1067.6567,677.3715,629.466,493.9842,36,2
2,-2.9,0,2.1,57,8,55,8.41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.4803,217.6059,506.7215,2550.0382,1676.1082,886.2969,398.5573,607.0678,4255.3486,2997.0907,1080.3975,682.0035,619.1185,510.7964,13,0
0,-2.6,0,1.9,57,8,51,6.76,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.5551,227.333,524.8589,2538.5105,1675.8869,875.2236,406.412,588.4983,4273.9491,3008.6295,1060.8378,689.4129,589.0645,484.6168,19,0
1,-2.1,0,2.5,56,9,38,4.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.0988,205.4296,526.9761,2514.5834,1698.6529,904.0857,417.9578,605.8067,4276.3212,3002.3673,1080.4464,697.1884,595.6035,487.8129,8,0
0,-1.9,0,2,55,8,41,3.61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.6023,200.5852,544.9547,2554.3603,1704.6129,899.1318,414.0992,637.0526,4266.5884,2968.2033,1103.7989,679.593,581.9424,482.6152,12,5
0,-1.9,0,2.3,56,9,43,3.61,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.9007,190.5695,548.4396,2545.7365,1695.6564,906.7302,426.0584,665.0012,4218.3895,2984.2089,1075.489,675.7104,595.7291,511.8701,37,161
0,-1.9,0,2.5,66,9,43,3.61,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.7984,194.2145,574.8667,2542.303,1690.2626,925.2835,431.7673,639.7209,4248.1746,2973.5895,1073.0664,680.5979,601.7095,538.8868,56,246
0,-2.2,0,2,81,9,52,4.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.7436,191.4201,549.6872,2469.1511,1655.5987,907.0188,438.3799,619.3514,4174.7932,2932.8963,1086.8994,680.5075,620.8738,534.7857,85,416
0,-2.2,0,2,83,8,54,4.84,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.7321,207.5685,566.1793,2445.8786,1677.396,891.3126,445.4824,582.732,4060.9573,2869.5038,1089.1511,691.9868,641.7601,537.8985,171,789
1,-1.9,0.3,1.4,82,8,38,3.61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.7015,211.2466,518.2788,2399.9479,1660.2613,880.3636,456.9606,589.3282,3916.1752,2790.5682,1116.403,730.6254,678.2829,534.122,188,1035
1,-0.8,0,0.7,81,7,46,0.64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,493.107,227.5877,575.6963,2348.6809,1654.5955,971.919,469.9947,632.6776,3896.1996,2789.9729,1119.7084,793.803,708.6192,529.7216,186,980
0,0,0,3.3,80,8,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,565.0802,260.8058,637.0834,2428.9893,1704.4265,1014.5956,427.9908,704.0107,3902.4411,2823.5763,1237.3767,808.333,764.3561,532.8006,220,1083
0,1.4,0,2.4,74,6,65,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,569.5927,262.8889,774.3842,2553.8709,1808.7333,1052.0858,428.0588,848.3786,4098.2867,3010.0309,1245.0799,803.6848,743.7875,541.7407,251,1307
0,1.4,0,3.6,67,3,59,1.96,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,815.6734,376.4642,808.9133,2719.6056,1888.7752,1044.7225,408.0048,983.88,4258.0445,3205.7348,1306.1918,821.4102,777.4661,533.556,343,1489
0,2.4,0,3.5,55,1,62,5.76,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,817.1264,377.1347,1002.3004,2882.892,1954.7321,1137.1555,408.1565,1331.7228,4481.4933,3361.0543,1320.17,846.7926,833.2126,603.1208,367,1618
6,2.5,0,3.3,46,0,46,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,864.6418,399.0647,1297.0896,3120.7859,2063.8073,1091.4846,428.9827,1688.3151,4712.0271,3529.1173,1303.2258,846.7644,823.7659,596.9327,388,2054
1,2.5,0,3,45,0,37,6.25,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,777.8725,359.0176,1600.7282,3374.3148,2082.8798,1119.0707,385.5774,2171.2288,5063.1589,3639.9819,1317.1841,899.8927,864.8622,562.35,465,2230
1,1.2,0,2.7,45,0,35,1.44,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,741.337,342.155,1846.4531,3887.7327,2206.5296,1098.6465,408.6593,2424.7573,5532.0384,3886.1084,1307.3212,860.2495,836.6289,538.1844,464,2283
2,-0.5,0,2.9,40,0,34,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,650.3535,300.1627,2041.3181,4151.5567,2201.5787,1046.2956,423.7561,2460.2036,5673.6481,4022.5551,1222.7737,852.6026,788.0574,577.2871,406,2227
3,-1.6,0,2,41,0,28,2.56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,648.1827,299.1611,1931.3085,4383.8353,2198.7499,1060.9019,427.686,2455.9861,5723.259,3991.8154,1315.8114,810.5095,775.9222,559.4414,371,2152
1,-2.6,0,1.6,46,0,27,6.76,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,580.0914,267.7345,1639.9636,3990.1439,2047.8595,1073.7328,408.2072,1915.152,5350.0875,3893.08,1295.8298,785.26,800.1316,551.7985,469,3853
4,-2.9,0,2.7,48,0,20,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,558.5282,257.7822,906.2387,3147.1985,1917.7334,1028.2462,427.58,1058.0538,4760.5238,3619.6258,1194.3992,799.0475,765.0819,551.3256,642,4295
0,-3.8,0,2.1,49,0,33,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,576.0977,265.8909,642.8577,2838.5561,1884.5123,1039.9894,434.2469,767.9079,4706.2114,3542.5483,1203.7896,799.6374,737.9257,564.4722,290,1183
0,-4.4,0,2.9,48,0,26,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,454.4504,209.7458,412.8902,2702.1775,1756.178,983.0021,409.5073,635.5786,4753.8475,3512.6591,1167.7962,693.2796,641.8205,500.2525,116,296
1,-5.2,0,1.6,51,1,27,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.1789,217.0054,429.0108,2739.8139,1746.7593,991.3523,412.3134,630.3021,4745.3337,3556.0776,1180.2811,685.142,640.3266,494.7284,54,0
3,-5.8,0,2.1,52,0,29,33.64,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.7634,208.5059,434.1726,2757.503,1760.4701,953.1996,402.6155,650.0474,4775.0704,3567.5378,1171.9583,681.5611,647.3592,496.2779,28,0
0,-6.4,0,1.7,56,5,25,40.96,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.014,214.1603,417.6675,2772.7609,1754.8118,957.8903,407.4006,671.1149,4815.8483,3579.102,1184.0139,681.0465,640.2234,502.6214,21,0
0,-7,0,1.6,59,2,21,49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.9173,228.423,438.2313,2780.6139,1754.4657,965.8599,390.0664,687.2134,4798.7789,3579.6345,1176.7656,687.0972,632.5592,504.5646,9,0
0,-7.2,0,1.3,61,3,30,51.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.3804,234.1749,446.1406,2803.1913,1779.2022,970.6791,397.9289,678.9458,4752.0265,3579.2221,1212.531,698.4787,656.7043,478.4149,35,10
0,-7.4,0,0.3,59,2,24,54.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.032,205.3992,440.6551,2795.1302,1789.8582,1008.9347,409.5458,675.2878,4772.6754,3560.5171,1226.4843,712.693,666.4392,483.2726,64,565
