"y","temp","rain","wind","wet","cloud","sunny","semester","past_return","X2_3","X3_4","X4_5","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m5","m20","m25","m30","m35","m45","m50","m65","m70","f10","f20","f30","f35","f45","f50","f60","f65","bus_passenger","sub_passenger"
1,-8.5,0,1.9,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.0675,2548.6367,3015.3596,1631.9538,1223.1281,957.1493,762.272,410.6788,745.5813,150.6782,4073.9727,1539.043,1085.0905,748.0299,662.6362,585.9838,495.7997,43,0
2,-9.2,0,1.8,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.5686,2523.8443,3001.7447,1657.9051,1220.2493,934.9358,771.3296,401.14,745.9078,161.2478,4097.0041,1540.6339,1084.9156,743.3119,666.9795,590.0877,490.9543,14,0
0,-9.5,0,1.2,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488.5988,2543.2527,3015.5108,1648.6811,1233.4484,911.7137,769.4922,402.9143,742.8854,155.9243,4099.0282,1561.0891,1103.5672,726.5149,670.5085,611.642,489.9515,16,0
0,-9.3,0,1.4,46,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.1239,2551.1909,3020.2775,1662.8373,1231.1187,923.3402,749.9581,389.9331,746.3123,153.3279,4135.1798,1567.5471,1131.8038,727.0386,660.0832,608.5868,504.7769,8,0
0,-9.6,0,1.7,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.5208,2579.9035,2981.9287,1641.807,1245.9018,895.5703,742.7684,387.0125,743.2318,169.013,4168.5383,1561.8924,1121.2855,724.2587,666.0589,605.5775,476.5806,23,6
0,-9.7,0,0.8,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.3817,2590.3693,2934.6281,1614.0798,1217.2336,899.2056,730.6878,385.9548,777.7017,160.8301,4159.7885,1573.812,1097.1383,741.7626,654.4174,626.3112,491.5761,32,248
1,-9.8,0,1.9,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774.0935,2533.7021,2900.0365,1605.2295,1220.2818,896.2788,744.6223,380.4025,743.4175,156.9301,4084.4067,1528.515,1091.8272,741.4333,663.6508,642.904,492.761,81,325
0,-10.1,0,1.9,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.0265,2470.8683,2846.1085,1582.745,1208.269,883.5217,719.9695,383.6743,765.5781,152.6468,4028.3356,1497.5235,1061.0575,729.0047,689.8176,631.9929,510.5522,65,448
2,-10.2,0,2.5,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.3224,2488.335,2837.052,1665.3388,1211.9752,919.4049,699.1623,399.9915,796.0439,159.0575,3973.4656,1479.1669,1109.2957,788.2362,685.827,676.5348,490.1022,135,699
2,-9.1,0,2.1,56,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.5868,2473.7156,2783.3061,1669.6841,1256.7438,951.7383,739.2992,425.649,792.5406,163.679,3899.94,1514.6997,1120.236,808.2654,710.1531,652.9334,505.5763,159,956
