"y","station_dist","station_type","temp","rain","wet","cloud","temp.sqr","semester","past_return","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m5","m25","m30","m40","m50","m55","m65","m70","f10","f25","f35","f55","f70","bus_passenger","m0","f65"
3,47,0,24.1,0,60,9,580.81,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,483.4213,546.8204,657.5675,668.2291,635.713,652.1019,386.7972,867.2345,463.0695,599.9715,773.337,716.1146,1219.8572,312,1124.531,511.8109
3,118,0,24.8,0,57,9,615.04,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,275.2324,1001.7074,798.8376,673.3417,547.7211,554.4142,285.5541,572.3271,183.0469,884.5247,614.3823,484.4514,961.2909,211,557.0988,360.164
0,41,0,14.2,0,54,0,201.64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1478.4455,780.2005,783.1915,1653.125,1449.584,1207.8237,623.2383,1232.6789,1558.1012,1002.1663,1525.6978,1311.2121,1684.0615,163,1667.9013,753.3811
1,10,0,13.5,0,54,10,182.25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,427.6369,863.8591,667.4892,611.6986,556.0733,571.8053,316.5695,759.7299,513.6486,953.0203,828.7072,638.192,1049.3309,316,567.925,478.777
2,62,0,15.8,0,72,0,249.64,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.0994,741.2984,829.0998,559.1585,425.4338,394.7574,234.548,447.1815,131.5885,920.8078,696.7748,473.5909,769.896,29,450.7848,311.7711
0,91,0,7.2,0,56,7,51.84,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,593.8249,654.2562,679.3717,784.6953,725.5422,862.0083,417.0979,921.8084,511.4585,824.0267,884.4059,873.6676,1499.5231,240,646.3835,657.6038
0,43,0,-3.4,0,63,0,11.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.7191,918.6603,835.2287,1016.0144,968.5518,841.9028,503.3472,986.2743,521.3742,984.1849,1178.0292,1101.9347,1485.9261,15,953.5669,667.2698
8,48,0,15.4,0,42,0,237.16,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1315.7739,817.7056,747.4215,1320.0372,1451.798,1248.3287,644.1094,1249.127,1492.8152,965.2505,1547.6893,1395.7691,1681.559,167,1501.7599,711.47
7,42,0,-7.6,0,54,0,57.76,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,413.3401,1478.5978,993.2148,724.8475,645.305,602.0668,313.6142,589.7835,170.9047,1497.3849,923.9619,575.1206,939.9898,1070,308.0465,313.4513
0,100,0,-3.3,0,78,9,10.89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.8892,749.8801,861.8575,829.5621,742.1591,816.314,434.9804,943.7865,342.8212,946.2954,1155.1386,1003.4441,1441.0415,1,874.3544,631.9965
0,428,0,16.1,0,45,0,259.21,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,760.7974,1709.2699,928.882,732.8933,685.9177,656.524,324.9568,701.3911,232.3571,1242.4192,901.8562,632.9734,990.2589,461,491.5599,424.5867
1,83,0,7.1,0,56,9,50.41,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,412.4068,1528.7777,1064.7041,659.3077,632.1349,668.8706,361.6492,584.4883,169.1551,1383.7285,910.3832,633.7823,1027.1465,449,416.9117,387.229
0,410,0,20.5,0,77,10,420.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518.2139,917.0765,863.8552,1515.4831,1415.0355,1247.8857,703.4102,1327.7032,1746.8575,1148.3687,1614.9313,1471.2449,1779.7992,511,1826.7824,829.1697
2,40,0,14.3,0.1,46,8,204.49,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,642.1976,1527.7901,922.6288,682.7812,738.3034,730.5231,301.1138,697.6158,140.1379,1422.0472,1010.8871,609.6521,1001.4462,395,281.099,384.131
2,43,0,33.6,0,51,5,1128.96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1363.3618,1299.9584,1078.5225,1357.2879,1274.7891,1130.8116,655.0906,1061.5368,799.1169,1181.5169,1158.074,1213.0585,1677.7808,279,1071.4156,713.8342
1,83,0,27.4,0,77,10,750.76,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692.5743,3591.9266,1912.3102,911.1683,814.2018,757.5902,399.5834,831.8442,162.6323,3952.4889,1348.0475,672.2444,1251.6308,32,444.799,506.2902
0,43,0,18,0,33,0,324,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,711.8507,921.2582,840.5984,924.914,819.7905,679.811,419.6518,866.891,467.7597,983.1469,1059.0254,978.4832,1395.2251,331,958.8846,604.0986
5,554,0,29.3,0,68,8,858.49,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,801.9534,2898.7189,1630.7311,1281.0487,1190.0678,1144.7101,561.921,929.7448,201.023,3324.3738,1288.9044,1115.9045,1391.5952,486,559.1895,585.3234
