"y","temp","rain","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m5","m20","m25","m35","m45","m55","m65","f25","f30","f65","f70","bus_passenger","sub_passenger"
0,-8.5,0,41,0,0,23,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.0675,2548.6367,3015.3596,1223.1281,957.1493,746.4938,410.6788,2851.2763,1539.043,495.7997,1177.5972,43,0
0,-9.2,0,42,0,0,25,84.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.5686,2523.8443,3001.7447,1220.2493,934.9358,748.2917,401.14,2896.7789,1540.6339,490.9543,1160.2243,14,0
1,-9.5,0,43,0,0,25,90.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488.5988,2543.2527,3015.5108,1233.4484,911.7137,733.0098,402.9143,2917.9572,1561.0891,489.9515,1162.6758,16,0
1,-9.3,0,46,0,0,24,86.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.1239,2551.1909,3020.2775,1231.1187,923.3402,746.442,389.9331,2924.6753,1567.5471,504.7769,1151.3341,8,0
0,-9.6,0,48,0,0,26,92.16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.5208,2579.9035,2981.9287,1245.9018,895.5703,727.749,387.0125,2907.3525,1561.8924,476.5806,1187.5351,23,6
0,-9.7,0,51,0,0,22,94.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.3817,2590.3693,2934.6281,1217.2336,899.2056,721.1438,385.9548,2941.5118,1573.812,491.5761,1180.0011,32,248
0,-9.8,0,53,0,0,27,96.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774.0935,2533.7021,2900.0365,1220.2818,896.2788,750.8232,380.4025,2888.3386,1528.515,492.761,1197.9448,81,325
0,-10.1,0,55,0,0,25,102.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.0265,2470.8683,2846.1085,1208.269,883.5217,725.4468,383.6743,2868.5616,1497.5235,510.5522,1235.5588,65,448
0,-10.2,0,56,0,0,25,104.04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.3224,2488.335,2837.052,1211.9752,919.4049,747.8673,399.9915,2775.5924,1479.1669,490.1022,1305.4915,135,699
0,-9.1,0,56,0,0,38,82.81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,620.5868,2473.7156,2783.3061,1256.7438,951.7383,784.0184,425.649,2691.0828,1514.6997,505.5763,1249.5269,159,956
