"y","temp","rain","wet","snow","cloud","dust","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m25","m35","m45","m50","m55","m65","f15","f20","f25","f35","f50","f60","f65","f70","bus_passenger","sub_passenger"
0,-8.5,0,41,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015.3596,1223.1281,957.1493,762.272,746.4938,410.6788,681.4761,4073.9727,2851.2763,1085.0905,662.6362,585.9838,495.7997,1177.5972,43,0
0,-9.2,0,42,0,0,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3001.7447,1220.2493,934.9358,771.3296,748.2917,401.14,701.3249,4097.0041,2896.7789,1084.9156,666.9795,590.0877,490.9543,1160.2243,14,0
1,-9.5,0,43,0,0,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015.5108,1233.4484,911.7137,769.4922,733.0098,402.9143,680.9299,4099.0282,2917.9572,1103.5672,670.5085,611.642,489.9515,1162.6758,16,0
0,-9.3,0,46,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3020.2775,1231.1187,923.3402,749.9581,746.442,389.9331,723.9365,4135.1798,2924.6753,1131.8038,660.0832,608.5868,504.7769,1151.3341,8,0
0,-9.6,0,48,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2981.9287,1245.9018,895.5703,742.7684,727.749,387.0125,803.8808,4168.5383,2907.3525,1121.2855,666.0589,605.5775,476.5806,1187.5351,23,6
0,-9.7,0,51,0,0,22,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934.6281,1217.2336,899.2056,730.6878,721.1438,385.9548,839.1351,4159.7885,2941.5118,1097.1383,654.4174,626.3112,491.5761,1180.0011,32,248
1,-9.8,0,53,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900.0365,1220.2818,896.2788,744.6223,750.8232,380.4025,815.7923,4084.4067,2888.3386,1091.8272,663.6508,642.904,492.761,1197.9448,81,325
2,-10.1,0,55,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2846.1085,1208.269,883.5217,719.9695,725.4468,383.6743,794.6434,4028.3356,2868.5616,1061.0575,689.8176,631.9929,510.5522,1235.5588,65,448
1,-10.2,0,56,0,0,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2837.052,1211.9752,919.4049,699.1623,747.8673,399.9915,800.9954,3973.4656,2775.5924,1109.2957,685.827,676.5348,490.1022,1305.4915,135,699
1,-9.1,0,56,0,0,38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2783.3061,1256.7438,951.7383,739.2992,784.0184,425.649,731.0624,3899.94,2691.0828,1120.236,710.1531,652.9334,505.5763,1249.5269,159,956
0,-6.8,0,42,0,1,30,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2850.1474,1280.9699,874.7221,782.646,775.9598,416.1323,658.867,3872.7968,2745.5063,1116.8421,730.6889,663.1034,509.4526,1314.768,128,831
1,-4.3,0,37,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2924.4905,1385.1672,917.8842,800.8161,768.1554,420.2144,736.8298,3905.4698,2767.0991,1197.2218,745.7217,695.089,545.356,1320.4043,207,1018
2,-2.3,0,34,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2965.6393,1505.189,977.1987,827.3971,776.7449,426.3821,868.8715,4058.0544,2952.5516,1258.8671,748.1338,656.1947,487.6,1276.0991,230,1212
0,-0.1,0,32,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3114.6131,1479.5145,1019.1622,820.6575,809.2896,455.5889,1092.1016,4179.6607,3095.74,1397.4549,767.3724,662.9924,539.4187,1302.6493,317,1333
7,1.3,0,32,0,1,33,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3183.4582,1569.3377,1007.1156,817.509,798.1733,426.191,1314.7159,4305.561,3120.8955,1296.6963,788.0211,650.5356,532.675,1240.5739,289,1564
3,1.9,0,35,0,0,46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3308.7379,1631.5211,1075.261,856.697,810.2722,425.5368,1725.9705,4504.0262,3165.0785,1318.7469,775.275,641.0388,560.3337,1237.8167,334,1831
2,1.8,0,37,0,0,36,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3627.6926,1616.5206,1026.4613,898.046,856.0725,440.202,2255.1883,4648.2518,3286.5011,1368.0086,816.4424,649.4567,581.6992,1292.1359,393,2177
1,0.5,0,38,0,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3857.673,1588.2836,995.6357,881.8446,888.3974,443.0869,2646.9193,5060.285,3510.5175,1263.0188,786.7407,669.0835,566.1505,1277.7392,436,2172
1,-0.9,0,42,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4122.9342,1541.2446,1068.9945,832.9198,851.4151,453.6725,2808.1361,5475.9384,3621.7632,1294.8336,784.0434,655.461,534.6887,1281.4106,374,1919
2,-1.2,0,45,0,7,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4168.2017,1517.6744,1070.2002,881.6793,842.4864,444.6465,2620.2517,5433.5806,3618.2199,1328.7882,784.2678,706.2706,559.3522,1222.8802,305,1822
1,-1.6,0,47,0,4,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3987.5885,1425.254,1046.1585,838.2168,864.8032,438.4032,2174.8429,5054.2346,3458.2767,1213.1176,756.7894,680.7566,562.3245,1215.1594,482,3216
1,-2.4,0,49,0,3,49,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3306.7813,1368.3173,1025.4351,816.4539,802.2568,424.2162,1027.2487,4384.5668,3166.2979,1187.2465,779.8195,675.7285,561.7106,1241.576,634,4686
1,-2.5,0,49,0,6,48,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3215.2554,1298.3517,974.7318,801.8453,810.0397,442.2193,752.5396,4242.8454,3115.3854,1215.4682,794.7583,695.5734,524.8618,1222.1237,340,1294
1,-2.6,0,52,0,8,52,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3131.7732,1229.9252,895.2271,730.9854,759.3371,404.4098,637.14,4208.4572,3002.7874,1097.3711,672.8306,611.6483,501.4084,1108.3629,124,312
0,-2.8,0,55,0,7,51,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3054.5089,1254.9868,906.0489,725.6719,728.0094,416.2185,598.9934,4230.2852,2960.1867,1067.6567,677.3715,629.755,493.9842,1148.3885,36,2
0,-2.9,0,57,0,8,55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3069.2582,1252.7303,886.2969,745.1448,726.0669,398.5573,607.0678,4255.3486,2997.0907,1080.3975,682.0035,615.1559,510.7964,1135.7623,13,0
0,-2.6,0,57,0,8,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3066.2662,1256.0014,875.2236,744.1317,726.8703,406.412,588.4983,4273.9491,3008.6295,1060.8378,689.4129,622.665,484.6168,1126.2161,19,0
0,-2.1,0,56,0,9,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3082.9688,1213.0688,904.0857,750.5879,716.3295,417.9578,605.8067,4276.3212,3002.3673,1080.4464,697.1884,619.0804,487.8129,1136.0043,8,0
0,-1.9,0,55,0,8,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3061.9827,1205.585,899.1318,728.445,714.0956,414.0992,637.0526,4266.5884,2968.2033,1103.7989,679.593,635.7418,482.6152,1123.3199,12,5
0,-1.9,0,56,0,9,43,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3049.3064,1224.7163,906.7302,731.1179,713.7302,426.0584,665.0012,4218.3895,2984.2089,1075.489,675.7104,635.9868,511.8701,1157.4969,37,161
3,-1.9,0,66,0.1,9,43,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3031.7595,1212.6061,925.2835,746.232,713.4863,431.7673,639.7209,4248.1746,2973.5895,1073.0664,680.5979,658.7549,538.8868,1164.5989,56,246
0,-2.2,0,81,0.5,9,52,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3039.5463,1199.5701,907.0188,698.9761,734.231,438.3799,619.3514,4174.7932,2932.8963,1086.8994,680.5075,629.731,534.7857,1183.6856,85,416
1,-2.2,0,83,0.5,8,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2979.8742,1186.7689,891.3126,687.7629,772.8655,445.4824,582.732,4060.9573,2869.5038,1089.1511,691.9868,650.1473,537.8985,1176.5494,171,789
1,-1.9,0.3,82,0.4,8,38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2847.3887,1219.8663,880.3636,685.5117,776.3128,456.9606,589.3282,3916.1752,2790.5682,1116.403,730.6254,630.4952,534.122,1159.131,188,1035
0,-0.8,0,81,0.3,7,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2849.6423,1245.1284,971.919,739.2145,794.1095,469.9947,632.6776,3896.1996,2789.9729,1119.7084,793.803,686.5591,529.7216,1192.8083,186,980
2,0,0,80,0.2,8,52,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2874.238,1312.0558,1014.5956,776.9283,785.4998,427.9908,704.0107,3902.4411,2823.5763,1237.3767,808.333,649.8822,532.8006,1304.3411,220,1083
1,1.4,0,74,0,6,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3096.9322,1358.0544,1052.0858,842.0146,805.2971,428.0588,848.3786,4098.2867,3010.0309,1245.0799,803.6848,646.2579,541.7407,1288.6323,251,1307
4,1.4,0,67,0,3,59,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3235.9751,1387.0997,1044.7225,869.0742,808.177,408.0048,983.88,4258.0445,3205.7348,1306.1918,821.4102,658.2622,533.556,1370.8558,343,1489
5,2.4,0,55,0,1,62,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3349.7157,1497.7037,1137.1555,883.5678,804.7556,408.1565,1331.7228,4481.4933,3361.0543,1320.17,846.7926,654.9396,603.1208,1245.7425,367,1618
3,2.5,0,46,0,0,46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3486.664,1445.9994,1091.4846,853.4059,807.2075,428.9827,1688.3151,4712.0271,3529.1173,1303.2258,846.7644,629.5059,596.9327,1216.4534,388,2054
5,2.5,0,45,0,0,37,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3669.4364,1451.9756,1119.0707,863.2513,853.5617,385.5774,2171.2288,5063.1589,3639.9819,1317.1841,899.8927,651.7925,562.35,1290.0584,465,2230
3,1.2,0,45,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3893.5444,1526.3762,1098.6465,863.1784,859.1337,408.6593,2424.7573,5532.0384,3886.1084,1307.3212,860.2495,648.4771,538.1844,1274.2889,464,2283
0,-0.5,0,40,0,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4015.2045,1517.6441,1046.2956,889.1927,811.1428,423.7561,2460.2036,5673.6481,4022.5551,1222.7737,852.6026,676.5605,577.2871,1177.0982,406,2227
0,-1.6,0,41,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4121.813,1547.3232,1060.9019,871.3076,823.536,427.686,2455.9861,5723.259,3991.8154,1315.8114,810.5095,648.6117,559.4414,1223.7716,371,2152
0,-2.6,0,46,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3996.4277,1432.3184,1073.7328,803.9074,808.785,408.2072,1915.152,5350.0875,3893.08,1295.8298,785.26,691.6397,551.7985,1219.6571,469,3853
3,-2.9,0,48,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3656.7708,1363.413,1028.2462,841.3478,811.96,427.58,1058.0538,4760.5238,3619.6258,1194.3992,799.0475,666.741,551.3256,1175.6434,642,4295
2,-3.8,0,49,0,0,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3555.0641,1342.2597,1039.9894,800.7484,763.2258,434.2469,767.9079,4706.2114,3542.5483,1203.7896,799.6374,683.2331,564.4722,1165.0347,290,1183
0,-4.4,0,48,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3454.4892,1322.5,983.0021,746.819,704.2859,409.5073,635.5786,4753.8475,3512.6591,1167.7962,693.2796,613.1592,500.2525,1144.6911,116,296
1,-5.2,0,51,0,1,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3483.7838,1301.7749,991.3523,731.7209,702.5412,412.3134,630.3021,4745.3337,3556.0776,1180.2811,685.142,623.4963,494.7284,1090.2994,54,0
0,-5.8,0,52,0,0,29,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3502.4904,1298.267,953.1996,748.8319,699.2396,402.6155,650.0474,4775.0704,3567.5378,1171.9583,681.5611,636.0671,496.2779,1091.5168,28,0
0,-6.4,0,56,0,5,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3491.2571,1314.0017,957.8903,757.3202,683.5991,407.4006,671.1149,4815.8483,3579.102,1184.0139,681.0465,631.7989,502.6214,1121.5832,21,0
1,-7,0,59,0,2,21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3487.9432,1299.2547,965.8599,749.408,719.0592,390.0664,687.2134,4798.7789,3579.6345,1176.7656,687.0972,633.0392,504.5646,1092.3598,9,0
1,-7.2,0,61,0,3,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3518.3709,1301.6667,970.6791,742.6971,708.5429,397.9289,678.9458,4752.0265,3579.2221,1212.531,698.4787,631.4011,478.4149,1133.1607,35,10
0,-7.4,0,59,0,2,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3487.6214,1292.5421,1008.9347,762.1957,727.9901,409.5458,675.2878,4772.6754,3560.5171,1226.4843,712.693,659.0093,483.2726,1113.8521,64,565
3,-7.8,0,55,0,1,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3454.61,1361.1127,996.9741,789.6308,774.9457,434.1096,674.2249,4694.4118,3569.0227,1238.8622,696.985,642.1534,523.1746,1165.0858,173,892
3,-7.7,0,54,0,0,21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3324.0483,1453.0328,1149.7792,895.0344,844.6391,484.3968,658.9151,4636.7636,3455.4277,1310.0714,772.7932,697.5645,534.9,1267.5847,344,2435
9,-7.6,0,55,0,1,25,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2847.9055,1426.351,1208.1979,1018.9741,913.6478,517.2983,743.7441,4270.768,3084.5751,1263.8432,936.5414,728.622,533.7396,1304.7471,712,4472
3,-6.9,0,55,0,1,23,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2662.0406,1395.7268,1250.4559,1103.368,1001.3734,549.8313,686.4385,3956.3774,2871.5283,1285.0733,915.2747,767.7525,562.8275,1391.9837,484,2597
1,-4,0,55,0,2,20,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2688.0373,1439.9264,1312.3121,1166.6949,1056.6613,514.519,754.2041,3960.7385,2821.1083,1342.5714,943.9601,765.2355,586.9194,1392.7046,332,1361
3,-1.4,0,44,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2626.2692,1466.3247,1295.4737,1122.7146,1081.0416,551.6107,863.6813,4061.4116,2868.6999,1418.3272,946.7855,776.9227,593.273,1475.7007,306,1430
1,0.9,0,36,0,2,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2693.7614,1510.9998,1293.3652,1154.8022,1075.5495,541.5435,1014.0743,4233.7315,2922.4458,1447.0067,1008.2463,798.234,622.8533,1309.883,350,1601
4,1.7,0,43,0,4,35,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2721.8669,1460.7442,1311.0648,1217.4117,1066.5346,542.9097,1117.9918,4305.2457,2941.0495,1398.3945,1044.9356,807.4246,629.8864,1360.3603,407,1661
