"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m5","m25","m45","m50","m55","m65","m70","f10","f20","f30","f35","f40","f50","bus_passenger","sub_passenger"
0,-8.5,0,1.9,41,0,23,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,483.0675,3015.3596,957.1493,762.272,746.4938,410.6788,745.5813,150.6782,4073.9727,1539.043,1085.0905,683.3976,662.6362,43,0
0,-9.2,0,1.8,42,0,25,84.64,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,493.5686,3001.7447,934.9358,771.3296,748.2917,401.14,745.9078,161.2478,4097.0041,1540.6339,1084.9156,701.6282,666.9795,14,0
0,-9.5,0,1.2,43,0,25,90.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,488.5988,3015.5108,911.7137,769.4922,733.0098,402.9143,742.8854,155.9243,4099.0282,1561.0891,1103.5672,712.1175,670.5085,16,0
0,-9.3,0,1.4,46,0,24,86.49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,527.1239,3020.2775,923.3402,749.9581,746.442,389.9331,746.3123,153.3279,4135.1798,1567.5471,1131.8038,713.8411,660.0832,8,0
1,-9.6,0,1.7,48,0,26,92.16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,701.5208,2981.9287,895.5703,742.7684,727.749,387.0125,743.2318,169.013,4168.5383,1561.8924,1121.2855,721.1771,666.0589,23,6
0,-9.7,0,0.8,51,0,22,94.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,766.3817,2934.6281,899.2056,730.6878,721.1438,385.9548,777.7017,160.8301,4159.7885,1573.812,1097.1383,732.9495,654.4174,32,248
0,-9.8,0,1.9,53,0,27,96.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,774.0935,2900.0365,896.2788,744.6223,750.8232,380.4025,743.4175,156.9301,4084.4067,1528.515,1091.8272,730.6798,663.6508,81,325
0,-10.1,0,1.9,55,0,25,102.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,766.0265,2846.1085,883.5217,719.9695,725.4468,383.6743,765.5781,152.6468,4028.3356,1497.5235,1061.0575,708.6772,689.8176,65,448
0,-10.2,0,2.5,56,0,25,104.04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,722.3224,2837.052,919.4049,699.1623,747.8673,399.9915,796.0439,159.0575,3973.4656,1479.1669,1109.2957,713.4432,685.827,135,699
0,-9.1,0,2.1,56,0,38,82.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,620.5868,2783.3061,951.7383,739.2992,784.0184,425.649,792.5406,163.679,3899.94,1514.6997,1120.236,740.1295,710.1531,159,956
0,-6.8,0,2.3,42,1,30,46.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,587.8323,2850.1474,874.7221,782.646,775.9598,416.1323,761.8202,205.0591,3872.7968,1507.7122,1116.8421,793.1648,730.6889,128,831
1,-4.3,0,0.9,37,1,21,18.49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,586.4021,2924.4905,917.8842,800.8161,768.1554,420.2144,740.2119,219.3723,3905.4698,1518.8841,1197.2218,826.6142,745.7217,207,1018
0,-2.3,0,1.2,34,0,17,5.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,723.2443,2965.6393,977.1987,827.3971,776.7449,426.3821,722.2581,232.8729,4058.0544,1631.3175,1258.8671,855.5406,748.1338,230,1212
2,-0.1,0,1.5,32,1,26,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,876.6455,3114.6131,1019.1622,820.6575,809.2896,455.5889,770.7484,294.5113,4179.6607,1604.3219,1397.4549,945.3094,767.3724,317,1333
3,1.3,0,2.2,32,1,33,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1100.0851,3183.4582,1007.1156,817.509,798.1733,426.191,781.2048,348.8924,4305.561,1664.2449,1296.6963,954.4554,788.0211,289,1564
3,1.9,0,1.7,35,0,46,3.61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1533.5207,3308.7379,1075.261,856.697,810.2722,425.5368,811.7398,414.4201,4504.0262,1726.6451,1318.7469,897.7426,775.275,334,1831
