"y","station_dist","station_type","rain","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m5","m20","m25","m50","m60","m70","f0","f10","f25","f30","f50","bus_passenger","sub_passenger"
7,17,1,0,71,2,30,342.25,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,321.2704,1161.3218,3825.2328,2836.9774,1109.8367,665.4458,929.5825,472.9202,219.6226,3196.8852,1729.5457,1043.3097,589,0
5,51,0,0,63,9,24,784,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,254.5383,1677.6621,4721.6683,3030.2623,1198.451,719.3714,962.5294,254.6194,118.2444,3161.2573,1823.8723,1198.1525,495,2312
3,546,0,0,69,5,41,954.81,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,229.5007,1402.2844,4781.4259,4280.0281,1022.9342,658.7955,963.3607,713.5587,331.3747,4521.8726,2128.7093,918.1287,665,3052
7,116,1,0,49,10,15,9.61,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,234.3182,1451.2626,5079.6173,4007.6652,1008.5161,664.8581,909.9888,478.6415,222.2792,4380.6747,2339.9267,938.531,895,2908
0,51,0,0,59,6,18,153.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.2148,873.4725,4319.8379,4200.3004,793.3673,576.1843,749.3272,342.0704,158.8569,4216.981,2031.1087,808.2543,83,0
0,128,0,0,38,4,8,49,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173.1577,900.7925,4277.4726,3824.2139,782.0932,521.3217,822.5286,377.4886,175.3044,4235.1128,1882.5217,731.9101,295,1361
1,17,1,0,26,7,35,75.69,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,282.4377,1264.4573,4681.4641,2924.1939,1029.5189,710.8323,936.8204,454.7123,211.1671,3239.7069,1776.8336,1094.7268,505,2447
0,51,0,0,29,1,65,166.41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,304.705,1651.2775,4259.0903,3027.2551,1182.4015,672.2143,969.9959,432.8029,200.9924,3191.3749,1712.9418,1052.0045,476,2082
11,128,0,0,58,6,38,729,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,304.51,1643.3154,4488.6505,2991.9304,1166.5844,766.5905,1002.7659,388.7754,180.546,3145.8621,1696.9084,1100.3118,393,1749
0,83,0,0,58,0,32,37.21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.7487,385.2619,1987.9154,2249.9605,650.1078,485.1966,838.3617,335.0536,155.598,2269.0887,1293.0661,647.1715,24,148
