"y","temp","rain","wet","cloud","temp.sqr","sunny","semester","past_return","X4_5","X5_6","X6_7","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m25","m35","m45","m55","m65","m70","f20","f30","bus_passenger","sub_passenger"
0,-8.5,0,41,0,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.9333,3015.3596,1223.1281,957.1493,746.4938,410.6788,745.5813,4073.9727,1539.043,43,0
0,-9.2,0,42,0,84.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.4989,3001.7447,1220.2493,934.9358,748.2917,401.14,745.9078,4097.0041,1540.6339,14,0
0,-9.5,0,43,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.497,3015.5108,1233.4484,911.7137,733.0098,402.9143,742.8854,4099.0282,1561.0891,16,0
0,-9.3,0,46,0,86.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.6455,3020.2775,1231.1187,923.3402,746.442,389.9331,746.3123,4135.1798,1567.5471,8,0
0,-9.6,0,48,0,92.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.5637,2981.9287,1245.9018,895.5703,727.749,387.0125,743.2318,4168.5383,1561.8924,23,6
0,-9.7,0,51,0,94.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.1374,2934.6281,1217.2336,899.2056,721.1438,385.9548,777.7017,4159.7885,1573.812,32,248
0,-9.8,0,53,0,96.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.1206,2900.0365,1220.2818,896.2788,750.8232,380.4025,743.4175,4084.4067,1528.515,81,325
0,-10.1,0,55,0,102.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.5211,2846.1085,1208.269,883.5217,725.4468,383.6743,765.5781,4028.3356,1497.5235,65,448
0,-10.2,0,56,0,104.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,177.9659,2837.052,1211.9752,919.4049,747.8673,399.9915,796.0439,3973.4656,1479.1669,135,699
0,-9.1,0,56,0,82.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.3262,2783.3061,1256.7438,951.7383,784.0184,425.649,792.5406,3899.94,1514.6997,159,956
0,-6.8,0,42,1,46.24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,219.4598,2850.1474,1280.9699,874.7221,775.9598,416.1323,761.8202,3872.7968,1507.7122,128,831
0,-4.3,0,37,1,18.49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,226.1711,2924.4905,1385.1672,917.8842,768.1554,420.2144,740.2119,3905.4698,1518.8841,207,1018
0,-2.3,0,34,0,5.29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,271.0849,2965.6393,1505.189,977.1987,776.7449,426.3821,722.2581,4058.0544,1631.3175,230,1212
1,-0.1,0,32,1,0.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,288.905,3114.6131,1479.5145,1019.1622,809.2896,455.5889,770.7484,4179.6607,1604.3219,317,1333
0,1.3,0,32,1,1.69,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,320.6838,3183.4582,1569.3377,1007.1156,798.1733,426.191,781.2048,4305.561,1664.2449,289,1564
0,1.9,0,35,0,3.61,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,354.6337,3308.7379,1631.5211,1075.261,810.2722,425.5368,811.7398,4504.0262,1726.6451,334,1831
0,1.8,0,37,0,3.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,312.8113,3627.6926,1616.5206,1026.4613,856.0725,440.202,785.5772,4648.2518,1735.9394,393,2177
0,0.5,0,38,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.6263,3857.673,1588.2836,995.6357,888.3974,443.0869,747.7952,5060.285,1746.7962,436,2172
0,-0.9,0,42,1,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,329.9373,4122.9342,1541.2446,1068.9945,851.4151,453.6725,760.3326,5475.9384,1750.1372,374,1919
0,-1.2,0,45,7,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,276.9508,4168.2017,1517.6744,1070.2002,842.4864,444.6465,769.1565,5433.5806,1765.6912,305,1822
1,-1.6,0,47,4,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,221.9256,3987.5885,1425.254,1046.1585,864.8032,438.4032,746.3631,5054.2346,1734.4228,482,3216
0,-2.4,0,49,3,5.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,255.7777,3306.7813,1368.3173,1025.4351,802.2568,424.2162,756.3511,4384.5668,1643.6693,634,4686
0,-2.5,0,49,6,6.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,237.5586,3215.2554,1298.3517,974.7318,810.0397,442.2193,751.4911,4242.8454,1664.3515,340,1294
0,-2.6,0,52,8,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.8995,3131.7732,1229.9252,895.2271,759.3371,404.4098,784.51,4208.4572,1629.9731,124,312
0,-2.8,0,55,7,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.2175,3054.5089,1254.9868,906.0489,728.0094,416.2185,770.8469,4230.2852,1675.7792,36,2
0,-2.9,0,57,8,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.6059,3069.2582,1252.7303,886.2969,726.0669,398.5573,763.9788,4255.3486,1656.4244,13,0
0,-2.6,0,57,8,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.333,3066.2662,1256.0014,875.2236,726.8703,406.412,745.4565,4273.9491,1641.1874,19,0
0,-2.1,0,56,9,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.4296,3082.9688,1213.0688,904.0857,716.3295,417.9578,737.3836,4276.3212,1675.377,8,0
0,-1.9,0,55,8,3.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.5852,3061.9827,1205.585,899.1318,714.0956,414.0992,748.4007,4266.5884,1678.664,12,5
0,-1.9,0,56,9,3.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.5695,3049.3064,1224.7163,906.7302,713.7302,426.0584,747.7826,4218.3895,1659.9689,37,161
0,-1.9,0,66,9,3.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.2145,3031.7595,1212.6061,925.2835,713.4863,431.7673,759.6752,4248.1746,1668.6876,56,246
0,-2.2,0,81,9,4.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.4201,3039.5463,1199.5701,907.0188,734.231,438.3799,754.8039,4174.7932,1639.6134,85,416
0,-2.2,0,83,8,4.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,207.5685,2979.8742,1186.7689,891.3126,772.8655,445.4824,734.9286,4060.9573,1686.3704,171,789
1,-1.9,0.3,82,8,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.2466,2847.3887,1219.8663,880.3636,776.3128,456.9606,686.8144,3916.1752,1644.2672,188,1035
0,-0.8,0,81,7,0.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,227.5877,2849.6423,1245.1284,971.919,794.1095,469.9947,732.5448,3896.1996,1647.9914,186,980
0,0,0,80,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,260.8058,2874.238,1312.0558,1014.5956,785.4998,427.9908,742.5658,3902.4411,1610.8288,220,1083
1,1.4,0,74,6,1.96,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,262.8889,3096.9322,1358.0544,1052.0858,805.2971,428.0588,693.9417,4098.2867,1666.6389,251,1307
