"y","past_return","m50","temp","f50","m20","sub_passenger","bus_passenger","X10_11","m25","f20","m30","m45","wet","f45","m55","sunny","m5","f15","f25","f0","f65","m35","m40","f30","wind","semester","m0","f60","f35","most_use","m70","m60","dust","f55","f40","m65","f70","cloud","X8_9","rain","X12_13","weekend","temp.sqr","X15_16"
0,0,762.272,-8.5,662.6362,2548.6367,0,43,0,3015.3596,4073.9727,1631.9538,957.1493,41,748.0299,746.4938,0,483.0675,681.4761,2851.2763,324.4602,495.7997,1223.1281,841.4878,1539.043,1.9,0,467.8565,585.9838,1085.0905,17968.4607,745.5813,512.8421,23,644.9142,683.3976,410.6788,1177.5972,0,0,0,0,1,72.25,0
0,0,771.3296,-9.2,666.9795,2523.8443,0,14,0,3001.7447,4097.0041,1657.9051,934.9358,42,743.3119,748.2917,0,493.5686,701.3249,2896.7789,347.2202,490.9543,1220.2493,829.8956,1540.6339,1.8,0,479.9148,590.0877,1084.9156,18023.0759,745.9078,503.9736,25,674.9197,701.6282,401.14,1160.2243,0,0,0,0,1,84.64,0
0,0,769.4922,-9.5,670.5085,2543.2527,0,16,0,3015.5108,4099.0282,1648.6811,911.7137,43,726.5149,733.0098,0,488.5988,680.9299,2917.9572,335.7561,489.9515,1233.4484,833.344,1561.0891,1.2,0,471.2436,611.642,1103.5672,18122.5347,742.8854,481.7825,25,661.0095,712.1175,402.9143,1162.6758,0,0,0,0,1,90.25,0
0,0,749.9581,-9.3,660.0832,2551.1909,0,8,0,3020.2775,4135.1798,1662.8373,923.3402,46,727.0386,746.442,0,527.1239,723.9365,2924.6753,330.166,504.7769,1231.1187,832.4996,1567.5471,1.4,0,471.5664,608.5868,1131.8038,18224.6304,746.3123,471.9041,24,667.3619,713.8411,389.9331,1151.3341,0,0,0,0,1,86.49,0
0,0,742.7684,-9.6,666.0589,2579.9035,6,23,0,2981.9287,4168.5383,1641.807,895.5703,48,724.2587,727.749,0,701.5208,803.8808,2907.3525,363.9409,476.5806,1245.9018,811.1801,1561.8924,1.7,0,449.722,605.5775,1121.2855,18208.6097,743.2318,486.4672,26,665.0042,721.1771,387.0125,1187.5351,0,0,0,0,1,92.16,0
0,0,730.6878,-9.7,654.4174,2590.3693,248,32,0,2934.6281,4159.7885,1614.0798,899.2056,51,741.7626,721.1438,0,766.3817,839.1351,2941.5118,346.3202,491.5761,1217.2336,831.3166,1573.812,0.8,0,444.4655,626.3112,1097.1383,18128.5614,777.7017,478.7768,22,663.6529,732.9495,385.9548,1180.0011,0,0,0,0,1,94.09,0
0,0,744.6223,-9.8,663.6508,2533.7021,325,81,0,2900.0365,4084.4067,1605.2295,896.2788,53,741.4333,750.8232,0,774.0935,815.7923,2888.3386,337.9221,492.761,1220.2818,823.8045,1528.515,1.9,0,401.0949,642.904,1091.8272,17852.3374,743.4175,470.706,27,673.8443,730.6798,380.4025,1197.9448,0,0,0,0,1,96.04,0
0,0,719.9695,-10.1,689.8176,2470.8683,448,65,0,2846.1085,4028.3356,1582.745,883.5217,55,729.0047,725.4468,0,766.0265,794.6434,2868.5616,328.6982,510.5522,1208.269,813.9338,1497.5235,1.9,0,399.7965,631.9929,1061.0575,17563.469,765.5781,468.7146,25,651.5425,708.6772,383.6743,1235.5588,0,0,0,0,1,102.01,0
1,0,699.1623,-10.2,685.827,2488.335,699,135,0,2837.052,3973.4656,1665.3388,919.4049,56,788.2362,747.8673,0,722.3224,800.9954,2775.5924,342.5029,490.1022,1211.9752,809.0183,1479.1669,2.5,0,385.5937,676.5348,1109.2957,17540.2216,796.0439,484.6792,25,655.2793,713.4432,399.9915,1305.4915,0,1,0,0,1,104.04,0
0,1,739.2992,-9.1,710.1531,2473.7156,956,159,0,2783.3061,3899.94,1669.6841,951.7383,56,808.2654,784.0184,0,620.5868,731.0624,2691.0828,352.4556,505.5763,1256.7438,847.7634,1514.6997,2.1,0,416.7076,652.9334,1120.236,17409.4081,792.5406,484.6419,38,666.1305,740.1295,425.649,1249.5269,0,0,0,0,1,82.81,0
0,0,782.646,-6.8,730.6889,2538.3244,831,128,1,2850.1474,3872.7968,1659.5073,874.7221,42,822.3881,775.9598,0,587.8323,658.867,2745.5063,441.5602,509.4526,1280.9699,870.377,1507.7122,2.3,0,475.4972,663.1034,1116.8421,17571.8064,761.8202,523.1398,30,690.4344,793.1648,416.1323,1314.768,1,0,0,0,1,46.24,0
0,1,800.8161,-4.3,745.7217,2465.0082,1018,207,0,2924.4905,3905.4698,1686.0821,917.8842,37,833.0353,768.1554,0,586.4021,736.8298,2767.0991,472.3808,545.356,1385.1672,907.7156,1518.8841,0.9,0,490.0385,695.089,1197.2218,17849.4228,740.2119,518.8519,21,782.8822,826.6142,420.2144,1320.4043,1,0,0,0,1,18.49,0
1,1,827.3971,-2.3,748.1338,2586.8189,1212,230,0,2965.6393,4058.0544,1859.6825,977.1987,34,872.7537,776.7449,0,723.2443,868.8715,2952.5516,501.4525,487.6,1505.189,923.1611,1631.3175,1.2,0,587.3517,656.1947,1258.8671,18818.1203,722.2581,525.7804,17,830.7245,855.5406,426.3821,1276.0991,0,0,0,1,1,5.29,0
0,0,820.6575,-0.1,767.3724,2626.8551,1333,317,0,3114.6131,4179.6607,1903.0784,1019.1622,32,892.3504,809.2896,0,876.6455,1092.1016,3095.74,634.1799,539.4187,1479.5145,1034.4107,1604.3219,1.5,0,625.9619,662.9924,1397.4549,19401.2386,770.7484,516.0127,26,802.4848,945.3094,455.5889,1302.6493,1,0,0,0,1,0.01,0
0,0,817.509,1.3,788.0211,2781.1102,1564,289,0,3183.4582,4305.561,1878.3498,1007.1156,32,906.0148,798.1733,1,1100.0851,1314.7159,3120.8955,751.2805,532.675,1569.3377,1035.3322,1664.2449,2.2,0,694.8158,650.5356,1296.6963,19799.6536,781.2048,503.9361,33,799.3658,954.4554,426.191,1240.5739,1,0,0,0,1,1.69,0
0,1,856.697,1.9,775.275,3021.9892,1831,334,0,3308.7379,4504.0262,1904.7691,1075.261,35,945.9123,810.2722,1,1533.5207,1725.9705,3165.0785,892.3827,560.3337,1631.5211,1074.65,1726.6451,1.7,0,768.3739,641.0388,1318.7469,20581.514,811.7398,516.2654,46,831.9715,897.7426,425.5368,1237.8167,0,0,0,0,1,3.61,1
3,0,898.046,1.8,816.4424,3481.3525,2177,393,0,3627.6926,4648.2518,1972.7596,1026.4613,37,954.1123,856.0725,1,1951.9843,2255.1883,3286.5011,828.4641,581.6992,1616.5206,1034.5832,1735.9394,1.4,0,677.759,649.4567,1368.0086,21737.0262,785.5772,575.7618,36,805.2629,879.5719,440.202,1292.1359,0,0,0,0,1,3.24,0
3,0,881.8446,0.5,786.7407,4061.439,2172,436,0,3857.673,5060.285,2021.4605,995.6357,38,943.3894,888.3974,0,2263.3812,2646.9193,3510.5175,777.9175,566.1505,1588.2836,1078.4719,1746.7962,1.5,0,625.3572,669.0835,1263.0188,23109.4736,747.7952,579.374,42,813.6039,879.2243,443.0869,1277.7392,0,0,0,0,1,0.25,0
0,2,832.9198,-0.9,784.0434,4256.555,1919,374,0,4122.9342,5475.9384,2106.8455,1068.9945,42,987.391,851.4151,0,2380.0975,2808.1361,3621.7632,673.987,534.6887,1541.2446,1063.4898,1750.1372,0.7,0,714.8656,655.461,1294.8336,24170.2517,760.3326,619.3034,46,769.2663,894.2637,453.6725,1281.4106,1,0,0,0,1,0.81,0
1,0,881.6793,-1.2,784.2678,4307.0667,1822,305,0,4168.2017,5433.5806,2142.992,1070.2002,45,986.3548,842.4864,0,2302.7393,2620.2517,3618.2199,584.2799,559.3522,1517.6744,1055.6617,1765.6912,0.9,0,600.0606,706.2706,1328.7882,24282.2147,769.1565,617.974,43,799.8908,853.9846,444.6465,1222.8802,7,0,0,0,1,1.44,0
0,3,838.2168,-1.6,756.7894,3809.3629,3216,482,0,3987.5885,5054.2346,2022.8202,1046.1585,47,908.8601,864.8032,0,1990.2825,2174.8429,3458.2767,505.39,562.3245,1425.254,971.6193,1734.4228,0.9,0,480.8395,680.7566,1213.1176,22705.0773,746.3631,558.3138,44,742.736,840.3534,438.4032,1215.1594,4,0,0,0,1,2.56,0
