"y","f45","m20","past_return","f25","temp","f50","wet","m30","f20","X17_18","f30","m45","f0","most_use","m5","bus_passenger","m50","m25","f15","m55","f65","sub_passenger","f35","f70","m0","m35","f40","wind","m65","f55","m60","f60","m70","dust","m40","X15_16","semester","X14_15","X12_13","cloud","sunny","X16_17","X11_12","X18_19","rain","X9_10","temp.sqr"
0,748.0299,2548.6367,0,2851.2763,-8.5,662.6362,41,1631.9538,4073.9727,0,1539.043,957.1493,324.4602,17968.4607,483.0675,43,762.272,3015.3596,681.4761,746.4938,495.7997,0,1085.0905,1177.5972,467.8565,1223.1281,683.3976,1.9,410.6788,644.9142,512.8421,585.9838,745.5813,23,841.4878,0,0,0,0,0,0,0,0,0,0,0,72.25
0,743.3119,2523.8443,0,2896.7789,-9.2,666.9795,42,1657.9051,4097.0041,0,1540.6339,934.9358,347.2202,18023.0759,493.5686,14,771.3296,3001.7447,701.3249,748.2917,490.9543,0,1084.9156,1160.2243,479.9148,1220.2493,701.6282,1.8,401.14,674.9197,503.9736,590.0877,745.9078,25,829.8956,0,0,0,0,0,0,0,0,0,0,0,84.64
0,726.5149,2543.2527,0,2917.9572,-9.5,670.5085,43,1648.6811,4099.0282,0,1561.0891,911.7137,335.7561,18122.5347,488.5988,16,769.4922,3015.5108,680.9299,733.0098,489.9515,0,1103.5672,1162.6758,471.2436,1233.4484,712.1175,1.2,402.9143,661.0095,481.7825,611.642,742.8854,25,833.344,0,0,0,0,0,0,0,0,0,0,0,90.25
0,727.0386,2551.1909,0,2924.6753,-9.3,660.0832,46,1662.8373,4135.1798,0,1567.5471,923.3402,330.166,18224.6304,527.1239,8,749.9581,3020.2775,723.9365,746.442,504.7769,0,1131.8038,1151.3341,471.5664,1231.1187,713.8411,1.4,389.9331,667.3619,471.9041,608.5868,746.3123,24,832.4996,0,0,0,0,0,0,0,0,0,0,0,86.49
0,724.2587,2579.9035,0,2907.3525,-9.6,666.0589,48,1641.807,4168.5383,0,1561.8924,895.5703,363.9409,18208.6097,701.5208,23,742.7684,2981.9287,803.8808,727.749,476.5806,6,1121.2855,1187.5351,449.722,1245.9018,721.1771,1.7,387.0125,665.0042,486.4672,605.5775,743.2318,26,811.1801,0,0,0,0,0,0,0,0,0,0,0,92.16
0,741.7626,2590.3693,0,2941.5118,-9.7,654.4174,51,1614.0798,4159.7885,0,1573.812,899.2056,346.3202,18128.5614,766.3817,32,730.6878,2934.6281,839.1351,721.1438,491.5761,248,1097.1383,1180.0011,444.4655,1217.2336,732.9495,0.8,385.9548,663.6529,478.7768,626.3112,777.7017,22,831.3166,0,0,0,0,0,0,0,0,0,0,0,94.09
0,741.4333,2533.7021,0,2888.3386,-9.8,663.6508,53,1605.2295,4084.4067,0,1528.515,896.2788,337.9221,17852.3374,774.0935,81,744.6223,2900.0365,815.7923,750.8232,492.761,325,1091.8272,1197.9448,401.0949,1220.2818,730.6798,1.9,380.4025,673.8443,470.706,642.904,743.4175,27,823.8045,0,0,0,0,0,0,0,0,0,0,0,96.04
0,729.0047,2470.8683,0,2868.5616,-10.1,689.8176,55,1582.745,4028.3356,0,1497.5235,883.5217,328.6982,17563.469,766.0265,65,719.9695,2846.1085,794.6434,725.4468,510.5522,448,1061.0575,1235.5588,399.7965,1208.269,708.6772,1.9,383.6743,651.5425,468.7146,631.9929,765.5781,25,813.9338,0,0,0,0,0,0,0,0,0,0,0,102.01
0,788.2362,2488.335,0,2775.5924,-10.2,685.827,56,1665.3388,3973.4656,0,1479.1669,919.4049,342.5029,17540.2216,722.3224,135,699.1623,2837.052,800.9954,747.8673,490.1022,699,1109.2957,1305.4915,385.5937,1211.9752,713.4432,2.5,399.9915,655.2793,484.6792,676.5348,796.0439,25,809.0183,0,0,0,0,0,0,0,0,0,0,0,104.04
0,808.2654,2473.7156,0,2691.0828,-9.1,710.1531,56,1669.6841,3899.94,0,1514.6997,951.7383,352.4556,17409.4081,620.5868,159,739.2992,2783.3061,731.0624,784.0184,505.5763,956,1120.236,1249.5269,416.7076,1256.7438,740.1295,2.1,425.649,666.1305,484.6419,652.9334,792.5406,38,847.7634,0,0,0,0,0,0,0,0,0,0,1,82.81
