"y","f45","m20","f50","m25","temp","bus_passenger","past_return","m30","m50","wet","X16_17","f20","m55","sub_passenger","X17_18","m0","m70","m5","m40","f70","sunny","f60","f65","f25","f0","m35","m45","m65","m60","f40","f35","f30","f15","f55","wind","most_use","dust","cloud","X11_12","rain","X14_15","temp.sqr","X13_14"
0,748.0299,2548.6367,662.6362,3015.3596,-8.5,43,0,1631.9538,762.272,41,0,4073.9727,746.4938,0,0,467.8565,745.5813,483.0675,841.4878,1177.5972,0,585.9838,495.7997,2851.2763,324.4602,1223.1281,957.1493,410.6788,512.8421,683.3976,1085.0905,1539.043,681.4761,644.9142,1.9,17968.4607,23,0,0,0,0,72.25,0
0,743.3119,2523.8443,666.9795,3001.7447,-9.2,14,0,1657.9051,771.3296,42,0,4097.0041,748.2917,0,0,479.9148,745.9078,493.5686,829.8956,1160.2243,0,590.0877,490.9543,2896.7789,347.2202,1220.2493,934.9358,401.14,503.9736,701.6282,1084.9156,1540.6339,701.3249,674.9197,1.8,18023.0759,25,0,0,0,0,84.64,0
0,726.5149,2543.2527,670.5085,3015.5108,-9.5,16,0,1648.6811,769.4922,43,0,4099.0282,733.0098,0,0,471.2436,742.8854,488.5988,833.344,1162.6758,0,611.642,489.9515,2917.9572,335.7561,1233.4484,911.7137,402.9143,481.7825,712.1175,1103.5672,1561.0891,680.9299,661.0095,1.2,18122.5347,25,0,0,0,0,90.25,0
0,727.0386,2551.1909,660.0832,3020.2775,-9.3,8,0,1662.8373,749.9581,46,0,4135.1798,746.442,0,0,471.5664,746.3123,527.1239,832.4996,1151.3341,0,608.5868,504.7769,2924.6753,330.166,1231.1187,923.3402,389.9331,471.9041,713.8411,1131.8038,1567.5471,723.9365,667.3619,1.4,18224.6304,24,0,0,0,0,86.49,0
0,724.2587,2579.9035,666.0589,2981.9287,-9.6,23,0,1641.807,742.7684,48,0,4168.5383,727.749,6,0,449.722,743.2318,701.5208,811.1801,1187.5351,0,605.5775,476.5806,2907.3525,363.9409,1245.9018,895.5703,387.0125,486.4672,721.1771,1121.2855,1561.8924,803.8808,665.0042,1.7,18208.6097,26,0,0,0,0,92.16,0
0,741.7626,2590.3693,654.4174,2934.6281,-9.7,32,0,1614.0798,730.6878,51,0,4159.7885,721.1438,248,0,444.4655,777.7017,766.3817,831.3166,1180.0011,0,626.3112,491.5761,2941.5118,346.3202,1217.2336,899.2056,385.9548,478.7768,732.9495,1097.1383,1573.812,839.1351,663.6529,0.8,18128.5614,22,0,0,0,0,94.09,0
0,741.4333,2533.7021,663.6508,2900.0365,-9.8,81,0,1605.2295,744.6223,53,0,4084.4067,750.8232,325,0,401.0949,743.4175,774.0935,823.8045,1197.9448,0,642.904,492.761,2888.3386,337.9221,1220.2818,896.2788,380.4025,470.706,730.6798,1091.8272,1528.515,815.7923,673.8443,1.9,17852.3374,27,0,0,0,0,96.04,0
0,729.0047,2470.8683,689.8176,2846.1085,-10.1,65,0,1582.745,719.9695,55,0,4028.3356,725.4468,448,0,399.7965,765.5781,766.0265,813.9338,1235.5588,0,631.9929,510.5522,2868.5616,328.6982,1208.269,883.5217,383.6743,468.7146,708.6772,1061.0575,1497.5235,794.6434,651.5425,1.9,17563.469,25,0,0,0,0,102.01,0
0,788.2362,2488.335,685.827,2837.052,-10.2,135,0,1665.3388,699.1623,56,0,3973.4656,747.8673,699,0,385.5937,796.0439,722.3224,809.0183,1305.4915,0,676.5348,490.1022,2775.5924,342.5029,1211.9752,919.4049,399.9915,484.6792,713.4432,1109.2957,1479.1669,800.9954,655.2793,2.5,17540.2216,25,0,0,0,0,104.04,0
0,808.2654,2473.7156,710.1531,2783.3061,-9.1,159,0,1669.6841,739.2992,56,0,3899.94,784.0184,956,0,416.7076,792.5406,620.5868,847.7634,1249.5269,0,652.9334,505.5763,2691.0828,352.4556,1256.7438,951.7383,425.649,484.6419,740.1295,1120.236,1514.6997,731.0624,666.1305,2.1,17409.4081,38,0,0,0,0,82.81,0
0,822.3881,2538.3244,730.6889,2850.1474,-6.8,128,0,1659.5073,782.646,42,0,3872.7968,775.9598,831,0,475.4972,761.8202,587.8323,870.377,1314.768,0,663.1034,509.4526,2745.5063,441.5602,1280.9699,874.7221,416.1323,523.1398,793.1648,1116.8421,1507.7122,658.867,690.4344,2.3,17571.8064,30,1,0,0,0,46.24,0
0,833.0353,2465.0082,745.7217,2924.4905,-4.3,207,1,1686.0821,800.8161,37,0,3905.4698,768.1554,1018,0,490.0385,740.2119,586.4021,907.7156,1320.4043,0,695.089,545.356,2767.0991,472.3808,1385.1672,917.8842,420.2144,518.8519,826.6142,1197.2218,1518.8841,736.8298,782.8822,0.9,17849.4228,21,1,1,0,0,18.49,0
