"y","past_return","bus_passenger","temp","sub_passenger","m5","m70","m45","m65","wet","m20","f15","f35","f50","f55","m60","f0","m35","f70","m0","f40","dust","f65","m50","m55","m30","m40","m25","wind","sunny","f45","f20","f60","f30","f25","most_use","X8_9","cloud","rain","semester","temp.sqr"
0,0,43,-8.5,0,483.0675,745.5813,957.1493,410.6788,41,2548.6367,681.4761,1085.0905,662.6362,644.9142,512.8421,324.4602,1223.1281,1177.5972,467.8565,683.3976,23,495.7997,762.272,746.4938,1631.9538,841.4878,3015.3596,1.9,0,748.0299,4073.9727,585.9838,1539.043,2851.2763,17968.4607,0,0,0,0,72.25
1,0,14,-9.2,0,493.5686,745.9078,934.9358,401.14,42,2523.8443,701.3249,1084.9156,666.9795,674.9197,503.9736,347.2202,1220.2493,1160.2243,479.9148,701.6282,25,490.9543,771.3296,748.2917,1657.9051,829.8956,3001.7447,1.8,0,743.3119,4097.0041,590.0877,1540.6339,2896.7789,18023.0759,0,0,0,0,84.64
0,0,16,-9.5,0,488.5988,742.8854,911.7137,402.9143,43,2543.2527,680.9299,1103.5672,670.5085,661.0095,481.7825,335.7561,1233.4484,1162.6758,471.2436,712.1175,25,489.9515,769.4922,733.0098,1648.6811,833.344,3015.5108,1.2,0,726.5149,4099.0282,611.642,1561.0891,2917.9572,18122.5347,0,0,0,0,90.25
0,1,8,-9.3,0,527.1239,746.3123,923.3402,389.9331,46,2551.1909,723.9365,1131.8038,660.0832,667.3619,471.9041,330.166,1231.1187,1151.3341,471.5664,713.8411,24,504.7769,749.9581,746.442,1662.8373,832.4996,3020.2775,1.4,0,727.0386,4135.1798,608.5868,1567.5471,2924.6753,18224.6304,0,0,0,0,86.49
0,0,23,-9.6,6,701.5208,743.2318,895.5703,387.0125,48,2579.9035,803.8808,1121.2855,666.0589,665.0042,486.4672,363.9409,1245.9018,1187.5351,449.722,721.1771,26,476.5806,742.7684,727.749,1641.807,811.1801,2981.9287,1.7,0,724.2587,4168.5383,605.5775,1561.8924,2907.3525,18208.6097,0,0,0,0,92.16
1,0,32,-9.7,248,766.3817,777.7017,899.2056,385.9548,51,2590.3693,839.1351,1097.1383,654.4174,663.6529,478.7768,346.3202,1217.2336,1180.0011,444.4655,732.9495,22,491.5761,730.6878,721.1438,1614.0798,831.3166,2934.6281,0.8,0,741.7626,4159.7885,626.3112,1573.812,2941.5118,18128.5614,0,0,0,0,94.09
0,0,81,-9.8,325,774.0935,743.4175,896.2788,380.4025,53,2533.7021,815.7923,1091.8272,663.6508,673.8443,470.706,337.9221,1220.2818,1197.9448,401.0949,730.6798,27,492.761,744.6223,750.8232,1605.2295,823.8045,2900.0365,1.9,0,741.4333,4084.4067,642.904,1528.515,2888.3386,17852.3374,0,0,0,0,96.04
0,0,65,-10.1,448,766.0265,765.5781,883.5217,383.6743,55,2470.8683,794.6434,1061.0575,689.8176,651.5425,468.7146,328.6982,1208.269,1235.5588,399.7965,708.6772,25,510.5522,719.9695,725.4468,1582.745,813.9338,2846.1085,1.9,0,729.0047,4028.3356,631.9929,1497.5235,2868.5616,17563.469,0,0,0,0,102.01
1,1,135,-10.2,699,722.3224,796.0439,919.4049,399.9915,56,2488.335,800.9954,1109.2957,685.827,655.2793,484.6792,342.5029,1211.9752,1305.4915,385.5937,713.4432,25,490.1022,699.1623,747.8673,1665.3388,809.0183,2837.052,2.5,0,788.2362,3973.4656,676.5348,1479.1669,2775.5924,17540.2216,1,0,0,0,104.04
1,1,159,-9.1,956,620.5868,792.5406,951.7383,425.649,56,2473.7156,731.0624,1120.236,710.1531,666.1305,484.6419,352.4556,1256.7438,1249.5269,416.7076,740.1295,38,505.5763,739.2992,784.0184,1669.6841,847.7634,2783.3061,2.1,0,808.2654,3899.94,652.9334,1514.6997,2691.0828,17409.4081,0,0,0,0,82.81
1,0,128,-6.8,831,587.8323,761.8202,874.7221,416.1323,42,2538.3244,658.867,1116.8421,730.6889,690.4344,523.1398,441.5602,1280.9699,1314.768,475.4972,793.1648,30,509.4526,782.646,775.9598,1659.5073,870.377,2850.1474,2.3,0,822.3881,3872.7968,663.1034,1507.7122,2745.5063,17571.8064,0,1,0,0,46.24
0,1,207,-4.3,1018,586.4021,740.2119,917.8842,420.2144,37,2465.0082,736.8298,1197.2218,745.7217,782.8822,518.8519,472.3808,1385.1672,1320.4043,490.0385,826.6142,21,545.356,800.8161,768.1554,1686.0821,907.7156,2924.4905,0.9,0,833.0353,3905.4698,695.089,1518.8841,2767.0991,17849.4228,0,1,0,0,18.49
0,0,230,-2.3,1212,723.2443,722.2581,977.1987,426.3821,34,2586.8189,868.8715,1258.8671,748.1338,830.7245,525.7804,501.4525,1505.189,1276.0991,587.3517,855.5406,17,487.6,827.3971,776.7449,1859.6825,923.1611,2965.6393,1.2,0,872.7537,4058.0544,656.1947,1631.3175,2952.5516,18818.1203,0,0,0,0,5.29
0,0,317,-0.1,1333,876.6455,770.7484,1019.1622,455.5889,32,2626.8551,1092.1016,1397.4549,767.3724,802.4848,516.0127,634.1799,1479.5145,1302.6493,625.9619,945.3094,26,539.4187,820.6575,809.2896,1903.0784,1034.4107,3114.6131,1.5,0,892.3504,4179.6607,662.9924,1604.3219,3095.74,19401.2386,0,1,0,0,0.01
1,0,289,1.3,1564,1100.0851,781.2048,1007.1156,426.191,32,2781.1102,1314.7159,1296.6963,788.0211,799.3658,503.9361,751.2805,1569.3377,1240.5739,694.8158,954.4554,33,532.675,817.509,798.1733,1878.3498,1035.3322,3183.4582,2.2,1,906.0148,4305.561,650.5356,1664.2449,3120.8955,19799.6536,0,1,0,0,1.69
1,1,334,1.9,1831,1533.5207,811.7398,1075.261,425.5368,35,3021.9892,1725.9705,1318.7469,775.275,831.9715,516.2654,892.3827,1631.5211,1237.8167,768.3739,897.7426,46,560.3337,856.697,810.2722,1904.7691,1074.65,3308.7379,1.7,1,945.9123,4504.0262,641.0388,1726.6451,3165.0785,20581.514,0,0,0,0,3.61
0,0,393,1.8,2177,1951.9843,785.5772,1026.4613,440.202,37,3481.3525,2255.1883,1368.0086,816.4424,805.2629,575.7618,828.4641,1616.5206,1292.1359,677.759,879.5719,36,581.6992,898.046,856.0725,1972.7596,1034.5832,3627.6926,1.4,1,954.1123,4648.2518,649.4567,1735.9394,3286.5011,21737.0262,0,0,0,0,3.24
1,0,436,0.5,2172,2263.3812,747.7952,995.6357,443.0869,38,4061.439,2646.9193,1263.0188,786.7407,813.6039,579.374,777.9175,1588.2836,1277.7392,625.3572,879.2243,42,566.1505,881.8446,888.3974,2021.4605,1078.4719,3857.673,1.5,0,943.3894,5060.285,669.0835,1746.7962,3510.5175,23109.4736,0,0,0,0,0.25
0,0,374,-0.9,1919,2380.0975,760.3326,1068.9945,453.6725,42,4256.555,2808.1361,1294.8336,784.0434,769.2663,619.3034,673.987,1541.2446,1281.4106,714.8656,894.2637,46,534.6887,832.9198,851.4151,2106.8455,1063.4898,4122.9342,0.7,0,987.391,5475.9384,655.461,1750.1372,3621.7632,24170.2517,0,1,0,0,0.81
0,0,305,-1.2,1822,2302.7393,769.1565,1070.2002,444.6465,45,4307.0667,2620.2517,1328.7882,784.2678,799.8908,617.974,584.2799,1517.6744,1222.8802,600.0606,853.9846,43,559.3522,881.6793,842.4864,2142.992,1055.6617,4168.2017,0.9,0,986.3548,5433.5806,706.2706,1765.6912,3618.2199,24282.2147,0,7,0,0,1.44
0,0,482,-1.6,3216,1990.2825,746.3631,1046.1585,438.4032,47,3809.3629,2174.8429,1213.1176,756.7894,742.736,558.3138,505.39,1425.254,1215.1594,480.8395,840.3534,44,562.3245,838.2168,864.8032,2022.8202,971.6193,3987.5885,0.9,0,908.8601,5054.2346,680.7566,1734.4228,3458.2767,22705.0773,0,4,0,0,2.56
1,0,634,-2.4,4686,1010.5843,756.3511,1025.4351,424.2162,49,2966.0381,1027.2487,1187.2465,779.8195,757.9299,546.7402,380.3577,1368.3173,1241.576,554.185,796.9554,49,561.7106,816.4539,802.2568,1845.7715,890.7127,3306.7813,2.1,0,866.2712,4384.5668,675.7285,1643.6693,3166.2979,19868.6887,0,3,0,0,5.76
