"y","past_return","m20","m25","f15","temp","bus_passenger","f45","X17_18","sub_passenger","f50","m30","f20","wet","m50","m5","f55","m55","f70","f0","most_use","f30","X14_15","f40","f25","m0","m35","X16_17","m65","m40","m60","m45","f35","f60","m70","f65","dust","sunny","wind","cloud","X9_10","X12_13","semester","rain","X18_19","X11_12"
0,0,2548.6367,3015.3596,681.4761,-8.5,43,748.0299,0,0,662.6362,1631.9538,4073.9727,41,762.272,483.0675,644.9142,746.4938,1177.5972,324.4602,17968.4607,1539.043,0,683.3976,2851.2763,467.8565,1223.1281,0,410.6788,841.4878,512.8421,957.1493,1085.0905,585.9838,745.5813,495.7997,23,0,1.9,0,0,0,0,0,0,0
0,0,2523.8443,3001.7447,701.3249,-9.2,14,743.3119,0,0,666.9795,1657.9051,4097.0041,42,771.3296,493.5686,674.9197,748.2917,1160.2243,347.2202,18023.0759,1540.6339,0,701.6282,2896.7789,479.9148,1220.2493,0,401.14,829.8956,503.9736,934.9358,1084.9156,590.0877,745.9078,490.9543,25,0,1.8,0,0,0,0,0,0,0
0,0,2543.2527,3015.5108,680.9299,-9.5,16,726.5149,0,0,670.5085,1648.6811,4099.0282,43,769.4922,488.5988,661.0095,733.0098,1162.6758,335.7561,18122.5347,1561.0891,0,712.1175,2917.9572,471.2436,1233.4484,0,402.9143,833.344,481.7825,911.7137,1103.5672,611.642,742.8854,489.9515,25,0,1.2,0,0,0,0,0,0,0
0,0,2551.1909,3020.2775,723.9365,-9.3,8,727.0386,0,0,660.0832,1662.8373,4135.1798,46,749.9581,527.1239,667.3619,746.442,1151.3341,330.166,18224.6304,1567.5471,0,713.8411,2924.6753,471.5664,1231.1187,0,389.9331,832.4996,471.9041,923.3402,1131.8038,608.5868,746.3123,504.7769,24,0,1.4,0,0,0,0,0,0,0
0,0,2579.9035,2981.9287,803.8808,-9.6,23,724.2587,0,6,666.0589,1641.807,4168.5383,48,742.7684,701.5208,665.0042,727.749,1187.5351,363.9409,18208.6097,1561.8924,0,721.1771,2907.3525,449.722,1245.9018,0,387.0125,811.1801,486.4672,895.5703,1121.2855,605.5775,743.2318,476.5806,26,0,1.7,0,0,0,0,0,0,0
0,0,2590.3693,2934.6281,839.1351,-9.7,32,741.7626,0,248,654.4174,1614.0798,4159.7885,51,730.6878,766.3817,663.6529,721.1438,1180.0011,346.3202,18128.5614,1573.812,0,732.9495,2941.5118,444.4655,1217.2336,0,385.9548,831.3166,478.7768,899.2056,1097.1383,626.3112,777.7017,491.5761,22,0,0.8,0,0,0,0,0,0,0
0,0,2533.7021,2900.0365,815.7923,-9.8,81,741.4333,0,325,663.6508,1605.2295,4084.4067,53,744.6223,774.0935,673.8443,750.8232,1197.9448,337.9221,17852.3374,1528.515,0,730.6798,2888.3386,401.0949,1220.2818,0,380.4025,823.8045,470.706,896.2788,1091.8272,642.904,743.4175,492.761,27,0,1.9,0,0,0,0,0,0,0
0,0,2470.8683,2846.1085,794.6434,-10.1,65,729.0047,0,448,689.8176,1582.745,4028.3356,55,719.9695,766.0265,651.5425,725.4468,1235.5588,328.6982,17563.469,1497.5235,0,708.6772,2868.5616,399.7965,1208.269,0,383.6743,813.9338,468.7146,883.5217,1061.0575,631.9929,765.5781,510.5522,25,0,1.9,0,0,0,0,0,0,0
0,0,2488.335,2837.052,800.9954,-10.2,135,788.2362,0,699,685.827,1665.3388,3973.4656,56,699.1623,722.3224,655.2793,747.8673,1305.4915,342.5029,17540.2216,1479.1669,0,713.4432,2775.5924,385.5937,1211.9752,0,399.9915,809.0183,484.6792,919.4049,1109.2957,676.5348,796.0439,490.1022,25,0,2.5,0,0,0,0,0,0,0
0,0,2473.7156,2783.3061,731.0624,-9.1,159,808.2654,0,956,710.1531,1669.6841,3899.94,56,739.2992,620.5868,666.1305,784.0184,1249.5269,352.4556,17409.4081,1514.6997,0,740.1295,2691.0828,416.7076,1256.7438,0,425.649,847.7634,484.6419,951.7383,1120.236,652.9334,792.5406,505.5763,38,0,2.1,0,1,0,0,0,0,0
0,0,2538.3244,2850.1474,658.867,-6.8,128,822.3881,0,831,730.6889,1659.5073,3872.7968,42,782.646,587.8323,690.4344,775.9598,1314.768,441.5602,17571.8064,1507.7122,0,793.1648,2745.5063,475.4972,1280.9699,0,416.1323,870.377,523.1398,874.7221,1116.8421,663.1034,761.8202,509.4526,30,0,2.3,1,0,0,0,0,0,0
0,0,2465.0082,2924.4905,736.8298,-4.3,207,833.0353,0,1018,745.7217,1686.0821,3905.4698,37,800.8161,586.4021,782.8822,768.1554,1320.4043,472.3808,17849.4228,1518.8841,0,826.6142,2767.0991,490.0385,1385.1672,0,420.2144,907.7156,518.8519,917.8842,1197.2218,695.089,740.2119,545.356,21,0,0.9,1,0,0,0,0,0,1
0,0,2586.8189,2965.6393,868.8715,-2.3,230,872.7537,0,1212,748.1338,1859.6825,4058.0544,34,827.3971,723.2443,830.7245,776.7449,1276.0991,501.4525,18818.1203,1631.3175,0,855.5406,2952.5516,587.3517,1505.189,0,426.3821,923.1611,525.7804,977.1987,1258.8671,656.1947,722.2581,487.6,17,0,1.2,0,0,1,0,0,0,0
0,0,2626.8551,3114.6131,1092.1016,-0.1,317,892.3504,0,1333,767.3724,1903.0784,4179.6607,32,820.6575,876.6455,802.4848,809.2896,1302.6493,634.1799,19401.2386,1604.3219,0,945.3094,3095.74,625.9619,1479.5145,0,455.5889,1034.4107,516.0127,1019.1622,1397.4549,662.9924,770.7484,539.4187,26,0,1.5,1,0,0,0,0,0,0
0,1,2781.1102,3183.4582,1314.7159,1.3,289,906.0148,0,1564,788.0211,1878.3498,4305.561,32,817.509,1100.0851,799.3658,798.1733,1240.5739,751.2805,19799.6536,1664.2449,1,954.4554,3120.8955,694.8158,1569.3377,0,426.191,1035.3322,503.9361,1007.1156,1296.6963,650.5356,781.2048,532.675,33,1,2.2,1,0,0,0,0,0,0
1,0,3021.9892,3308.7379,1725.9705,1.9,334,945.9123,0,1831,775.275,1904.7691,4504.0262,35,856.697,1533.5207,831.9715,810.2722,1237.8167,892.3827,20581.514,1726.6451,0,897.7426,3165.0785,768.3739,1631.5211,0,425.5368,1074.65,516.2654,1075.261,1318.7469,641.0388,811.7398,560.3337,46,1,1.7,0,0,0,0,0,0,0
1,0,3481.3525,3627.6926,2255.1883,1.8,393,954.1123,0,2177,816.4424,1972.7596,4648.2518,37,898.046,1951.9843,805.2629,856.0725,1292.1359,828.4641,21737.0262,1735.9394,0,879.5719,3286.5011,677.759,1616.5206,1,440.202,1034.5832,575.7618,1026.4613,1368.0086,649.4567,785.5772,581.6992,36,1,1.4,0,0,0,0,0,0,0
0,1,4061.439,3857.673,2646.9193,0.5,436,943.3894,1,2172,786.7407,2021.4605,5060.285,38,881.8446,2263.3812,813.6039,888.3974,1277.7392,777.9175,23109.4736,1746.7962,0,879.2243,3510.5175,625.3572,1588.2836,0,443.0869,1078.4719,579.374,995.6357,1263.0188,669.0835,747.7952,566.1505,42,0,1.5,0,0,0,0,0,0,0
0,0,4256.555,4122.9342,2808.1361,-0.9,374,987.391,0,1919,784.0434,2106.8455,5475.9384,42,832.9198,2380.0975,769.2663,851.4151,1281.4106,673.987,24170.2517,1750.1372,0,894.2637,3621.7632,714.8656,1541.2446,0,453.6725,1063.4898,619.3034,1068.9945,1294.8336,655.461,760.3326,534.6887,46,0,0.7,1,0,0,0,0,1,0
