"y","past_return","bus_passenger","sub_passenger","temp","m20","m30","m5","wet","m25","m50","f20","f0","m35","m0","f15","m45","m60","f50","f70","m55","m40","f25","f40","f30","f65","f35","cloud","dust","f60","wind","m65","m70","f45","f55","sunny","rain","most_use","semester","X8_9","X21_22","X19_20"
1,0,43,0,-8.5,2548.6367,1631.9538,483.0675,41,3015.3596,762.272,4073.9727,324.4602,1223.1281,467.8565,681.4761,957.1493,512.8421,662.6362,1177.5972,746.4938,841.4878,2851.2763,683.3976,1539.043,495.7997,1085.0905,0,23,585.9838,1.9,410.6788,745.5813,748.0299,644.9142,0,0,17968.4607,0,0,0,0
1,0,14,0,-9.2,2523.8443,1657.9051,493.5686,42,3001.7447,771.3296,4097.0041,347.2202,1220.2493,479.9148,701.3249,934.9358,503.9736,666.9795,1160.2243,748.2917,829.8956,2896.7789,701.6282,1540.6339,490.9543,1084.9156,0,25,590.0877,1.8,401.14,745.9078,743.3119,674.9197,0,0,18023.0759,0,0,0,0
0,2,16,0,-9.5,2543.2527,1648.6811,488.5988,43,3015.5108,769.4922,4099.0282,335.7561,1233.4484,471.2436,680.9299,911.7137,481.7825,670.5085,1162.6758,733.0098,833.344,2917.9572,712.1175,1561.0891,489.9515,1103.5672,0,25,611.642,1.2,402.9143,742.8854,726.5149,661.0095,0,0,18122.5347,0,0,0,0
3,0,8,0,-9.3,2551.1909,1662.8373,527.1239,46,3020.2775,749.9581,4135.1798,330.166,1231.1187,471.5664,723.9365,923.3402,471.9041,660.0832,1151.3341,746.442,832.4996,2924.6753,713.8411,1567.5471,504.7769,1131.8038,0,24,608.5868,1.4,389.9331,746.3123,727.0386,667.3619,0,0,18224.6304,0,0,0,0
1,0,23,6,-9.6,2579.9035,1641.807,701.5208,48,2981.9287,742.7684,4168.5383,363.9409,1245.9018,449.722,803.8808,895.5703,486.4672,666.0589,1187.5351,727.749,811.1801,2907.3525,721.1771,1561.8924,476.5806,1121.2855,0,26,605.5775,1.7,387.0125,743.2318,724.2587,665.0042,0,0,18208.6097,0,0,0,0
0,0,32,248,-9.7,2590.3693,1614.0798,766.3817,51,2934.6281,730.6878,4159.7885,346.3202,1217.2336,444.4655,839.1351,899.2056,478.7768,654.4174,1180.0011,721.1438,831.3166,2941.5118,732.9495,1573.812,491.5761,1097.1383,0,22,626.3112,0.8,385.9548,777.7017,741.7626,663.6529,0,0,18128.5614,0,0,0,0
0,0,81,325,-9.8,2533.7021,1605.2295,774.0935,53,2900.0365,744.6223,4084.4067,337.9221,1220.2818,401.0949,815.7923,896.2788,470.706,663.6508,1197.9448,750.8232,823.8045,2888.3386,730.6798,1528.515,492.761,1091.8272,0,27,642.904,1.9,380.4025,743.4175,741.4333,673.8443,0,0,17852.3374,0,0,0,0
0,1,65,448,-10.1,2470.8683,1582.745,766.0265,55,2846.1085,719.9695,4028.3356,328.6982,1208.269,399.7965,794.6434,883.5217,468.7146,689.8176,1235.5588,725.4468,813.9338,2868.5616,708.6772,1497.5235,510.5522,1061.0575,0,25,631.9929,1.9,383.6743,765.5781,729.0047,651.5425,0,0,17563.469,0,0,0,0
0,0,135,699,-10.2,2488.335,1665.3388,722.3224,56,2837.052,699.1623,3973.4656,342.5029,1211.9752,385.5937,800.9954,919.4049,484.6792,685.827,1305.4915,747.8673,809.0183,2775.5924,713.4432,1479.1669,490.1022,1109.2957,0,25,676.5348,2.5,399.9915,796.0439,788.2362,655.2793,0,0,17540.2216,0,1,0,0
0,0,159,956,-9.1,2473.7156,1669.6841,620.5868,56,2783.3061,739.2992,3899.94,352.4556,1256.7438,416.7076,731.0624,951.7383,484.6419,710.1531,1249.5269,784.0184,847.7634,2691.0828,740.1295,1514.6997,505.5763,1120.236,0,38,652.9334,2.1,425.649,792.5406,808.2654,666.1305,0,0,17409.4081,0,0,0,0
