"y","sub_passenger","bus_passenger","past_return","temp","X8_9","wet","rain","X7_8","m25","f0","m30","f35","f45","m40","m45","sunny","m50","m5","m35","m55","m0","f25","m70","f50","m65","f60","dust","f65","m60","f70","cloud","m20","f55","f40","wind","f20","f30","f15","X18_19","most_use","snow","X9_10","temp.sqr","weekend","X16_17","semester","X12_13"
1,0,43,0,-8.5,0,41,0,0,3015.3596,324.4602,1631.9538,1085.0905,748.0299,841.4878,957.1493,0,762.272,483.0675,1223.1281,746.4938,467.8565,2851.2763,745.5813,662.6362,410.6788,585.9838,23,495.7997,512.8421,1177.5972,0,2548.6367,644.9142,683.3976,1.9,4073.9727,1539.043,681.4761,0,17968.4607,0,0,72.25,1,0,0,0
2,0,14,0,-9.2,0,42,0,0,3001.7447,347.2202,1657.9051,1084.9156,743.3119,829.8956,934.9358,0,771.3296,493.5686,1220.2493,748.2917,479.9148,2896.7789,745.9078,666.9795,401.14,590.0877,25,490.9543,503.9736,1160.2243,0,2523.8443,674.9197,701.6282,1.8,4097.0041,1540.6339,701.3249,0,18023.0759,0,0,84.64,1,0,0,0
0,0,16,0,-9.5,0,43,0,0,3015.5108,335.7561,1648.6811,1103.5672,726.5149,833.344,911.7137,0,769.4922,488.5988,1233.4484,733.0098,471.2436,2917.9572,742.8854,670.5085,402.9143,611.642,25,489.9515,481.7825,1162.6758,0,2543.2527,661.0095,712.1175,1.2,4099.0282,1561.0891,680.9299,0,18122.5347,0,0,90.25,1,0,0,0
0,0,8,1,-9.3,0,46,0,0,3020.2775,330.166,1662.8373,1131.8038,727.0386,832.4996,923.3402,0,749.9581,527.1239,1231.1187,746.442,471.5664,2924.6753,746.3123,660.0832,389.9331,608.5868,24,504.7769,471.9041,1151.3341,0,2551.1909,667.3619,713.8411,1.4,4135.1798,1567.5471,723.9365,0,18224.6304,0,0,86.49,1,0,0,0
0,6,23,0,-9.6,0,48,0,0,2981.9287,363.9409,1641.807,1121.2855,724.2587,811.1801,895.5703,0,742.7684,701.5208,1245.9018,727.749,449.722,2907.3525,743.2318,666.0589,387.0125,605.5775,26,476.5806,486.4672,1187.5351,0,2579.9035,665.0042,721.1771,1.7,4168.5383,1561.8924,803.8808,0,18208.6097,0,0,92.16,1,0,0,0
0,248,32,0,-9.7,0,51,0,0,2934.6281,346.3202,1614.0798,1097.1383,741.7626,831.3166,899.2056,0,730.6878,766.3817,1217.2336,721.1438,444.4655,2941.5118,777.7017,654.4174,385.9548,626.3112,22,491.5761,478.7768,1180.0011,0,2590.3693,663.6529,732.9495,0.8,4159.7885,1573.812,839.1351,0,18128.5614,0,0,94.09,1,0,0,0
1,325,81,0,-9.8,0,53,0,0,2900.0365,337.9221,1605.2295,1091.8272,741.4333,823.8045,896.2788,0,744.6223,774.0935,1220.2818,750.8232,401.0949,2888.3386,743.4175,663.6508,380.4025,642.904,27,492.761,470.706,1197.9448,0,2533.7021,673.8443,730.6798,1.9,4084.4067,1528.515,815.7923,0,17852.3374,0,0,96.04,1,0,0,0
0,448,65,0,-10.1,0,55,0,1,2846.1085,328.6982,1582.745,1061.0575,729.0047,813.9338,883.5217,0,719.9695,766.0265,1208.269,725.4468,399.7965,2868.5616,765.5781,689.8176,383.6743,631.9929,25,510.5522,468.7146,1235.5588,0,2470.8683,651.5425,708.6772,1.9,4028.3356,1497.5235,794.6434,0,17563.469,0,0,102.01,1,0,0,0
2,699,135,0,-10.2,1,56,0,0,2837.052,342.5029,1665.3388,1109.2957,788.2362,809.0183,919.4049,0,699.1623,722.3224,1211.9752,747.8673,385.5937,2775.5924,796.0439,685.827,399.9915,676.5348,25,490.1022,484.6792,1305.4915,0,2488.335,655.2793,713.4432,2.5,3973.4656,1479.1669,800.9954,0,17540.2216,0,0,104.04,1,0,0,0
2,956,159,1,-9.1,0,56,0,0,2783.3061,352.4556,1669.6841,1120.236,808.2654,847.7634,951.7383,0,739.2992,620.5868,1256.7438,784.0184,416.7076,2691.0828,792.5406,710.1531,425.649,652.9334,38,505.5763,484.6419,1249.5269,0,2473.7156,666.1305,740.1295,2.1,3899.94,1514.6997,731.0624,0,17409.4081,0,1,82.81,1,0,0,0
1,831,128,0,-6.8,0,42,0,0,2850.1474,441.5602,1659.5073,1116.8421,822.3881,870.377,874.7221,0,782.646,587.8323,1280.9699,775.9598,475.4972,2745.5063,761.8202,730.6889,416.1323,663.1034,30,509.4526,523.1398,1314.768,1,2538.3244,690.4344,793.1648,2.3,3872.7968,1507.7122,658.867,0,17571.8064,0,0,46.24,1,0,0,0
