"y","past_return","bus_passenger","station_dist","temp","m5","m0","sub_passenger","wind","wet","X8_9","dust","f25","m40","m20","m30","f0","f15","m70","m65","m25","X14_15","cloud","m55","m35","m60","f70","f40","f65","m50","f60","f30","m45","f35","f45","f55","f20","X18_19","station_type","f50","rain","m10","most_use","f10","X9_10","semester","X16_17","X19_20","sunny","X22_23","X7_8"
3,1,312,47,24.1,483.4213,1124.531,0,3.3,60,0,38,599.9715,668.2291,448.7976,657.5675,1066.0639,485.0128,867.2345,386.7972,546.8204,0,9,652.1019,673.3604,546.8599,1219.8572,751.9638,511.8109,635.713,657.6134,644.3146,731.6674,773.337,769.3712,716.1146,519.953,0,0,633.7937,0,526.0718,4864.122,463.0695,0,1,0,0,1,0,0
3,7,211,118,24.8,275.2324,557.0988,0,2.1,57,0,31.5,884.5247,673.3417,845.5711,798.8376,373.6063,276.8075,572.3271,285.5541,1001.7074,0,9,554.4142,796.1845,414.3256,961.2909,606.6908,360.164,547.7211,471.9797,681.5126,655.4671,614.3823,582.965,484.4514,895.355,0,0,515.1209,0,233.1632,6518.0752,183.0469,0,1,0,0,1,0,0
0,1,163,41,14.2,1478.4455,1667.9013,339,2.5,54,0,67,1002.1663,1653.125,908.8777,783.1915,1860.0769,1633.0677,1232.6789,623.2383,780.2005,0,0,1207.8237,1082.6233,829.8282,1684.0615,2047.0933,753.3811,1449.584,922.3561,868.4059,1745.0097,1525.6978,2252.0104,1311.2121,1153.2405,0,0,1525.5212,0,1409.998,8104.4035,1558.1012,0,1,0,0,0,1,0
1,1,316,10,13.5,427.6369,567.925,2030,3.1,54,0,64,953.0203,611.6986,1117.3927,667.4892,1436.6132,768.5509,759.7299,316.5695,863.8591,1,10,571.8053,751.0577,391.7485,1049.3309,599.3944,478.777,556.0733,537.7304,750.5483,717.799,828.7072,694.1078,638.192,1182.3625,0,0,582.9179,0,189.3081,7114.437,513.6486,0,1,0,0,0,0,0
2,5,29,62,15.8,237.0994,450.7848,0,0,72,0,28,920.8078,559.1585,491.1756,829.0998,368.0367,275.6162,447.1815,234.548,741.2984,0,0,394.7574,718.8783,324.9455,769.896,493.836,311.7711,425.4338,358.798,876.6734,525.0973,696.7748,459.1299,473.5909,726.8882,0,0,373.383,0,150.2615,6001.5963,131.5885,0,1,0,0,0,0,0
0,0,240,91,7.2,593.8249,646.3835,315,3,56,0,20,824.0267,784.6953,610.0427,679.3717,881.0079,589.94,921.8084,417.0979,654.2562,0,7,862.0083,804.0109,548.0035,1499.5231,1044.1735,657.6038,725.5422,858.157,830.3624,848.0182,884.4059,1085.809,873.6676,723.6197,0,0,852.5343,0,357.3332,6010.0962,511.4585,0,1,0,0,0,0,0
0,0,15,43,-3.4,633.7191,953.5669,0,0.3,63,0,32,984.1849,1016.0144,703.0289,835.2287,980.8766,756.7651,986.2743,503.3472,918.6603,0,0,841.9028,1220.2991,683.7718,1485.9261,1093.0375,667.2698,968.5518,815.2584,1025.1899,1059.9305,1178.0292,1016.2215,1101.9347,954.1501,0,0,1013.1667,0,492.2297,7818.7711,521.3742,0,0,0,0,0,0,0
8,6,167,48,15.4,1315.7739,1501.7599,314,3.1,42,0,57,965.2505,1320.0372,853.8297,747.4215,1782.1377,1528.9451,1249.127,644.1094,817.7056,0,0,1248.3287,1081.834,894.0053,1681.559,1975.8037,711.47,1451.798,987.4305,877.7083,1805.0923,1547.6893,2198.9622,1395.7691,1053.2284,0,0,1494.235,0,1269.5468,7944.6673,1492.8152,0,1,0,0,1,0,0
7,0,1070,42,-7.6,413.3401,308.0465,0,2.1,54,1,20,1497.3849,724.8475,1493.2493,993.2148,348.8234,448.578,589.7835,313.6142,1478.5978,0,0,602.0668,1060.8982,452.4237,939.9898,700.8985,313.4513,645.305,520.623,1104.0867,795.9051,923.9619,645.1035,575.1206,2155.1504,0,0,588.5818,0,128.9269,10706.544,170.9047,0,1,0,0,0,0,0
0,1,1,100,-3.3,461.8892,874.3544,0,1.8,78,0,37,946.2954,829.5621,622.101,861.8575,789.2329,534.0504,943.7865,434.9804,749.8801,0,9,816.314,1011.8788,615.1272,1441.0415,1019.0013,631.9965,742.1591,807.169,993.9675,964.8996,1155.1386,951.8781,1003.4441,663.8967,0,0,761.3906,0,409.036,7005.0156,342.8212,0,0,0,0,0,0,0
0,2,461,428,16.1,760.7974,491.5599,0,2.3,45,0,62,1242.4192,732.8933,2743.4686,928.882,474.2512,847.7111,701.3911,324.9568,1709.2699,1,0,656.524,947.5904,453.2389,990.2589,757.3701,424.5867,685.9177,572.6198,845.9066,859.669,901.8562,689.8805,632.9734,2926.7568,0,0,608.605,0,205.7328,12246.1497,232.3571,0,1,0,0,1,0,0
1,3,449,83,7.1,412.4068,416.9117,0,4.7,56,0,9,1383.7285,659.3077,1147.5281,1064.7041,345.2522,441.7789,584.4883,361.6492,1528.7777,0,9,668.8706,989.9208,476.8124,1027.1465,689.732,387.229,632.1349,574.5347,1006.5865,712.8103,910.3832,686.0176,633.7823,1396.8733,0,0,561.3552,0,174.4903,9428.5022,169.1551,0,1,0,1,0,0,0
