"y","past_return","bus_passenger","sub_passenger","temp","wet","m35","f45","m30","m0","wind","sunny","m5","m40","f70","f40","f30","m20","m25","f0","dust","m45","f65","m70","m50","f55","f60","m65","f35","m60","m55","most_use","f50","f15","f20","f25","cloud","rain","X8_9","semester","X18_19","X17_18","temp.sqr"
0,0,43,0,-8.5,41,1223.1281,748.0299,1631.9538,467.8565,1.9,0,483.0675,841.4878,1177.5972,683.3976,1539.043,2548.6367,3015.3596,324.4602,23,957.1493,495.7997,745.5813,762.272,644.9142,585.9838,410.6788,1085.0905,512.8421,746.4938,17968.4607,662.6362,681.4761,4073.9727,2851.2763,0,0,0,0,0,0,72.25
0,0,14,0,-9.2,42,1220.2493,743.3119,1657.9051,479.9148,1.8,0,493.5686,829.8956,1160.2243,701.6282,1540.6339,2523.8443,3001.7447,347.2202,25,934.9358,490.9543,745.9078,771.3296,674.9197,590.0877,401.14,1084.9156,503.9736,748.2917,18023.0759,666.9795,701.3249,4097.0041,2896.7789,0,0,0,0,0,0,84.64
1,1,16,0,-9.5,43,1233.4484,726.5149,1648.6811,471.2436,1.2,0,488.5988,833.344,1162.6758,712.1175,1561.0891,2543.2527,3015.5108,335.7561,25,911.7137,489.9515,742.8854,769.4922,661.0095,611.642,402.9143,1103.5672,481.7825,733.0098,18122.5347,670.5085,680.9299,4099.0282,2917.9572,0,0,0,0,0,0,90.25
1,0,8,0,-9.3,46,1231.1187,727.0386,1662.8373,471.5664,1.4,0,527.1239,832.4996,1151.3341,713.8411,1567.5471,2551.1909,3020.2775,330.166,24,923.3402,504.7769,746.3123,749.9581,667.3619,608.5868,389.9331,1131.8038,471.9041,746.442,18224.6304,660.0832,723.9365,4135.1798,2924.6753,0,0,0,0,0,0,86.49
0,0,23,6,-9.6,48,1245.9018,724.2587,1641.807,449.722,1.7,0,701.5208,811.1801,1187.5351,721.1771,1561.8924,2579.9035,2981.9287,363.9409,26,895.5703,476.5806,743.2318,742.7684,665.0042,605.5775,387.0125,1121.2855,486.4672,727.749,18208.6097,666.0589,803.8808,4168.5383,2907.3525,0,0,0,0,0,0,92.16
0,0,32,248,-9.7,51,1217.2336,741.7626,1614.0798,444.4655,0.8,0,766.3817,831.3166,1180.0011,732.9495,1573.812,2590.3693,2934.6281,346.3202,22,899.2056,491.5761,777.7017,730.6878,663.6529,626.3112,385.9548,1097.1383,478.7768,721.1438,18128.5614,654.4174,839.1351,4159.7885,2941.5118,0,0,0,0,0,0,94.09
0,0,81,325,-9.8,53,1220.2818,741.4333,1605.2295,401.0949,1.9,0,774.0935,823.8045,1197.9448,730.6798,1528.515,2533.7021,2900.0365,337.9221,27,896.2788,492.761,743.4175,744.6223,673.8443,642.904,380.4025,1091.8272,470.706,750.8232,17852.3374,663.6508,815.7923,4084.4067,2888.3386,0,0,0,0,0,0,96.04
0,0,65,448,-10.1,55,1208.269,729.0047,1582.745,399.7965,1.9,0,766.0265,813.9338,1235.5588,708.6772,1497.5235,2470.8683,2846.1085,328.6982,25,883.5217,510.5522,765.5781,719.9695,651.5425,631.9929,383.6743,1061.0575,468.7146,725.4468,17563.469,689.8176,794.6434,4028.3356,2868.5616,0,0,0,0,0,0,102.01
0,0,135,699,-10.2,56,1211.9752,788.2362,1665.3388,385.5937,2.5,0,722.3224,809.0183,1305.4915,713.4432,1479.1669,2488.335,2837.052,342.5029,25,919.4049,490.1022,796.0439,699.1623,655.2793,676.5348,399.9915,1109.2957,484.6792,747.8673,17540.2216,685.827,800.9954,3973.4656,2775.5924,0,0,1,0,0,0,104.04
0,0,159,956,-9.1,56,1256.7438,808.2654,1669.6841,416.7076,2.1,0,620.5868,847.7634,1249.5269,740.1295,1514.6997,2473.7156,2783.3061,352.4556,38,951.7383,505.5763,792.5406,739.2992,666.1305,652.9334,425.649,1120.236,484.6419,784.0184,17409.4081,710.1531,731.0624,3899.94,2691.0828,0,0,0,0,0,0,82.81
0,0,128,831,-6.8,42,1280.9699,822.3881,1659.5073,475.4972,2.3,0,587.8323,870.377,1314.768,793.1648,1507.7122,2538.3244,2850.1474,441.5602,30,874.7221,509.4526,761.8202,782.646,690.4344,663.1034,416.1323,1116.8421,523.1398,775.9598,17571.8064,730.6889,658.867,3872.7968,2745.5063,1,0,0,0,0,0,46.24
0,0,207,1018,-4.3,37,1385.1672,833.0353,1686.0821,490.0385,0.9,0,586.4021,907.7156,1320.4043,826.6142,1518.8841,2465.0082,2924.4905,472.3808,21,917.8842,545.356,740.2119,800.8161,782.8822,695.089,420.2144,1197.2218,518.8519,768.1554,17849.4228,745.7217,736.8298,3905.4698,2767.0991,1,0,0,0,0,0,18.49
3,0,230,1212,-2.3,34,1505.189,872.7537,1859.6825,587.3517,1.2,0,723.2443,923.1611,1276.0991,855.5406,1631.3175,2586.8189,2965.6393,501.4525,17,977.1987,487.6,722.2581,827.3971,830.7245,656.1947,426.3821,1258.8671,525.7804,776.7449,18818.1203,748.1338,868.8715,4058.0544,2952.5516,0,0,0,0,0,0,5.29
3,6,317,1333,-0.1,32,1479.5145,892.3504,1903.0784,625.9619,1.5,0,876.6455,1034.4107,1302.6493,945.3094,1604.3219,2626.8551,3114.6131,634.1799,26,1019.1622,539.4187,770.7484,820.6575,802.4848,662.9924,455.5889,1397.4549,516.0127,809.2896,19401.2386,767.3724,1092.1016,4179.6607,3095.74,1,0,0,0,0,0,0.01
1,0,289,1564,1.3,32,1569.3377,906.0148,1878.3498,694.8158,2.2,1,1100.0851,1035.3322,1240.5739,954.4554,1664.2449,2781.1102,3183.4582,751.2805,33,1007.1156,532.675,781.2048,817.509,799.3658,650.5356,426.191,1296.6963,503.9361,798.1733,19799.6536,788.0211,1314.7159,4305.561,3120.8955,1,0,0,0,0,0,1.69
3,0,334,1831,1.9,35,1631.5211,945.9123,1904.7691,768.3739,1.7,1,1533.5207,1074.65,1237.8167,897.7426,1726.6451,3021.9892,3308.7379,892.3827,46,1075.261,560.3337,811.7398,856.697,831.9715,641.0388,425.5368,1318.7469,516.2654,810.2722,20581.514,775.275,1725.9705,4504.0262,3165.0785,0,0,0,0,0,0,3.61
1,3,393,2177,1.8,37,1616.5206,954.1123,1972.7596,677.759,1.4,1,1951.9843,1034.5832,1292.1359,879.5719,1735.9394,3481.3525,3627.6926,828.4641,36,1026.4613,581.6992,785.5772,898.046,805.2629,649.4567,440.202,1368.0086,575.7618,856.0725,21737.0262,816.4424,2255.1883,4648.2518,3286.5011,0,0,0,0,0,0,3.24
2,4,436,2172,0.5,38,1588.2836,943.3894,2021.4605,625.3572,1.5,0,2263.3812,1078.4719,1277.7392,879.2243,1746.7962,4061.439,3857.673,777.9175,42,995.6357,566.1505,747.7952,881.8446,813.6039,669.0835,443.0869,1263.0188,579.374,888.3974,23109.4736,786.7407,2646.9193,5060.285,3510.5175,0,0,0,0,0,1,0.25
4,3,374,1919,-0.9,42,1541.2446,987.391,2106.8455,714.8656,0.7,0,2380.0975,1063.4898,1281.4106,894.2637,1750.1372,4256.555,4122.9342,673.987,46,1068.9945,534.6887,760.3326,832.9198,769.2663,655.461,453.6725,1294.8336,619.3034,851.4151,24170.2517,784.0434,2808.1361,5475.9384,3621.7632,1,0,0,0,1,0,0.81
0,4,305,1822,-1.2,45,1517.6744,986.3548,2142.992,600.0606,0.9,0,2302.7393,1055.6617,1222.8802,853.9846,1765.6912,4307.0667,4168.2017,584.2799,43,1070.2002,559.3522,769.1565,881.6793,799.8908,706.2706,444.6465,1328.7882,617.974,842.4864,24282.2147,784.2678,2620.2517,5433.5806,3618.2199,7,0,0,0,0,0,1.44
1,0,482,3216,-1.6,47,1425.254,908.8601,2022.8202,480.8395,0.9,0,1990.2825,971.6193,1215.1594,840.3534,1734.4228,3809.3629,3987.5885,505.39,44,1046.1585,562.3245,746.3631,838.2168,742.736,680.7566,438.4032,1213.1176,558.3138,864.8032,22705.0773,756.7894,2174.8429,5054.2346,3458.2767,4,0,0,0,0,0,2.56
0,0,634,4686,-2.4,49,1368.3173,866.2712,1845.7715,554.185,2.1,0,1010.5843,890.7127,1241.576,796.9554,1643.6693,2966.0381,3306.7813,380.3577,49,1025.4351,561.7106,756.3511,816.4539,757.9299,675.7285,424.2162,1187.2465,546.7402,802.2568,19868.6887,779.8195,1027.2487,4384.5668,3166.2979,3,0,0,0,0,0,5.76
1,1,340,1294,-2.5,49,1298.3517,842.5428,1777.7479,514.7113,1,0,665.6039,862.1241,1222.1237,782.2246,1664.3515,2697.6954,3215.2554,388.5686,48,974.7318,524.8618,751.4911,801.8453,727.5439,695.5734,442.2193,1215.4682,568.5069,810.0397,19227.1009,794.7583,752.5396,4242.8454,3115.3854,6,0,0,0,0,0,6.25
3,3,124,312,-2.6,52,1229.9252,746.8139,1621.3565,461.283,0.9,0,515.973,818.7908,1108.3629,646.9265,1629.9731,2496.8181,3131.7732,300.0897,52,895.2271,501.4084,784.51,730.9854,622.0597,611.6483,404.4098,1097.3711,509.645,759.3371,18418.4618,672.8306,637.14,4208.4572,3002.7874,8,0,0,0,0,0,6.76
1,1,36,2,-2.8,55,1254.9868,749.1479,1649.3404,459.8054,2.3,0,527.3301,791.2885,1148.3885,643.7032,1675.7792,2528.0976,3054.5089,330.7562,51,906.0489,493.9842,770.8469,725.6719,629.466,629.755,416.2185,1067.6567,491.5773,728.0094,18420.8415,677.3715,598.9934,4230.2852,2960.1867,7,0,0,0,0,0,7.84
1,0,13,0,-2.9,57,1252.7303,770.2866,1676.1082,471.4803,2.1,0,506.7215,827.1632,1135.7623,685.7243,1656.4244,2550.0382,3069.2582,341.9429,55,886.2969,510.7964,763.9788,745.1448,619.1185,615.1559,398.5573,1080.3975,494.3149,726.0669,18537.3961,682.0035,607.0678,4255.3486,2997.0907,8,0,0,0,0,0,8.41
0,0,19,0,-2.6,57,1256.0014,754.7675,1675.8869,492.5551,1.9,0,524.8589,817.9012,1126.2161,660.4695,1641.1874,2538.5105,3066.2662,344.1256,51,875.2236,484.6168,745.4565,744.1317,589.0645,622.665,406.412,1060.8378,496.8338,726.8703,18521.2688,689.4129,588.4983,4273.9491,3008.6295,8,0,0,0,0,0,6.76
0,0,8,0,-2.1,56,1213.0688,739.2058,1698.6529,445.0988,2.5,0,526.9761,803.6301,1136.0043,659.0926,1675.377,2514.5834,3082.9688,355.3955,38,904.0857,487.8129,737.3836,750.5879,595.6035,619.0804,417.9578,1080.4464,500.0517,716.3295,18543.7858,697.1884,605.8067,4276.3212,3002.3673,9,0,0,0,0,0,4.41
0,0,12,5,-1.9,55,1205.585,754.1053,1704.6129,434.6023,2,0,544.9547,796.9997,1123.3199,660.6537,1678.664,2554.3603,3061.9827,338.3259,41,899.1318,482.6152,748.4007,728.445,581.9424,635.7418,414.0992,1103.7989,501.2277,714.0956,18543.7955,679.593,637.0526,4266.5884,2968.2033,8,0,0,0,0,0,3.61
0,0,37,161,-1.9,56,1224.7163,731.9394,1695.6564,412.9007,2.3,0,548.4396,821.4094,1157.4969,647.9535,1659.9689,2545.7365,3049.3064,324.6109,43,906.7302,511.8701,747.7826,731.1179,595.7291,635.9868,426.0584,1075.489,510.728,713.7302,18453.4719,675.7104,665.0012,4218.3895,2984.2089,9,0,0,0,0,0,3.61
0,0,56,246,-1.9,66,1212.6061,746.2945,1690.2626,420.7984,2.5,0,574.8667,799.429,1164.5989,661.6567,1668.6876,2542.303,3031.7595,324.349,43,925.2835,538.8868,759.6752,746.232,601.7095,658.7549,431.7673,1073.0664,517.5398,713.4863,18440.4493,680.5979,639.7209,4248.1746,2973.5895,9,0,0,0,0,0,3.61
0,0,85,416,-2.2,81,1199.5701,735.9822,1655.5987,414.7436,2,0,549.6872,824.9195,1183.6856,666.1195,1639.6134,2469.1511,3039.5463,314.2971,52,907.0188,534.7857,754.8039,698.9761,620.8738,629.731,438.3799,1086.8994,517.8935,734.231,18198.0685,680.5075,619.3514,4174.7932,2932.8963,9,0,0,0,0,0,4.84
0,0,171,789,-2.2,83,1186.7689,738.8499,1677.396,449.7321,2,0,566.1793,872.3767,1176.5494,683.126,1686.3704,2445.8786,2979.8742,317.0563,54,891.3126,537.8985,734.9286,687.7629,641.7601,650.1473,445.4824,1089.1511,530.9345,772.8655,17995.9003,691.9868,582.732,4060.9573,2869.5038,8,0,1,0,0,0,4.84
0,0,188,1035,-1.9,82,1219.8663,762.4441,1660.2613,457.7015,1.4,0,518.2788,834.134,1159.131,719.6571,1644.2672,2399.9479,2847.3887,373.4072,38,880.3636,534.122,686.8144,685.5117,678.2829,630.4952,456.9606,1116.403,516.6764,776.3128,17594.8778,730.6254,589.3282,3916.1752,2790.5682,8,0.3,0,0,0,0,3.61
0,0,186,980,-0.8,81,1245.1284,785.2918,1654.5955,493.107,0.7,0,575.6963,853.3559,1192.8083,752.7486,1647.9914,2348.6809,2849.6423,387.6929,46,971.919,529.7216,732.5448,739.2145,708.6192,686.5591,469.9947,1119.7084,530.3676,794.1095,17551.9194,793.803,632.6776,3896.1996,2789.9729,7,0,0,0,0,0,0.64
