"y","past_return","bus_passenger","sub_passenger","temp","X8_9","m50","wet","rain","m30","sunny","f25","m45","m25","m40","f45","f20","m35","X7_8","m20","m5","f55","m65","f70","wind","m70","f65","f0","f15","f30","m0","m55","m60","f35","f40","dust","f50","cloud","most_use","weekend","f60","semester","X17_18","temp.sqr","X9_10","X18_19"
0,0,43,0,-8.5,0,762.272,41,0,1631.9538,0,2851.2763,957.1493,3015.3596,841.4878,748.0299,4073.9727,1223.1281,0,2548.6367,483.0675,644.9142,410.6788,1177.5972,1.9,745.5813,495.7997,324.4602,681.4761,1539.043,467.8565,746.4938,512.8421,1085.0905,683.3976,23,662.6362,0,17968.4607,1,585.9838,0,0,72.25,0,0
0,1,14,0,-9.2,0,771.3296,42,0,1657.9051,0,2896.7789,934.9358,3001.7447,829.8956,743.3119,4097.0041,1220.2493,0,2523.8443,493.5686,674.9197,401.14,1160.2243,1.8,745.9078,490.9543,347.2202,701.3249,1540.6339,479.9148,748.2917,503.9736,1084.9156,701.6282,25,666.9795,0,18023.0759,1,590.0877,0,0,84.64,0,0
1,1,16,0,-9.5,0,769.4922,43,0,1648.6811,0,2917.9572,911.7137,3015.5108,833.344,726.5149,4099.0282,1233.4484,0,2543.2527,488.5988,661.0095,402.9143,1162.6758,1.2,742.8854,489.9515,335.7561,680.9299,1561.0891,471.2436,733.0098,481.7825,1103.5672,712.1175,25,670.5085,0,18122.5347,1,611.642,0,0,90.25,0,0
0,0,8,0,-9.3,0,749.9581,46,0,1662.8373,0,2924.6753,923.3402,3020.2775,832.4996,727.0386,4135.1798,1231.1187,0,2551.1909,527.1239,667.3619,389.9331,1151.3341,1.4,746.3123,504.7769,330.166,723.9365,1567.5471,471.5664,746.442,471.9041,1131.8038,713.8411,24,660.0832,0,18224.6304,1,608.5868,0,0,86.49,0,0
0,0,23,6,-9.6,0,742.7684,48,0,1641.807,0,2907.3525,895.5703,2981.9287,811.1801,724.2587,4168.5383,1245.9018,0,2579.9035,701.5208,665.0042,387.0125,1187.5351,1.7,743.2318,476.5806,363.9409,803.8808,1561.8924,449.722,727.749,486.4672,1121.2855,721.1771,26,666.0589,0,18208.6097,1,605.5775,0,0,92.16,0,0
0,1,32,248,-9.7,0,730.6878,51,0,1614.0798,0,2941.5118,899.2056,2934.6281,831.3166,741.7626,4159.7885,1217.2336,0,2590.3693,766.3817,663.6529,385.9548,1180.0011,0.8,777.7017,491.5761,346.3202,839.1351,1573.812,444.4655,721.1438,478.7768,1097.1383,732.9495,22,654.4174,0,18128.5614,1,626.3112,0,0,94.09,0,0
1,0,81,325,-9.8,0,744.6223,53,0,1605.2295,0,2888.3386,896.2788,2900.0365,823.8045,741.4333,4084.4067,1220.2818,0,2533.7021,774.0935,673.8443,380.4025,1197.9448,1.9,743.4175,492.761,337.9221,815.7923,1528.515,401.0949,750.8232,470.706,1091.8272,730.6798,27,663.6508,0,17852.3374,1,642.904,0,0,96.04,0,0
2,0,65,448,-10.1,0,719.9695,55,0,1582.745,0,2868.5616,883.5217,2846.1085,813.9338,729.0047,4028.3356,1208.269,1,2470.8683,766.0265,651.5425,383.6743,1235.5588,1.9,765.5781,510.5522,328.6982,794.6434,1497.5235,399.7965,725.4468,468.7146,1061.0575,708.6772,25,689.8176,0,17563.469,1,631.9929,0,0,102.01,0,0
1,1,135,699,-10.2,1,699.1623,56,0,1665.3388,0,2775.5924,919.4049,2837.052,809.0183,788.2362,3973.4656,1211.9752,0,2488.335,722.3224,655.2793,399.9915,1305.4915,2.5,796.0439,490.1022,342.5029,800.9954,1479.1669,385.5937,747.8673,484.6792,1109.2957,713.4432,25,685.827,0,17540.2216,1,676.5348,0,0,104.04,0,0
1,1,159,956,-9.1,0,739.2992,56,0,1669.6841,0,2691.0828,951.7383,2783.3061,847.7634,808.2654,3899.94,1256.7438,0,2473.7156,620.5868,666.1305,425.649,1249.5269,2.1,792.5406,505.5763,352.4556,731.0624,1514.6997,416.7076,784.0184,484.6419,1120.236,740.1295,38,710.1531,0,17409.4081,1,652.9334,0,0,82.81,1,0
