"y","past_return","bus_passenger","temp","sub_passenger","f45","m40","wet","cloud","m25","f55","rain","m30","m50","f15","m45","m35","f70","m60","f30","m70","m0","f35","f20","dust","sunny","m20","m65","f0","wind","X18_19","m55","m5","f50","f60","f65","f25","most_use","f40","semester","X9_10","X8_9","X7_8","temp.sqr"
0,0,43,-8.5,0,748.0299,841.4878,41,0,3015.3596,644.9142,0,1631.9538,762.272,681.4761,957.1493,1223.1281,1177.5972,512.8421,1539.043,745.5813,467.8565,1085.0905,4073.9727,23,0,2548.6367,410.6788,324.4602,1.9,0,746.4938,483.0675,662.6362,585.9838,495.7997,2851.2763,17968.4607,683.3976,0,0,0,0,72.25
0,1,14,-9.2,0,743.3119,829.8956,42,0,3001.7447,674.9197,0,1657.9051,771.3296,701.3249,934.9358,1220.2493,1160.2243,503.9736,1540.6339,745.9078,479.9148,1084.9156,4097.0041,25,0,2523.8443,401.14,347.2202,1.8,0,748.2917,493.5686,666.9795,590.0877,490.9543,2896.7789,18023.0759,701.6282,0,0,0,0,84.64
0,0,16,-9.5,0,726.5149,833.344,43,0,3015.5108,661.0095,0,1648.6811,769.4922,680.9299,911.7137,1233.4484,1162.6758,481.7825,1561.0891,742.8854,471.2436,1103.5672,4099.0282,25,0,2543.2527,402.9143,335.7561,1.2,0,733.0098,488.5988,670.5085,611.642,489.9515,2917.9572,18122.5347,712.1175,0,0,0,0,90.25
0,1,8,-9.3,0,727.0386,832.4996,46,0,3020.2775,667.3619,0,1662.8373,749.9581,723.9365,923.3402,1231.1187,1151.3341,471.9041,1567.5471,746.3123,471.5664,1131.8038,4135.1798,24,0,2551.1909,389.9331,330.166,1.4,0,746.442,527.1239,660.0832,608.5868,504.7769,2924.6753,18224.6304,713.8411,0,0,0,0,86.49
1,1,23,-9.6,6,724.2587,811.1801,48,0,2981.9287,665.0042,0,1641.807,742.7684,803.8808,895.5703,1245.9018,1187.5351,486.4672,1561.8924,743.2318,449.722,1121.2855,4168.5383,26,0,2579.9035,387.0125,363.9409,1.7,0,727.749,701.5208,666.0589,605.5775,476.5806,2907.3525,18208.6097,721.1771,0,0,0,0,92.16
0,0,32,-9.7,248,741.7626,831.3166,51,0,2934.6281,663.6529,0,1614.0798,730.6878,839.1351,899.2056,1217.2336,1180.0011,478.7768,1573.812,777.7017,444.4655,1097.1383,4159.7885,22,0,2590.3693,385.9548,346.3202,0.8,0,721.1438,766.3817,654.4174,626.3112,491.5761,2941.5118,18128.5614,732.9495,0,0,0,0,94.09
0,0,81,-9.8,325,741.4333,823.8045,53,0,2900.0365,673.8443,0,1605.2295,744.6223,815.7923,896.2788,1220.2818,1197.9448,470.706,1528.515,743.4175,401.0949,1091.8272,4084.4067,27,0,2533.7021,380.4025,337.9221,1.9,0,750.8232,774.0935,663.6508,642.904,492.761,2888.3386,17852.3374,730.6798,0,0,0,0,96.04
0,0,65,-10.1,448,729.0047,813.9338,55,0,2846.1085,651.5425,0,1582.745,719.9695,794.6434,883.5217,1208.269,1235.5588,468.7146,1497.5235,765.5781,399.7965,1061.0575,4028.3356,25,0,2470.8683,383.6743,328.6982,1.9,0,725.4468,766.0265,689.8176,631.9929,510.5522,2868.5616,17563.469,708.6772,0,0,0,1,102.01
0,0,135,-10.2,699,788.2362,809.0183,56,0,2837.052,655.2793,0,1665.3388,699.1623,800.9954,919.4049,1211.9752,1305.4915,484.6792,1479.1669,796.0439,385.5937,1109.2957,3973.4656,25,0,2488.335,399.9915,342.5029,2.5,0,747.8673,722.3224,685.827,676.5348,490.1022,2775.5924,17540.2216,713.4432,0,0,1,0,104.04
0,1,159,-9.1,956,808.2654,847.7634,56,0,2783.3061,666.1305,0,1669.6841,739.2992,731.0624,951.7383,1256.7438,1249.5269,484.6419,1514.6997,792.5406,416.7076,1120.236,3899.94,38,0,2473.7156,425.649,352.4556,2.1,0,784.0184,620.5868,710.1531,652.9334,505.5763,2691.0828,17409.4081,740.1295,0,1,0,0,82.81
