"y","past_return","sub_passenger","station_dist","bus_passenger","temp","m50","m25","m30","m35","f60","m20","m5","station_type","f50","f30","f70","f0","f15","f45","m40","m55","m45","f20","m0","m70","m60","wind","f55","f40","f65","f25","wet","f35","dust","m65","most_use","cloud","sunny","X16_17","temp.sqr","X8_9","X7_8","rain","semester","X19_20","X12_13"
7,8,0,17,589,18.5,1109.8367,2836.9774,1640.5906,1451.1234,795.5411,3825.2328,1161.3218,1,1043.3097,1729.5457,1480.9921,472.9202,1318.6471,1130.6461,1151.8759,980.685,1292.6222,5826.8187,696.0866,929.5825,665.4458,1.6,849.2089,1162.3085,588.6226,3196.8852,71,1403.1367,30,511.4041,21910.3105,2,1,0,342.25,0,0,0,1,0,0
5,2,2312,51,495,28,1198.451,3030.2623,1669.8495,1537.8702,877.7243,4721.6683,1677.6621,0,1198.1525,1823.8723,1422.071,254.6194,1776.0949,1322.5621,1211.8506,1020.6839,1262.2618,6108.7101,551.5005,962.5294,719.3714,2.1,1038.7475,1189.6341,666.4207,3161.2573,63,1486.3084,24,544.1671,23539.7984,9,1,0,784,0,0,0,1,0,0
3,3,3052,546,665,30.9,1022.9342,4280.0281,2344.98,1778.5107,735.3499,4781.4259,1402.2844,0,918.1287,2128.7093,1337.6985,713.5587,1827.4103,1003.2496,1191.1836,882.9651,1158.8056,6680.1219,497.2528,963.3607,658.7955,2.4,874.4984,929.778,542.1687,4521.8726,69,1560.074,41,490.7441,28075.7225,5,1,0,954.81,0,0,0,0,0,0
7,11,2908,116,895,3.1,1008.5161,4007.6652,2149.3276,1907.7413,750.5289,5079.6173,1451.2626,1,938.531,2339.9267,1244.0126,478.6415,1848.0939,1085.1808,1318.6964,1062.8528,1265.3353,7523.8165,507.69,909.9888,664.8581,3.5,854.6909,1090.5736,589.8988,4380.6747,49,1503.1059,15,478.9471,28891.8752,10,1,0,9.61,0,0,0,1,1,0
0,0,0,51,83,-12.4,793.3673,4200.3004,2099.0816,1481.9009,618.7523,4319.8379,873.4725,0,808.2543,2031.1087,1213.5389,342.0704,1075.5699,817.0839,951.5668,861.4376,1089.4372,6169.8231,355.7991,749.3272,576.1843,2,713.0148,700.2476,491.4148,4216.981,59,1267.5723,18,412.0767,25786.6059,6,0,0,153.76,0,0,0,0,0,0
0,4,1361,128,295,7,782.0932,3824.2139,1992.5122,1320.8028,612.7771,4277.4726,900.7925,0,731.9101,1882.5217,1111.7906,377.4886,1170.9965,793.9428,945.4096,763.6722,971.396,6750.2043,375.1755,822.5286,521.3217,2.2,615.9669,673.7772,499.5237,4235.1128,38,1262.3286,8,377.8472,25545.1689,4,1,0,49,0,0,0,1,0,0
1,2,2447,17,505,8.7,1029.5189,2924.1939,1646.3716,1578.0705,789.0571,4681.4641,1264.4573,1,1094.7268,1776.8336,1425.2718,454.7123,1642.335,1224.1739,1099.7677,1085.9444,1279.2476,6384.8778,611.9493,936.8204,710.8323,1.9,1062.8941,1223.2125,677.0096,3239.7069,26,1400.8429,35,518.6669,23632.3613,7,1,0,75.69,0,0,0,1,0,0
0,0,2082,51,476,12.9,1182.4015,3027.2551,1806.4966,1587.1793,763.4816,4259.0903,1651.2775,0,1052.0045,1712.9418,1358.8468,432.8029,1713.1584,1221.2415,1208.672,1026.403,1346.5554,5723.76,660.1947,969.9959,672.2143,2.3,967.2402,1234.1165,627.985,3191.3749,29,1403.2971,65,497.3759,22711.3951,1,1,0,166.41,0,0,0,1,0,0
11,0,1749,128,393,27,1166.5844,2991.9304,1645.5617,1527.0757,815.3163,4488.6505,1643.3154,0,1100.3118,1696.9084,1492.9954,388.7754,1579.8194,1235.3525,1264.9708,1024.7713,1225.577,6093.0949,659.772,1002.7659,766.5905,2.4,959.6718,1179.6063,679.9836,3145.8621,58,1401.6148,38,523.9813,22990.6985,6,1,0,729,0,0,0,1,0,0
0,0,148,83,24,-6.1,650.1078,2249.9605,1351.698,1066.1742,592.5461,1987.9154,385.2619,0,647.1715,1293.0661,1093.3988,335.0536,470.7348,628.6888,768.0039,684.1293,945.8514,3140.6945,406.7901,838.3617,485.1966,1.9,610.0839,678.0244,464.3109,2269.0887,58,920.13,32,378.1065,14278.7274,0,0,0,37.21,0,0,0,0,0,0
