"y","sub_passenger","past_return","bus_passenger","temp","sunny","f0","f45","wet","f35","dust","m25","m0","m70","m55","f25","m45","m65","f40","m30","m35","m50","m40","f70","f65","m60","f50","f15","f60","wind","f55","m5","X18_19","m20","f30","cloud","f20","most_use","rain","weekend","temp.sqr","X7_8","X5_6","X8_9","X9_10","X12_13","X15_16","semester"
0,0,0,43,-8.5,0,324.4602,748.0299,41,1085.0905,23,3015.3596,467.8565,745.5813,746.4938,2851.2763,957.1493,410.6788,683.3976,1631.9538,1223.1281,762.272,841.4878,1177.5972,495.7997,512.8421,662.6362,681.4761,585.9838,1.9,644.9142,483.0675,0,2548.6367,1539.043,0,4073.9727,17968.4607,0,1,72.25,0,0,0,0,0,0,0
0,0,0,14,-9.2,0,347.2202,743.3119,42,1084.9156,25,3001.7447,479.9148,745.9078,748.2917,2896.7789,934.9358,401.14,701.6282,1657.9051,1220.2493,771.3296,829.8956,1160.2243,490.9543,503.9736,666.9795,701.3249,590.0877,1.8,674.9197,493.5686,0,2523.8443,1540.6339,0,4097.0041,18023.0759,0,1,84.64,0,0,0,0,0,0,0
0,0,0,16,-9.5,0,335.7561,726.5149,43,1103.5672,25,3015.5108,471.2436,742.8854,733.0098,2917.9572,911.7137,402.9143,712.1175,1648.6811,1233.4484,769.4922,833.344,1162.6758,489.9515,481.7825,670.5085,680.9299,611.642,1.2,661.0095,488.5988,0,2543.2527,1561.0891,0,4099.0282,18122.5347,0,1,90.25,0,0,0,0,0,0,0
0,0,0,8,-9.3,0,330.166,727.0386,46,1131.8038,24,3020.2775,471.5664,746.3123,746.442,2924.6753,923.3402,389.9331,713.8411,1662.8373,1231.1187,749.9581,832.4996,1151.3341,504.7769,471.9041,660.0832,723.9365,608.5868,1.4,667.3619,527.1239,0,2551.1909,1567.5471,0,4135.1798,18224.6304,0,1,86.49,0,0,0,0,0,0,0
0,6,0,23,-9.6,0,363.9409,724.2587,48,1121.2855,26,2981.9287,449.722,743.2318,727.749,2907.3525,895.5703,387.0125,721.1771,1641.807,1245.9018,742.7684,811.1801,1187.5351,476.5806,486.4672,666.0589,803.8808,605.5775,1.7,665.0042,701.5208,0,2579.9035,1561.8924,0,4168.5383,18208.6097,0,1,92.16,0,0,0,0,0,0,0
0,248,0,32,-9.7,0,346.3202,741.7626,51,1097.1383,22,2934.6281,444.4655,777.7017,721.1438,2941.5118,899.2056,385.9548,732.9495,1614.0798,1217.2336,730.6878,831.3166,1180.0011,491.5761,478.7768,654.4174,839.1351,626.3112,0.8,663.6529,766.3817,0,2590.3693,1573.812,0,4159.7885,18128.5614,0,1,94.09,0,1,0,0,0,0,0
0,325,0,81,-9.8,0,337.9221,741.4333,53,1091.8272,27,2900.0365,401.0949,743.4175,750.8232,2888.3386,896.2788,380.4025,730.6798,1605.2295,1220.2818,744.6223,823.8045,1197.9448,492.761,470.706,663.6508,815.7923,642.904,1.9,673.8443,774.0935,0,2533.7021,1528.515,0,4084.4067,17852.3374,0,1,96.04,0,0,0,0,0,0,0
0,448,0,65,-10.1,0,328.6982,729.0047,55,1061.0575,25,2846.1085,399.7965,765.5781,725.4468,2868.5616,883.5217,383.6743,708.6772,1582.745,1208.269,719.9695,813.9338,1235.5588,510.5522,468.7146,689.8176,794.6434,631.9929,1.9,651.5425,766.0265,0,2470.8683,1497.5235,0,4028.3356,17563.469,0,1,102.01,1,0,0,0,0,0,0
0,699,0,135,-10.2,0,342.5029,788.2362,56,1109.2957,25,2837.052,385.5937,796.0439,747.8673,2775.5924,919.4049,399.9915,713.4432,1665.3388,1211.9752,699.1623,809.0183,1305.4915,490.1022,484.6792,685.827,800.9954,676.5348,2.5,655.2793,722.3224,0,2488.335,1479.1669,0,3973.4656,17540.2216,0,1,104.04,0,0,1,0,0,0,0
0,956,0,159,-9.1,0,352.4556,808.2654,56,1120.236,38,2783.3061,416.7076,792.5406,784.0184,2691.0828,951.7383,425.649,740.1295,1669.6841,1256.7438,739.2992,847.7634,1249.5269,505.5763,484.6419,710.1531,731.0624,652.9334,2.1,666.1305,620.5868,0,2473.7156,1514.6997,0,3899.94,17409.4081,0,1,82.81,0,0,0,1,0,0,0
