"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","past_rent","X5_6","X6_7","X7_8","X8_9","X9_10","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m5","m20","m25","m30","m35","m45","m50","m65","m70","f0","f15","f20","f25","f30","f35","f40","f50","f60","f65","sub_passenger","f70"
0,-8.5,0,1.9,41,0,0,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.9333,483.0675,2548.6367,3015.3596,1631.9538,1223.1281,957.1493,762.272,410.6788,745.5813,324.4602,681.4761,4073.9727,2851.2763,1539.043,1085.0905,683.3976,662.6362,585.9838,495.7997,0,1177.5972
0,-9.2,0,1.8,42,0,0,84.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.4989,493.5686,2523.8443,3001.7447,1657.9051,1220.2493,934.9358,771.3296,401.14,745.9078,347.2202,701.3249,4097.0041,2896.7789,1540.6339,1084.9156,701.6282,666.9795,590.0877,490.9543,0,1160.2243
0,-9.5,0,1.2,43,0,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.497,488.5988,2543.2527,3015.5108,1648.6811,1233.4484,911.7137,769.4922,402.9143,742.8854,335.7561,680.9299,4099.0282,2917.9572,1561.0891,1103.5672,712.1175,670.5085,611.642,489.9515,0,1162.6758
0,-9.3,0,1.4,46,0,0,86.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.6455,527.1239,2551.1909,3020.2775,1662.8373,1231.1187,923.3402,749.9581,389.9331,746.3123,330.166,723.9365,4135.1798,2924.6753,1567.5471,1131.8038,713.8411,660.0832,608.5868,504.7769,0,1151.3341
0,-9.6,0,1.7,48,0,0,92.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.5637,701.5208,2579.9035,2981.9287,1641.807,1245.9018,895.5703,742.7684,387.0125,743.2318,363.9409,803.8808,4168.5383,2907.3525,1561.8924,1121.2855,721.1771,666.0589,605.5775,476.5806,6,1187.5351
0,-9.7,0,0.8,51,0,0,94.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.1374,766.3817,2590.3693,2934.6281,1614.0798,1217.2336,899.2056,730.6878,385.9548,777.7017,346.3202,839.1351,4159.7885,2941.5118,1573.812,1097.1383,732.9495,654.4174,626.3112,491.5761,248,1180.0011
0,-9.8,0,1.9,53,0,0,96.04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.1206,774.0935,2533.7021,2900.0365,1605.2295,1220.2818,896.2788,744.6223,380.4025,743.4175,337.9221,815.7923,4084.4067,2888.3386,1528.515,1091.8272,730.6798,663.6508,642.904,492.761,325,1197.9448
0,-10.1,0,1.9,55,0,0,102.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.5211,766.0265,2470.8683,2846.1085,1582.745,1208.269,883.5217,719.9695,383.6743,765.5781,328.6982,794.6434,4028.3356,2868.5616,1497.5235,1061.0575,708.6772,689.8176,631.9929,510.5522,448,1235.5588
0,-10.2,0,2.5,56,0,0,104.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.9659,722.3224,2488.335,2837.052,1665.3388,1211.9752,919.4049,699.1623,399.9915,796.0439,342.5029,800.9954,3973.4656,2775.5924,1479.1669,1109.2957,713.4432,685.827,676.5348,490.1022,699,1305.4915
0,-9.1,0,2.1,56,0,0,82.81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,192.3262,620.5868,2473.7156,2783.3061,1669.6841,1256.7438,951.7383,739.2992,425.649,792.5406,352.4556,731.0624,3899.94,2691.0828,1514.6997,1120.236,740.1295,710.1531,652.9334,505.5763,956,1249.5269
