"y","temp","rain","wind","wet","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m10","m5","m25","m30","m35","m40","m45","m55","m60","m65","m70","f15","f20","f25","f30","f40","f45","f50","f55","f65","bus_passenger","sub_passenger"
0,-8.5,0,1.9,41,0,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.8565,215.9333,483.0675,3015.3596,1631.9538,1223.1281,841.4878,957.1493,746.4938,512.8421,410.6788,745.5813,681.4761,4073.9727,2851.2763,1539.043,683.3976,748.0299,662.6362,644.9142,495.7997,43,0
2,-9.2,0,1.8,42,0,84.64,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.9148,221.4989,493.5686,3001.7447,1657.9051,1220.2493,829.8956,934.9358,748.2917,503.9736,401.14,745.9078,701.3249,4097.0041,2896.7789,1540.6339,701.6282,743.3119,666.9795,674.9197,490.9543,14,0
0,-9.5,0,1.2,43,0,90.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.2436,217.497,488.5988,3015.5108,1648.6811,1233.4484,833.344,911.7137,733.0098,481.7825,402.9143,742.8854,680.9299,4099.0282,2917.9572,1561.0891,712.1175,726.5149,670.5085,661.0095,489.9515,16,0
0,-9.3,0,1.4,46,0,86.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.5664,217.6455,527.1239,3020.2775,1662.8373,1231.1187,832.4996,923.3402,746.442,471.9041,389.9331,746.3123,723.9365,4135.1798,2924.6753,1567.5471,713.8411,727.0386,660.0832,667.3619,504.7769,8,0
0,-9.6,0,1.7,48,0,92.16,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.722,207.5637,701.5208,2981.9287,1641.807,1245.9018,811.1801,895.5703,727.749,486.4672,387.0125,743.2318,803.8808,4168.5383,2907.3525,1561.8924,721.1771,724.2587,666.0589,665.0042,476.5806,23,6
0,-9.7,0,0.8,51,0,94.09,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.4655,205.1374,766.3817,2934.6281,1614.0798,1217.2336,831.3166,899.2056,721.1438,478.7768,385.9548,777.7017,839.1351,4159.7885,2941.5118,1573.812,732.9495,741.7626,654.4174,663.6529,491.5761,32,248
1,-9.8,0,1.9,53,0,96.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.0949,185.1206,774.0935,2900.0365,1605.2295,1220.2818,823.8045,896.2788,750.8232,470.706,380.4025,743.4175,815.7923,4084.4067,2888.3386,1528.515,730.6798,741.4333,663.6508,673.8443,492.761,81,325
0,-10.1,0,1.9,55,0,102.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.7965,184.5211,766.0265,2846.1085,1582.745,1208.269,813.9338,883.5217,725.4468,468.7146,383.6743,765.5781,794.6434,4028.3356,2868.5616,1497.5235,708.6772,729.0047,689.8176,651.5425,510.5522,65,448
0,-10.2,0,2.5,56,0,104.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.5937,177.9659,722.3224,2837.052,1665.3388,1211.9752,809.0183,919.4049,747.8673,484.6792,399.9915,796.0439,800.9954,3973.4656,2775.5924,1479.1669,713.4432,788.2362,685.827,655.2793,490.1022,135,699
0,-9.1,0,2.1,56,0,82.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.7076,192.3262,620.5868,2783.3061,1669.6841,1256.7438,847.7634,951.7383,784.0184,484.6419,425.649,792.5406,731.0624,3899.94,2691.0828,1514.6997,740.1295,808.2654,710.1531,666.1305,505.5763,159,956
