"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","semester","past_rent","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m5","m25","m35","m50","m65","f20","f25","f30","f45","f55","f65","f70","bus_passenger","sub_passenger"
0,-8.5,0,1.9,41,0,0,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,467.8565,483.0675,3015.3596,1223.1281,762.272,410.6788,4073.9727,2851.2763,1539.043,748.0299,644.9142,495.7997,1177.5972,43,0
0,-9.2,0,1.8,42,0,0,84.64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,479.9148,493.5686,3001.7447,1220.2493,771.3296,401.14,4097.0041,2896.7789,1540.6339,743.3119,674.9197,490.9543,1160.2243,14,0
1,-9.5,0,1.2,43,0,0,90.25,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471.2436,488.5988,3015.5108,1233.4484,769.4922,402.9143,4099.0282,2917.9572,1561.0891,726.5149,661.0095,489.9515,1162.6758,16,0
0,-9.3,0,1.4,46,0,0,86.49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471.5664,527.1239,3020.2775,1231.1187,749.9581,389.9331,4135.1798,2924.6753,1567.5471,727.0386,667.3619,504.7769,1151.3341,8,0
0,-9.6,0,1.7,48,0,0,92.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,449.722,701.5208,2981.9287,1245.9018,742.7684,387.0125,4168.5383,2907.3525,1561.8924,724.2587,665.0042,476.5806,1187.5351,23,6
0,-9.7,0,0.8,51,0,0,94.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,444.4655,766.3817,2934.6281,1217.2336,730.6878,385.9548,4159.7885,2941.5118,1573.812,741.7626,663.6529,491.5761,1180.0011,32,248
0,-9.8,0,1.9,53,0,0,96.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,401.0949,774.0935,2900.0365,1220.2818,744.6223,380.4025,4084.4067,2888.3386,1528.515,741.4333,673.8443,492.761,1197.9448,81,325
0,-10.1,0,1.9,55,0,0,102.01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,399.7965,766.0265,2846.1085,1208.269,719.9695,383.6743,4028.3356,2868.5616,1497.5235,729.0047,651.5425,510.5522,1235.5588,65,448
1,-10.2,0,2.5,56,0,0,104.04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,385.5937,722.3224,2837.052,1211.9752,699.1623,399.9915,3973.4656,2775.5924,1479.1669,788.2362,655.2793,490.1022,1305.4915,135,699
0,-9.1,0,2.1,56,0,0,82.81,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,416.7076,620.5868,2783.3061,1256.7438,739.2992,425.649,3899.94,2691.0828,1514.6997,808.2654,666.1305,505.5763,1249.5269,159,956
