"y","station_dist","station_type","rain","cloud","temp.sqr","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X7_8","X8_9","X9_10","X10_11","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","m0","m10","m20","m25","m35","m55","f0","f10","f15","f20","f25","f30","f40","f55","f65","f70"
6,160,0,0,10,645.16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,924.9474,477.456,722.6442,867.8902,1080.831,722.9638,843.5254,448.3667,610.0216,907.5821,877.0062,870.0446,991.1481,1019.5015,606.3673,1259.3689
6,10,0,0,8,462.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762.2155,354.971,1012.2892,1627.1641,1357.5999,953.9269,684.6781,364.6794,683.8715,1350.5065,1858.8441,1603.1158,1214.5842,1125.2937,624.7637,1392.693
0,40,0,2.4,10,453.69,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.7681,163.13,1276.1038,1442.3422,980.2555,557.2815,291.684,142.9095,460.1671,1890.5137,1380.306,945.2813,587.524,517.9904,357.7811,838.3926
0,546,0,0,7,0.01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.0518,204.0236,4574.6442,4202.2031,1408.4027,847.3987,419.191,194.6711,1151.3728,6432.3093,4175.0722,1956.6572,763.3409,663.8375,575.1624,1122.5553
0,283,0,15.3,10,556.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,397.1271,166.2101,1212.7042,1503.4258,1028.0172,705.2773,380.1451,186.2507,421.8465,1503.3892,1562.0641,1069.4592,651.9482,594.1065,425.9417,994.3056
24,36,0,0,1,475.24,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,555.7337,338.922,869.4263,1033.4188,1054.4317,929.4532,650.5278,376.2865,544.9728,1100.7097,1386.3211,987.1652,944.389,1060.0825,618.407,1315.2186
1,127,0,0,0,38.44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069.3632,581.618,723.6249,931.621,1106.3137,1140.0593,1232.0051,643.9533,1011.727,904.6987,1221.0537,1117.588,1181.7472,1118.2245,729.5543,1553.7043
21,76,1,0,4,948.64,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,568.3331,238.4766,1727.8841,1451.0728,1292.0629,1183.9611,536.252,262.2392,968.6675,2195.7127,1760.6374,1380.4392,1180.3052,1162.3615,754.1345,1651.3437
4,90,0,0,8,134.56,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693.4326,422.8997,1040.4189,1206.8212,1030.824,797.7189,435.9165,252.1482,861.283,1216.4855,1298.0824,1084.1309,907.1671,1033.7577,632.0126,1474.4446
7,82,0,0,0,282.24,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2195.7807,1856.2532,1022.8195,882.5502,945.9702,1103.003,2433.8798,2038.7497,1652.0175,1188.9567,1078.9231,966.7416,1828.3034,1429.2058,890.0562,1917.5934
16,405,0,0,0,441,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,914.989,428.0454,536.0681,749.7953,869.5344,654.1189,893.7877,388.2373,425.2976,625.6055,842.5948,870.2748,789.4788,822.3418,532.7422,1281.4106
0,61,1,0,0,0.64,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546.0338,270.0063,461.2608,659.1435,724.5314,626.8904,479.4365,232.6539,305.4297,586.1108,714.6431,711.6071,458.4761,790.615,484.0235,1110.3998
0,332,0,0,8,364.81,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1361.3419,1150.8415,879.3994,766.6793,1099.4738,1291.4087,1556.7875,1304.0494,1233.3673,952.8532,893.9723,902.0165,1760.8067,1175.1052,682.2782,1551.1894
1,90,0,0,10,784,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.6034,104.8854,1261.7255,1365.5515,874.8585,651.62,297.1163,145.5711,322.4372,1677.7439,1259.6071,843.1362,749.2104,554.1372,404.3755,1041.639
0,475,0,0,0,121,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904.9832,423.3644,659.783,884.3628,1043.0276,789.9283,818.04,355.3346,520.8304,750.2605,1011.639,964.3118,1020.0273,927.6715,623.2842,1400.1688
0,405,0,1.7,10,718.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,648.1395,303.2089,592.2164,713.6227,945.4014,705.3177,605.0639,262.8234,444.8882,608.0089,780.0263,809.6805,762.4103,783.8287,537.0274,1209.651
0,89,0,0,0,127.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2182.6966,1845.1927,914.578,767.9494,988.2697,1056.0456,2346.3722,1965.4484,1438.2717,1053.4654,942.9946,870.8058,1654.4319,1367.3702,744.5215,1858.5574
7,90,0,0,9,571.21,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,226.2964,94.7119,1220.5046,1370.9776,965.0771,575.4841,236.5836,115.913,298.9641,1729.9653,1438.1257,1025.6794,692.9575,595.2398,434.0409,956.6517
3,27,1,0,10,0.01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1081.7595,558.4024,843.4092,748.9068,867.2278,675.8872,896.2893,476.4125,676.7107,884.6537,897.3329,878.4412,895.0577,1010.2063,652.5,1280.4819
3,88,0,0,9,193.21,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,406.1408,135.3803,696.3018,778.3599,768.2449,564.7221,445.7989,159.3918,335.7311,835.5399,1040.1193,968.2847,637.6396,603.6313,342.3376,921.7762
1,41,0,0,0,615.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,728.038,355.4733,673.6264,924.668,1024.8144,1118.8774,866.8274,401.9678,571.9162,790.4628,1029.9775,1081.9029,950.5754,1346.4815,911.0741,2259.0463
6,115,0,0,7,519.84,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536.9543,225.3103,1387.1697,1218.9508,1212.6062,1017.9186,456.2508,223.1165,521.2573,1765.284,1411.4173,1049.8893,951.1754,1077.9289,600.8874,1452.253
3,52,0,0,8,823.69,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,444.2499,156.2774,355.7561,548.3638,694.64,635.9198,333.7543,131.3873,218.1476,395.1185,606.6671,571.1752,453.644,560.5955,381.6855,848.6297
6,36,0,0,4,529,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.1206,350.1353,1025.6229,1239.573,1059.1272,749.5481,492.7796,285.0397,676.8245,1340.5091,1429.183,1057.4189,999.1583,1011.2324,629.6783,1321.3497
0,232,0,0,9,750.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.507,178.8491,3742.4565,3741.9573,1338.8754,764.3257,379.7288,176.3448,957.107,5518.7483,3612.2155,1706.1208,731.0914,597.5913,474.8782,1209.3442
2,61,1,0,3,457.96,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520.0723,257.1686,353.2837,545.5043,588.0035,589.2787,523.6769,254.1224,244.1514,441.9097,560.5906,528.2969,582.4677,689.1833,486.3703,1109.3054
3,43,0,0,10,610.09,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1069.1169,551.8765,802.3126,673.0504,724.9242,552.9209,981.985,521.9634,684.8223,788.8097,773.9152,728.173,823.6277,939.3231,523.843,1457.279
1,225,0,0,7,64,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,881.9369,479.6787,802.7167,1038.5438,1169.8391,1109.6808,1070.04,559.2963,525.4166,985.8536,1298.7251,1140.3511,1170.3078,1127.1356,763.2986,1532.7662
1,59,0,0.1,10,201.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988.5245,537.6503,724.9281,915.3714,1132.2862,1146.3427,1251.2827,654.0295,915.0231,827.9114,1114.8428,1031.5359,1139.5872,1153.9967,699.9023,1499.8684
1,44,0,0,10,615.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965.5458,525.1528,836.3817,905.9446,996.8733,1001.5016,1153.9912,603.1763,1007.4583,830.6744,1012.6947,984.4458,1097.9169,1092.4502,618.9086,1520.3447
0,92,0,0,8,3.24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,941.5493,440.4706,611.3267,760.5042,976.0193,797.1729,795.5482,345.564,508.8674,680.273,834.8329,926.1077,887.5924,901.0929,592.2954,1390.1094
0,220,1,1,10,457.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,381.652,159.7333,1131.0089,1478.1568,1032.9664,686.932,389.5312,190.8496,342.8989,1529.0616,1523.1945,1022.2754,747.8296,648.349,430.8313,1058.7854
2,21,1,0,2,18.49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,362.477,120.8256,405.4251,625.5859,668.3455,478.9293,478.3803,171.0405,204.6164,552.9423,772.0083,690.9423,486.7726,492.9115,352.9768,816.2515
0,59,0,1,10,384.16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,976.1825,530.9378,989.6019,1003.1335,1223.4006,1098.5406,1212.2486,633.627,540.6984,937.2438,1109.1133,1125.9613,1271.5657,1271.2915,813.3243,1684.779
0,283,0,0,4,268.96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.2156,200.9849,1306.6229,1470.9319,940.4783,492.1677,355.6308,174.2402,355.8887,1581.1999,1427.5744,954.45,606.6547,460.1833,310.7686,884.2696
1,71,0,0,3,0.01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,955.2194,493.0827,748.4073,820.1234,861.8817,618.3792,929.4585,494.0434,687.1241,979.0797,937.6288,899.6458,978.6601,998.0037,632.302,1221.509
1,160,0,0,0,14.44,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964.1435,497.6893,759.075,824.6054,1069.5473,883.6428,794.0808,422.0846,641.6558,823.5415,866.0348,857.4211,911.9764,1103.7409,610.8147,1359.8101
3,118,0,0,2,470.89,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1091.1771,593.4828,1144.0551,1205.6395,1309.3469,1120.4243,1543.7637,806.9055,1310.4183,1305.232,1403.2943,1218.9472,1230.8495,1204.4592,728.5838,1605.2687
2,29,1,0,8,640.09,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.8207,61.8498,394.1766,556.5015,670.225,700.6674,265.5425,104.5349,124.0879,513.2012,703.0114,605.7921,523.672,591.7469,351.2062,832.9037
