"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X22_23","X23_24","weekend","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f15","f30","f40","f55","f60","f65","f70","bus_passenger","sub_passenger"
1,-8.5,0,1.9,41,0,23,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,215.9333,483.0675,2548.6367,3015.3596,1631.9538,1223.1281,841.4878,957.1493,762.272,746.4938,512.8421,410.6788,745.5813,324.4602,681.4761,1539.043,683.3976,644.9142,585.9838,495.7997,1177.5972,43,0
0,-9.2,0,1.8,42,0,25,84.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,221.4989,493.5686,2523.8443,3001.7447,1657.9051,1220.2493,829.8956,934.9358,771.3296,748.2917,503.9736,401.14,745.9078,347.2202,701.3249,1540.6339,701.6282,674.9197,590.0877,490.9543,1160.2243,14,0
1,-9.5,0,1.2,43,0,25,90.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217.497,488.5988,2543.2527,3015.5108,1648.6811,1233.4484,833.344,911.7137,769.4922,733.0098,481.7825,402.9143,742.8854,335.7561,680.9299,1561.0891,712.1175,661.0095,611.642,489.9515,1162.6758,16,0
1,-9.3,0,1.4,46,0,24,86.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217.6455,527.1239,2551.1909,3020.2775,1662.8373,1231.1187,832.4996,923.3402,749.9581,746.442,471.9041,389.9331,746.3123,330.166,723.9365,1567.5471,713.8411,667.3619,608.5868,504.7769,1151.3341,8,0
0,-9.6,0,1.7,48,0,26,92.16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,207.5637,701.5208,2579.9035,2981.9287,1641.807,1245.9018,811.1801,895.5703,742.7684,727.749,486.4672,387.0125,743.2318,363.9409,803.8808,1561.8924,721.1771,665.0042,605.5775,476.5806,1187.5351,23,6
0,-9.7,0,0.8,51,0,22,94.09,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205.1374,766.3817,2590.3693,2934.6281,1614.0798,1217.2336,831.3166,899.2056,730.6878,721.1438,478.7768,385.9548,777.7017,346.3202,839.1351,1573.812,732.9495,663.6529,626.3112,491.5761,1180.0011,32,248
0,-9.8,0,1.9,53,0,27,96.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185.1206,774.0935,2533.7021,2900.0365,1605.2295,1220.2818,823.8045,896.2788,744.6223,750.8232,470.706,380.4025,743.4175,337.9221,815.7923,1528.515,730.6798,673.8443,642.904,492.761,1197.9448,81,325
0,-10.1,0,1.9,55,0,25,102.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,184.5211,766.0265,2470.8683,2846.1085,1582.745,1208.269,813.9338,883.5217,719.9695,725.4468,468.7146,383.6743,765.5781,328.6982,794.6434,1497.5235,708.6772,651.5425,631.9929,510.5522,1235.5588,65,448
1,-10.2,0,2.5,56,0,25,104.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,177.9659,722.3224,2488.335,2837.052,1665.3388,1211.9752,809.0183,919.4049,699.1623,747.8673,484.6792,399.9915,796.0439,342.5029,800.9954,1479.1669,713.4432,655.2793,676.5348,490.1022,1305.4915,135,699
0,-9.1,0,2.1,56,0,38,82.81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,192.3262,620.5868,2473.7156,2783.3061,1669.6841,1256.7438,847.7634,951.7383,739.2992,784.0184,484.6419,425.649,792.5406,352.4556,731.0624,1514.6997,740.1295,666.1305,652.9334,505.5763,1249.5269,159,956
0,-6.8,0,2.3,42,1,30,46.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,219.4598,587.8323,2538.3244,2850.1474,1659.5073,1280.9699,870.377,874.7221,782.646,775.9598,523.1398,416.1323,761.8202,441.5602,658.867,1507.7122,793.1648,690.4344,663.1034,509.4526,1314.768,128,831
0,-4.3,0,0.9,37,1,21,18.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,226.1711,586.4021,2465.0082,2924.4905,1686.0821,1385.1672,907.7156,917.8842,800.8161,768.1554,518.8519,420.2144,740.2119,472.3808,736.8298,1518.8841,826.6142,782.8822,695.089,545.356,1320.4043,207,1018
1,-2.3,0,1.2,34,0,17,5.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,271.0849,723.2443,2586.8189,2965.6393,1859.6825,1505.189,923.1611,977.1987,827.3971,776.7449,525.7804,426.3821,722.2581,501.4525,868.8715,1631.3175,855.5406,830.7245,656.1947,487.6,1276.0991,230,1212
1,-0.1,0,1.5,32,1,26,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,288.905,876.6455,2626.8551,3114.6131,1903.0784,1479.5145,1034.4107,1019.1622,820.6575,809.2896,516.0127,455.5889,770.7484,634.1799,1092.1016,1604.3219,945.3094,802.4848,662.9924,539.4187,1302.6493,317,1333
1,1.3,0,2.2,32,1,33,1.69,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,320.6838,1100.0851,2781.1102,3183.4582,1878.3498,1569.3377,1035.3322,1007.1156,817.509,798.1733,503.9361,426.191,781.2048,751.2805,1314.7159,1664.2449,954.4554,799.3658,650.5356,532.675,1240.5739,289,1564
2,1.9,0,1.7,35,0,46,3.61,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,354.6337,1533.5207,3021.9892,3308.7379,1904.7691,1631.5211,1074.65,1075.261,856.697,810.2722,516.2654,425.5368,811.7398,892.3827,1725.9705,1726.6451,897.7426,831.9715,641.0388,560.3337,1237.8167,334,1831
