"y","station_dist","station_type","rain","wet","snow","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m30","m35","m45","m55","m65","m70","f20","f25","f35","f60","f70","bus_passenger","sub_passenger"
0,554,0,0,46,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,278.7553,1642.3918,1572.8501,1301.5345,1080.0707,505.8232,956.2095,4938.7355,3021.4133,1428.3808,893.346,1331.9551,578,2945
7,116,1,0,54,0,4,580.81,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,199.7947,1901.1116,1440.7994,1102.0189,811.0922,382.912,723.8321,5209.3985,3474.3662,1421.1595,672.2453,1068.104,398,2056
0,51,0,0,67,0,10,129.96,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.9793,1882.6687,1342.404,983.2078,765.2357,390.9618,822.9247,5877.7855,3858.958,1347.3925,599.9588,1254.1969,408,1372
1,611,0,0,87,0,9,75.69,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.3089,1908.919,1302.7572,1182.139,806.601,419.5883,827.1903,5528.0496,3655.4946,1318.573,615.8291,1219.7653,91,390
0,83,0,0,88,0,10,259.21,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.0565,1825.4407,1427.6217,1071.9245,784.5813,384.986,793.0272,5211.8065,3495.7144,1208.3696,627.8743,1155.7947,226,1285
0,128,0,0,81,0,8,466.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.2226,1889.9266,1338.8904,971.5123,835.9484,407.7626,861.0435,5722.6811,3974.2453,1330.5898,613.7395,1192.0789,117,716
0,554,0,0,62,0,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,219.4337,2199.5633,1781.1547,1412.9988,877.4958,439.963,923.7513,6486.185,4153.512,1417.0099,747.6011,1237.4215,796,2624
1,232,0,0,41,0,0,3.61,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,241.7842,1723.8399,1512.8783,1284.2199,969.1533,513.0324,862.361,3686.1641,2819.7344,1311.8653,710.7625,1292.7445,375,1451
4,37,0,0,56,0,1,600.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,260.5048,1667.0528,1366.4072,1348.6421,1131.7963,518.52,974.4463,5756.1791,3036.3943,1444.0136,720.72,1218.7143,467,2032
2,113,0,0,54,0,3,129.96,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,250.5434,2219.1643,1597.0218,1072.9431,831.7284,474.729,856.1341,6922.2226,4458.0861,1380.6171,675.7371,1154.0533,499,2507
0,546,0,0,63,0,10,353.44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,210.3689,2049.3824,1470.8462,1062.6631,766.3216,407.4795,784.2079,6822.7266,4105.7827,1319.8622,663.1354,1291.7868,353,1446
