"y","temp","rain","wind","wet","cloud","dust","sunny","semester","past_rent","X4_5","X5_6","X6_7","X7_8","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X22_23","X23_24","m10","m5","m35","m45","m55","m70","f25","f30","f60","f65","bus_passenger","sub_passenger","weekend"
0,-8.5,0,1.9,41,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.9333,483.0675,1223.1281,957.1493,746.4938,745.5813,2851.2763,1539.043,585.9838,495.7997,43,0,1
0,-9.2,0,1.8,42,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.4989,493.5686,1220.2493,934.9358,748.2917,745.9078,2896.7789,1540.6339,590.0877,490.9543,14,0,1
0,-9.5,0,1.2,43,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.497,488.5988,1233.4484,911.7137,733.0098,742.8854,2917.9572,1561.0891,611.642,489.9515,16,0,1
0,-9.3,0,1.4,46,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.6455,527.1239,1231.1187,923.3402,746.442,746.3123,2924.6753,1567.5471,608.5868,504.7769,8,0,1
0,-9.6,0,1.7,48,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.5637,701.5208,1245.9018,895.5703,727.749,743.2318,2907.3525,1561.8924,605.5775,476.5806,23,6,1
0,-9.7,0,0.8,51,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.1374,766.3817,1217.2336,899.2056,721.1438,777.7017,2941.5118,1573.812,626.3112,491.5761,32,248,1
0,-9.8,0,1.9,53,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.1206,774.0935,1220.2818,896.2788,750.8232,743.4175,2888.3386,1528.515,642.904,492.761,81,325,1
0,-10.1,0,1.9,55,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.5211,766.0265,1208.269,883.5217,725.4468,765.5781,2868.5616,1497.5235,631.9929,510.5522,65,448,1
0,-10.2,0,2.5,56,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.9659,722.3224,1211.9752,919.4049,747.8673,796.0439,2775.5924,1479.1669,676.5348,490.1022,135,699,1
0,-9.1,0,2.1,56,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,192.3262,620.5868,1256.7438,951.7383,784.0184,792.5406,2691.0828,1514.6997,652.9334,505.5763,159,956,1
0,-6.8,0,2.3,42,1,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,219.4598,587.8323,1280.9699,874.7221,775.9598,761.8202,2745.5063,1507.7122,663.1034,509.4526,128,831,1
0,-4.3,0,0.9,37,1,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,226.1711,586.4021,1385.1672,917.8842,768.1554,740.2119,2767.0991,1518.8841,695.089,545.356,207,1018,1
0,-2.3,0,1.2,34,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,271.0849,723.2443,1505.189,977.1987,776.7449,722.2581,2952.5516,1631.3175,656.1947,487.6,230,1212,1
2,-0.1,0,1.5,32,1,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,288.905,876.6455,1479.5145,1019.1622,809.2896,770.7484,3095.74,1604.3219,662.9924,539.4187,317,1333,1
0,1.3,0,2.2,32,1,33,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,320.6838,1100.0851,1569.3377,1007.1156,798.1733,781.2048,3120.8955,1664.2449,650.5356,532.675,289,1564,1
0,1.9,0,1.7,35,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,354.6337,1533.5207,1631.5211,1075.261,810.2722,811.7398,3165.0785,1726.6451,641.0388,560.3337,334,1831,1
0,1.8,0,1.4,37,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,312.8113,1951.9843,1616.5206,1026.4613,856.0725,785.5772,3286.5011,1735.9394,649.4567,581.6992,393,2177,1
2,0.5,0,1.5,38,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,288.6263,2263.3812,1588.2836,995.6357,888.3974,747.7952,3510.5175,1746.7962,669.0835,566.1505,436,2172,1
0,-0.9,0,0.7,42,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,329.9373,2380.0975,1541.2446,1068.9945,851.4151,760.3326,3621.7632,1750.1372,655.461,534.6887,374,1919,1
0,-1.2,0,0.9,45,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,276.9508,2302.7393,1517.6744,1070.2002,842.4864,769.1565,3618.2199,1765.6912,706.2706,559.3522,305,1822,1
1,-1.6,0,0.9,47,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,221.9256,1990.2825,1425.254,1046.1585,864.8032,746.3631,3458.2767,1734.4228,680.7566,562.3245,482,3216,1
1,-2.4,0,2.1,49,3,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.7777,1010.5843,1368.3173,1025.4351,802.2568,756.3511,3166.2979,1643.6693,675.7285,561.7106,634,4686,1
0,-2.5,0,1,49,6,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,237.5586,665.6039,1298.3517,974.7318,810.0397,751.4911,3115.3854,1664.3515,695.5734,524.8618,340,1294,1
0,-2.6,0,0.9,52,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,212.8995,515.973,1229.9252,895.2271,759.3371,784.51,3002.7874,1629.9731,611.6483,501.4084,124,312,1
0,-2.8,0,2.3,55,7,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.2175,527.3301,1254.9868,906.0489,728.0094,770.8469,2960.1867,1675.7792,629.755,493.9842,36,2,1
0,-2.9,0,2.1,57,8,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.6059,506.7215,1252.7303,886.2969,726.0669,763.9788,2997.0907,1656.4244,615.1559,510.7964,13,0,1
0,-2.6,0,1.9,57,8,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.333,524.8589,1256.0014,875.2236,726.8703,745.4565,3008.6295,1641.1874,622.665,484.6168,19,0,1
