"y","station_dist","station_type","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_rent","X8_9","X9_10","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger"
6,160,0,25.4,0,0.6,81,10,22,645.16,0,0,5,0,0,0,0,0,1,0,0,0,924.9474,477.456,608.1646,722.6442,867.8902,703.705,1080.831,890.6951,1010.5014,794.2888,722.9638,636.5909,483.9629,858.658,843.5254,448.3667,610.0216,907.5821,877.0062,870.0446,1286.121,991.1481,1057.5957,963.8841,1019.5015,779.8576,606.3673,1259.3689,7315.8243,371,0
6,10,0,21.5,0,2.3,84,8,14,462.25,0,0,1,0,0,0,0,0,0,0,0,0,762.2155,354.971,744.4159,1012.2892,1627.1641,1505.4935,1357.5999,1139.8873,1207.8675,875.7025,953.9269,659.5354,456.1469,1041.2594,684.6781,364.6794,683.8715,1350.5065,1858.8441,1603.1158,1540.4273,1214.5842,1342.7865,1096.901,1125.2937,931.3912,624.7637,1392.693,11855.4404,231,1100
0,40,0,21.3,2.4,1.1,90,10,41,453.69,0,1,0,0,0,0,0,0,0,0,0,0,389.7681,163.13,472.6655,1276.1038,1442.3422,1022.2715,980.2555,636.8637,609.7258,551.4388,557.2815,385.2595,338.3634,501.7413,291.684,142.9095,460.1671,1890.5137,1380.306,945.2813,884.0386,587.524,532.2618,506.895,517.9904,471.9727,357.7811,838.3926,9821.1126,12,0
0,546,0,-0.1,0,0.8,60,7,47,0.01,0,1,0,0,0,0,0,0,0,0,0,1,442.0518,204.0236,933.0087,4574.6442,4202.2031,2091.114,1408.4027,953.6356,1039.5853,844.3329,847.3987,574.4388,418.5861,804.6404,419.191,194.6711,1151.3728,6432.3093,4175.0722,1956.6572,1318.2078,763.3409,851.6374,810.9298,663.8375,637.738,575.1624,1122.5553,26158.6105,59,0
0,283,0,23.6,15.3,4.7,99,10,6,556.96,0,0,0,0,0,0,0,0,1,0,0,0,397.1271,166.2101,447.9646,1212.7042,1503.4258,1097.5787,1028.0172,749.2926,780.2666,687.6617,705.2773,443.8762,372.6224,616.9809,380.1451,186.2507,421.8465,1503.3892,1562.0641,1069.4592,965.8206,651.9482,629.77,552.2937,594.1065,493.7159,425.9417,994.3056,9942.459,376,0
24,36,0,21.8,0,1.9,74,1,69,475.24,0,1,14,0,0,0,0,0,1,0,0,0,555.7337,338.922,542.9896,869.4263,1033.4188,1015.7104,1054.4317,934.3999,1018.509,776.977,929.4532,692.4536,472.7699,835.9851,650.5278,376.2865,544.9728,1100.7097,1386.3211,987.1652,1102.7608,944.389,966.2596,838.4329,1060.0825,880.302,618.407,1315.2186,8549.944,256,0
1,127,0,6.2,0,0.5,68,0,14.5,38.44,0,1,1,0,0,0,0,0,0,0,0,0,1069.3632,581.618,947.9694,723.6249,931.621,961.9074,1106.3137,1190.8916,1256.9525,1323.208,1140.0593,803.187,552.6346,1051.4695,1232.0051,643.9533,1011.727,904.6987,1221.0537,1117.588,1269.7666,1181.7472,1608.9456,1227.1728,1118.2245,1054.0954,729.5543,1553.7043,8236.574,137,1253
21,76,1,30.8,0,3.6,63,4,24,948.64,0,0,9,0,0,1,0,0,0,0,0,0,568.3331,238.4766,856.2063,1727.8841,1451.0728,1115.591,1292.0629,1230.9541,1171.9131,1147.7432,1183.9611,893.5395,671.651,1094.4095,536.252,262.2392,968.6675,2195.7127,1760.6374,1380.4392,1260.2322,1180.3052,1212.0236,1022.125,1162.3615,956.5723,754.1345,1651.3437,12183.6323,492,493
4,90,0,11.6,0,1.8,53,8,67,134.56,0,1,2,0,0,0,0,0,0,0,0,0,693.4326,422.8997,1054.0563,1040.4189,1206.8212,1114.823,1030.824,933.6381,959.2578,876.8691,797.7189,712.7006,452.1519,937.5801,435.9165,252.1482,861.283,1216.4855,1298.0824,1084.1309,1063.4716,907.1671,995.0024,903.4803,1033.7577,819.1923,632.0126,1474.4446,9055.0575,234,0
7,82,0,16.8,0,2.5,66,0,38,282.24,1,1,5,1,0,0,0,0,0,0,0,0,2195.7807,1856.2532,1552.931,1022.8195,882.5502,869.7489,945.9702,1369.1001,1479.8075,1167.1529,1103.003,885.9722,654.0653,1377.1964,2433.8798,2038.7497,1652.0175,1188.9567,1078.9231,966.7416,1505.4162,1828.3034,1948.2644,1607.4516,1429.2058,1049.6381,890.0562,1917.5934,8461.1264,618,2205
16,405,0,21,0,4.5,45,0,51,441,1,1,7,0,0,0,1,0,0,0,0,0,914.989,428.0454,416.4599,536.0681,749.7953,784.0514,869.5344,867.7906,882.4703,822.6481,654.1189,613.4176,442.8986,845.5825,893.7877,388.2373,425.2976,625.6055,842.5948,870.2748,953.9102,789.4788,856.8878,692.77,822.3418,762.9739,532.7422,1281.4106,6231.8345,462,0
0,61,1,-0.8,0,2.3,58,0,11,0.64,0,1,0,0,0,0,0,0,0,0,0,1,546.0338,270.0063,294.9458,461.2608,659.1435,731.5332,724.5314,576.1847,582.5527,594.5022,626.8904,506.9857,339.4333,675.9602,479.4365,232.6539,305.4297,586.1108,714.6431,711.6071,726.4457,458.4761,717.9255,634.2214,790.615,566.1613,484.0235,1110.3998,5315.2756,14,0
0,332,0,19.1,0,5,35,8,52,364.81,0,1,0,0,0,0,0,0,0,0,0,1,1361.3419,1150.8415,1247.6828,879.3994,766.6793,760.9005,1099.4738,1361.3432,1647.9007,1546.3526,1291.4087,820.2305,670.6834,1212.5578,1556.7875,1304.0494,1233.3673,952.8532,893.9723,902.0165,1226.376,1760.8067,2020.5726,1448.8044,1175.1052,915.1354,682.2782,1551.1894,7481.671,253,946
