"y","m25","m50","f20","m30","temp","semester","sub_passenger","f15","f40","past_rent","bus_passenger","wet","X8_9","rain","X9_10","m45","m55","f50","m5","m35","cloud","f45","dust","m20","f70","f35","m0","m60","m40","m65","temp.sqr","f65","f25","f55","m70","f0","f60","wind","f30","most_use","sunny","X11_12","X13_14","X15_16","X10_11","X16_17","snow"
0,3015.3596,762.272,4073.9727,1631.9538,-8.5,0,0,681.4761,683.3976,0,43,41,0,0,0,957.1493,746.4938,662.6362,483.0675,1223.1281,0,748.0299,23,2548.6367,1177.5972,1085.0905,467.8565,512.8421,841.4878,410.6788,72.25,495.7997,2851.2763,644.9142,745.5813,324.4602,585.9838,1.9,1539.043,17968.4607,0,0,0,0,0,0,0
0,3001.7447,771.3296,4097.0041,1657.9051,-9.2,0,0,701.3249,701.6282,0,14,42,0,0,0,934.9358,748.2917,666.9795,493.5686,1220.2493,0,743.3119,25,2523.8443,1160.2243,1084.9156,479.9148,503.9736,829.8956,401.14,84.64,490.9543,2896.7789,674.9197,745.9078,347.2202,590.0877,1.8,1540.6339,18023.0759,0,0,0,0,0,0,0
0,3015.5108,769.4922,4099.0282,1648.6811,-9.5,0,0,680.9299,712.1175,0,16,43,0,0,0,911.7137,733.0098,670.5085,488.5988,1233.4484,0,726.5149,25,2543.2527,1162.6758,1103.5672,471.2436,481.7825,833.344,402.9143,90.25,489.9515,2917.9572,661.0095,742.8854,335.7561,611.642,1.2,1561.0891,18122.5347,0,0,0,0,0,0,0
0,3020.2775,749.9581,4135.1798,1662.8373,-9.3,0,0,723.9365,713.8411,0,8,46,0,0,0,923.3402,746.442,660.0832,527.1239,1231.1187,0,727.0386,24,2551.1909,1151.3341,1131.8038,471.5664,471.9041,832.4996,389.9331,86.49,504.7769,2924.6753,667.3619,746.3123,330.166,608.5868,1.4,1567.5471,18224.6304,0,0,0,0,0,0,0
0,2981.9287,742.7684,4168.5383,1641.807,-9.6,0,6,803.8808,721.1771,0,23,48,0,0,0,895.5703,727.749,666.0589,701.5208,1245.9018,0,724.2587,26,2579.9035,1187.5351,1121.2855,449.722,486.4672,811.1801,387.0125,92.16,476.5806,2907.3525,665.0042,743.2318,363.9409,605.5775,1.7,1561.8924,18208.6097,0,0,0,0,0,0,0
0,2934.6281,730.6878,4159.7885,1614.0798,-9.7,0,248,839.1351,732.9495,0,32,51,0,0,0,899.2056,721.1438,654.4174,766.3817,1217.2336,0,741.7626,22,2590.3693,1180.0011,1097.1383,444.4655,478.7768,831.3166,385.9548,94.09,491.5761,2941.5118,663.6529,777.7017,346.3202,626.3112,0.8,1573.812,18128.5614,0,0,0,0,0,0,0
0,2900.0365,744.6223,4084.4067,1605.2295,-9.8,0,325,815.7923,730.6798,0,81,53,0,0,0,896.2788,750.8232,663.6508,774.0935,1220.2818,0,741.4333,27,2533.7021,1197.9448,1091.8272,401.0949,470.706,823.8045,380.4025,96.04,492.761,2888.3386,673.8443,743.4175,337.9221,642.904,1.9,1528.515,17852.3374,0,0,0,0,0,0,0
0,2846.1085,719.9695,4028.3356,1582.745,-10.1,0,448,794.6434,708.6772,0,65,55,0,0,0,883.5217,725.4468,689.8176,766.0265,1208.269,0,729.0047,25,2470.8683,1235.5588,1061.0575,399.7965,468.7146,813.9338,383.6743,102.01,510.5522,2868.5616,651.5425,765.5781,328.6982,631.9929,1.9,1497.5235,17563.469,0,0,0,0,0,0,0
1,2837.052,699.1623,3973.4656,1665.3388,-10.2,0,699,800.9954,713.4432,0,135,56,1,0,0,919.4049,747.8673,685.827,722.3224,1211.9752,0,788.2362,25,2488.335,1305.4915,1109.2957,385.5937,484.6792,809.0183,399.9915,104.04,490.1022,2775.5924,655.2793,796.0439,342.5029,676.5348,2.5,1479.1669,17540.2216,0,0,0,0,0,0,0
0,2783.3061,739.2992,3899.94,1669.6841,-9.1,0,956,731.0624,740.1295,1,159,56,0,0,1,951.7383,784.0184,710.1531,620.5868,1256.7438,0,808.2654,38,2473.7156,1249.5269,1120.236,416.7076,484.6419,847.7634,425.649,82.81,505.5763,2691.0828,666.1305,792.5406,352.4556,652.9334,2.1,1514.6997,17409.4081,0,0,0,0,0,0,0
