"y","m30","f20","m25","X8_9","temp","sub_passenger","past_rent","f40","f50","f15","m20","f25","f45","f60","wet","m60","X9_10","semester","f35","m35","f55","bus_passenger","rain","m40","m55","m0","m50","m45","f30","dust","m70","m65","f65","f0","wind","sunny","m5","f70","X16_17","most_use","cloud","X15_16","X10_11","temp.sqr","X13_14","X12_13"
0,1631.9538,4073.9727,3015.3596,0,-8.5,0,0,683.3976,662.6362,681.4761,2548.6367,2851.2763,748.0299,585.9838,41,512.8421,0,0,1085.0905,1223.1281,644.9142,43,0,841.4878,746.4938,467.8565,762.272,957.1493,1539.043,23,745.5813,410.6788,495.7997,324.4602,1.9,0,483.0675,1177.5972,0,17968.4607,0,0,0,72.25,0,0
0,1657.9051,4097.0041,3001.7447,0,-9.2,0,0,701.6282,666.9795,701.3249,2523.8443,2896.7789,743.3119,590.0877,42,503.9736,0,0,1084.9156,1220.2493,674.9197,14,0,829.8956,748.2917,479.9148,771.3296,934.9358,1540.6339,25,745.9078,401.14,490.9543,347.2202,1.8,0,493.5686,1160.2243,0,18023.0759,0,0,0,84.64,0,0
0,1648.6811,4099.0282,3015.5108,0,-9.5,0,0,712.1175,670.5085,680.9299,2543.2527,2917.9572,726.5149,611.642,43,481.7825,0,0,1103.5672,1233.4484,661.0095,16,0,833.344,733.0098,471.2436,769.4922,911.7137,1561.0891,25,742.8854,402.9143,489.9515,335.7561,1.2,0,488.5988,1162.6758,0,18122.5347,0,0,0,90.25,0,0
0,1662.8373,4135.1798,3020.2775,0,-9.3,0,0,713.8411,660.0832,723.9365,2551.1909,2924.6753,727.0386,608.5868,46,471.9041,0,0,1131.8038,1231.1187,667.3619,8,0,832.4996,746.442,471.5664,749.9581,923.3402,1567.5471,24,746.3123,389.9331,504.7769,330.166,1.4,0,527.1239,1151.3341,0,18224.6304,0,0,0,86.49,0,0
0,1641.807,4168.5383,2981.9287,0,-9.6,6,0,721.1771,666.0589,803.8808,2579.9035,2907.3525,724.2587,605.5775,48,486.4672,0,0,1121.2855,1245.9018,665.0042,23,0,811.1801,727.749,449.722,742.7684,895.5703,1561.8924,26,743.2318,387.0125,476.5806,363.9409,1.7,0,701.5208,1187.5351,0,18208.6097,0,0,0,92.16,0,0
0,1614.0798,4159.7885,2934.6281,0,-9.7,248,0,732.9495,654.4174,839.1351,2590.3693,2941.5118,741.7626,626.3112,51,478.7768,0,0,1097.1383,1217.2336,663.6529,32,0,831.3166,721.1438,444.4655,730.6878,899.2056,1573.812,22,777.7017,385.9548,491.5761,346.3202,0.8,0,766.3817,1180.0011,0,18128.5614,0,0,0,94.09,0,0
0,1605.2295,4084.4067,2900.0365,0,-9.8,325,0,730.6798,663.6508,815.7923,2533.7021,2888.3386,741.4333,642.904,53,470.706,0,0,1091.8272,1220.2818,673.8443,81,0,823.8045,750.8232,401.0949,744.6223,896.2788,1528.515,27,743.4175,380.4025,492.761,337.9221,1.9,0,774.0935,1197.9448,0,17852.3374,0,0,0,96.04,0,0
0,1582.745,4028.3356,2846.1085,0,-10.1,448,0,708.6772,689.8176,794.6434,2470.8683,2868.5616,729.0047,631.9929,55,468.7146,0,0,1061.0575,1208.269,651.5425,65,0,813.9338,725.4468,399.7965,719.9695,883.5217,1497.5235,25,765.5781,383.6743,510.5522,328.6982,1.9,0,766.0265,1235.5588,0,17563.469,0,0,0,102.01,0,0
0,1665.3388,3973.4656,2837.052,1,-10.2,699,0,713.4432,685.827,800.9954,2488.335,2775.5924,788.2362,676.5348,56,484.6792,0,0,1109.2957,1211.9752,655.2793,135,0,809.0183,747.8673,385.5937,699.1623,919.4049,1479.1669,25,796.0439,399.9915,490.1022,342.5029,2.5,0,722.3224,1305.4915,0,17540.2216,0,0,0,104.04,0,0
0,1669.6841,3899.94,2783.3061,0,-9.1,956,0,740.1295,710.1531,731.0624,2473.7156,2691.0828,808.2654,652.9334,56,484.6419,1,0,1120.236,1256.7438,666.1305,159,0,847.7634,784.0184,416.7076,739.2992,951.7383,1514.6997,38,792.5406,425.649,505.5763,352.4556,2.1,0,620.5868,1249.5269,0,17409.4081,0,0,0,82.81,0,0
