"y","m30","f20","f15","m25","temp","X10_11","sub_passenger","X9_10","m20","m50","bus_passenger","semester","f50","wet","rain","f45","m5","f70","f30","past_rent","f40","m45","f0","m35","m0","m55","m70","f35","m40","most_use","f55","f65","m65","m60","cloud","f60","f25","wind","X8_9","dust","sunny","X7_8","X11_12","X15_16","temp.sqr","X13_14","X16_17","X14_15"
0,1631.9538,4073.9727,681.4761,3015.3596,-8.5,0,0,0,2548.6367,762.272,43,0,662.6362,41,0,748.0299,483.0675,1177.5972,1539.043,0,683.3976,957.1493,324.4602,1223.1281,467.8565,746.4938,745.5813,1085.0905,841.4878,17968.4607,644.9142,495.7997,410.6788,512.8421,0,585.9838,2851.2763,1.9,0,23,0,0,0,0,72.25,0,0,0
0,1657.9051,4097.0041,701.3249,3001.7447,-9.2,0,0,0,2523.8443,771.3296,14,0,666.9795,42,0,743.3119,493.5686,1160.2243,1540.6339,0,701.6282,934.9358,347.2202,1220.2493,479.9148,748.2917,745.9078,1084.9156,829.8956,18023.0759,674.9197,490.9543,401.14,503.9736,0,590.0877,2896.7789,1.8,0,25,0,0,0,0,84.64,0,0,0
0,1648.6811,4099.0282,680.9299,3015.5108,-9.5,0,0,0,2543.2527,769.4922,16,0,670.5085,43,0,726.5149,488.5988,1162.6758,1561.0891,0,712.1175,911.7137,335.7561,1233.4484,471.2436,733.0098,742.8854,1103.5672,833.344,18122.5347,661.0095,489.9515,402.9143,481.7825,0,611.642,2917.9572,1.2,0,25,0,0,0,0,90.25,0,0,0
0,1662.8373,4135.1798,723.9365,3020.2775,-9.3,0,0,0,2551.1909,749.9581,8,0,660.0832,46,0,727.0386,527.1239,1151.3341,1567.5471,0,713.8411,923.3402,330.166,1231.1187,471.5664,746.442,746.3123,1131.8038,832.4996,18224.6304,667.3619,504.7769,389.9331,471.9041,0,608.5868,2924.6753,1.4,0,24,0,0,0,0,86.49,0,0,0
0,1641.807,4168.5383,803.8808,2981.9287,-9.6,0,6,0,2579.9035,742.7684,23,0,666.0589,48,0,724.2587,701.5208,1187.5351,1561.8924,0,721.1771,895.5703,363.9409,1245.9018,449.722,727.749,743.2318,1121.2855,811.1801,18208.6097,665.0042,476.5806,387.0125,486.4672,0,605.5775,2907.3525,1.7,0,26,0,0,0,0,92.16,0,0,0
0,1614.0798,4159.7885,839.1351,2934.6281,-9.7,0,248,0,2590.3693,730.6878,32,0,654.4174,51,0,741.7626,766.3817,1180.0011,1573.812,0,732.9495,899.2056,346.3202,1217.2336,444.4655,721.1438,777.7017,1097.1383,831.3166,18128.5614,663.6529,491.5761,385.9548,478.7768,0,626.3112,2941.5118,0.8,0,22,0,0,0,0,94.09,0,0,0
0,1605.2295,4084.4067,815.7923,2900.0365,-9.8,0,325,0,2533.7021,744.6223,81,0,663.6508,53,0,741.4333,774.0935,1197.9448,1528.515,0,730.6798,896.2788,337.9221,1220.2818,401.0949,750.8232,743.4175,1091.8272,823.8045,17852.3374,673.8443,492.761,380.4025,470.706,0,642.904,2888.3386,1.9,0,27,0,0,0,0,96.04,0,0,0
0,1582.745,4028.3356,794.6434,2846.1085,-10.1,0,448,0,2470.8683,719.9695,65,0,689.8176,55,0,729.0047,766.0265,1235.5588,1497.5235,0,708.6772,883.5217,328.6982,1208.269,399.7965,725.4468,765.5781,1061.0575,813.9338,17563.469,651.5425,510.5522,383.6743,468.7146,0,631.9929,2868.5616,1.9,0,25,0,1,0,0,102.01,0,0,0
0,1665.3388,3973.4656,800.9954,2837.052,-10.2,0,699,0,2488.335,699.1623,135,0,685.827,56,0,788.2362,722.3224,1305.4915,1479.1669,0,713.4432,919.4049,342.5029,1211.9752,385.5937,747.8673,796.0439,1109.2957,809.0183,17540.2216,655.2793,490.1022,399.9915,484.6792,0,676.5348,2775.5924,2.5,1,25,0,0,0,0,104.04,0,0,0
0,1669.6841,3899.94,731.0624,2783.3061,-9.1,0,956,1,2473.7156,739.2992,159,0,710.1531,56,0,808.2654,620.5868,1249.5269,1514.6997,0,740.1295,951.7383,352.4556,1256.7438,416.7076,784.0184,792.5406,1120.236,847.7634,17409.4081,666.1305,505.5763,425.649,484.6419,0,652.9334,2691.0828,2.1,0,38,0,0,0,0,82.81,0,0,0
1,1659.5073,3872.7968,658.867,2850.1474,-6.8,1,831,0,2538.3244,782.646,128,0,730.6889,42,0,822.3881,587.8323,1314.768,1507.7122,0,793.1648,874.7221,441.5602,1280.9699,475.4972,775.9598,761.8202,1116.8421,870.377,17571.8064,690.4344,509.4526,416.1323,523.1398,1,663.1034,2745.5063,2.3,0,30,0,0,0,0,46.24,0,0,0
0,1686.0821,3905.4698,736.8298,2924.4905,-4.3,0,1018,0,2465.0082,800.8161,207,0,745.7217,37,0,833.0353,586.4021,1320.4043,1518.8841,0,826.6142,917.8842,472.3808,1385.1672,490.0385,768.1554,740.2119,1197.2218,907.7156,17849.4228,782.8822,545.356,420.2144,518.8519,1,695.089,2767.0991,0.9,0,21,0,0,1,0,18.49,0,0,0
