"y","m5","temp","bus_passenger","past_rent","sub_passenger","f15","wet","f45","m20","m45","f20","f0","m65","f35","m0","f40","f60","m70","f50","m50","m60","f65","m35","m30","m40","f55","dust","m25","f70","rain","f30","m55","f25","wind","sunny","cloud","most_use","semester","X12_13","X20_21","X22_23","X1_2","X9_10","temp.sqr","X21_22","X17_18"
0,483.0675,-8.5,43,0,0,681.4761,41,748.0299,2548.6367,957.1493,4073.9727,324.4602,410.6788,1085.0905,467.8565,683.3976,585.9838,745.5813,662.6362,762.272,512.8421,495.7997,1223.1281,1631.9538,841.4878,644.9142,23,3015.3596,1177.5972,0,1539.043,746.4938,2851.2763,1.9,0,0,17968.4607,0,0,0,0,0,0,72.25,0,0
0,493.5686,-9.2,14,0,0,701.3249,42,743.3119,2523.8443,934.9358,4097.0041,347.2202,401.14,1084.9156,479.9148,701.6282,590.0877,745.9078,666.9795,771.3296,503.9736,490.9543,1220.2493,1657.9051,829.8956,674.9197,25,3001.7447,1160.2243,0,1540.6339,748.2917,2896.7789,1.8,0,0,18023.0759,0,0,0,0,1,0,84.64,0,0
1,488.5988,-9.5,16,1,0,680.9299,43,726.5149,2543.2527,911.7137,4099.0282,335.7561,402.9143,1103.5672,471.2436,712.1175,611.642,742.8854,670.5085,769.4922,481.7825,489.9515,1233.4484,1648.6811,833.344,661.0095,25,3015.5108,1162.6758,0,1561.0891,733.0098,2917.9572,1.2,0,0,18122.5347,0,0,0,0,0,0,90.25,0,0
0,527.1239,-9.3,8,0,0,723.9365,46,727.0386,2551.1909,923.3402,4135.1798,330.166,389.9331,1131.8038,471.5664,713.8411,608.5868,746.3123,660.0832,749.9581,471.9041,504.7769,1231.1187,1662.8373,832.4996,667.3619,24,3020.2775,1151.3341,0,1567.5471,746.442,2924.6753,1.4,0,0,18224.6304,0,0,0,0,0,0,86.49,0,0
0,701.5208,-9.6,23,0,6,803.8808,48,724.2587,2579.9035,895.5703,4168.5383,363.9409,387.0125,1121.2855,449.722,721.1771,605.5775,743.2318,666.0589,742.7684,486.4672,476.5806,1245.9018,1641.807,811.1801,665.0042,26,2981.9287,1187.5351,0,1561.8924,727.749,2907.3525,1.7,0,0,18208.6097,0,0,0,0,0,0,92.16,0,0
0,766.3817,-9.7,32,0,248,839.1351,51,741.7626,2590.3693,899.2056,4159.7885,346.3202,385.9548,1097.1383,444.4655,732.9495,626.3112,777.7017,654.4174,730.6878,478.7768,491.5761,1217.2336,1614.0798,831.3166,663.6529,22,2934.6281,1180.0011,0,1573.812,721.1438,2941.5118,0.8,0,0,18128.5614,0,0,0,0,0,0,94.09,0,0
0,774.0935,-9.8,81,1,325,815.7923,53,741.4333,2533.7021,896.2788,4084.4067,337.9221,380.4025,1091.8272,401.0949,730.6798,642.904,743.4175,663.6508,744.6223,470.706,492.761,1220.2818,1605.2295,823.8045,673.8443,27,2900.0365,1197.9448,0,1528.515,750.8232,2888.3386,1.9,0,0,17852.3374,0,0,0,0,0,0,96.04,0,0
1,766.0265,-10.1,65,0,448,794.6434,55,729.0047,2470.8683,883.5217,4028.3356,328.6982,383.6743,1061.0575,399.7965,708.6772,631.9929,765.5781,689.8176,719.9695,468.7146,510.5522,1208.269,1582.745,813.9338,651.5425,25,2846.1085,1235.5588,0,1497.5235,725.4468,2868.5616,1.9,0,0,17563.469,0,0,0,0,0,0,102.01,0,0
1,722.3224,-10.2,135,0,699,800.9954,56,788.2362,2488.335,919.4049,3973.4656,342.5029,399.9915,1109.2957,385.5937,713.4432,676.5348,796.0439,685.827,699.1623,484.6792,490.1022,1211.9752,1665.3388,809.0183,655.2793,25,2837.052,1305.4915,0,1479.1669,747.8673,2775.5924,2.5,0,0,17540.2216,0,0,0,0,0,0,104.04,0,0
0,620.5868,-9.1,159,1,956,731.0624,56,808.2654,2473.7156,951.7383,3899.94,352.4556,425.649,1120.236,416.7076,740.1295,652.9334,792.5406,710.1531,739.2992,484.6419,505.5763,1256.7438,1669.6841,847.7634,666.1305,38,2783.3061,1249.5269,0,1514.6997,784.0184,2691.0828,2.1,0,0,17409.4081,0,0,0,0,0,1,82.81,0,0
