"y","m30","f20","sub_passenger","m25","temp","past_rent","f15","f40","m20","semester","bus_passenger","X10_11","rain","X8_9","f45","X9_10","f25","wet","f50","m50","m35","m55","f55","m45","m0","cloud","X15_16","f35","m5","f30","f0","dust","f60","m40","f70","m65","sunny","wind","m70","temp.sqr","f65","m60","most_use","X12_13","X13_14"
0,1631.9538,4073.9727,0,3015.3596,-8.5,0,681.4761,683.3976,2548.6367,0,43,0,0,0,748.0299,0,2851.2763,41,662.6362,762.272,1223.1281,746.4938,644.9142,957.1493,467.8565,0,0,1085.0905,483.0675,1539.043,324.4602,23,585.9838,841.4878,1177.5972,410.6788,0,1.9,745.5813,72.25,495.7997,512.8421,17968.4607,0,0
0,1657.9051,4097.0041,0,3001.7447,-9.2,0,701.3249,701.6282,2523.8443,0,14,0,0,0,743.3119,0,2896.7789,42,666.9795,771.3296,1220.2493,748.2917,674.9197,934.9358,479.9148,0,0,1084.9156,493.5686,1540.6339,347.2202,25,590.0877,829.8956,1160.2243,401.14,0,1.8,745.9078,84.64,490.9543,503.9736,18023.0759,0,0
0,1648.6811,4099.0282,0,3015.5108,-9.5,0,680.9299,712.1175,2543.2527,0,16,0,0,0,726.5149,0,2917.9572,43,670.5085,769.4922,1233.4484,733.0098,661.0095,911.7137,471.2436,0,0,1103.5672,488.5988,1561.0891,335.7561,25,611.642,833.344,1162.6758,402.9143,0,1.2,742.8854,90.25,489.9515,481.7825,18122.5347,0,0
0,1662.8373,4135.1798,0,3020.2775,-9.3,0,723.9365,713.8411,2551.1909,0,8,0,0,0,727.0386,0,2924.6753,46,660.0832,749.9581,1231.1187,746.442,667.3619,923.3402,471.5664,0,0,1131.8038,527.1239,1567.5471,330.166,24,608.5868,832.4996,1151.3341,389.9331,0,1.4,746.3123,86.49,504.7769,471.9041,18224.6304,0,0
0,1641.807,4168.5383,6,2981.9287,-9.6,0,803.8808,721.1771,2579.9035,0,23,0,0,0,724.2587,0,2907.3525,48,666.0589,742.7684,1245.9018,727.749,665.0042,895.5703,449.722,0,0,1121.2855,701.5208,1561.8924,363.9409,26,605.5775,811.1801,1187.5351,387.0125,0,1.7,743.2318,92.16,476.5806,486.4672,18208.6097,0,0
0,1614.0798,4159.7885,248,2934.6281,-9.7,0,839.1351,732.9495,2590.3693,0,32,0,0,0,741.7626,0,2941.5118,51,654.4174,730.6878,1217.2336,721.1438,663.6529,899.2056,444.4655,0,0,1097.1383,766.3817,1573.812,346.3202,22,626.3112,831.3166,1180.0011,385.9548,0,0.8,777.7017,94.09,491.5761,478.7768,18128.5614,0,0
0,1605.2295,4084.4067,325,2900.0365,-9.8,0,815.7923,730.6798,2533.7021,0,81,0,0,0,741.4333,0,2888.3386,53,663.6508,744.6223,1220.2818,750.8232,673.8443,896.2788,401.0949,0,0,1091.8272,774.0935,1528.515,337.9221,27,642.904,823.8045,1197.9448,380.4025,0,1.9,743.4175,96.04,492.761,470.706,17852.3374,0,0
0,1582.745,4028.3356,448,2846.1085,-10.1,0,794.6434,708.6772,2470.8683,0,65,0,0,0,729.0047,0,2868.5616,55,689.8176,719.9695,1208.269,725.4468,651.5425,883.5217,399.7965,0,0,1061.0575,766.0265,1497.5235,328.6982,25,631.9929,813.9338,1235.5588,383.6743,0,1.9,765.5781,102.01,510.5522,468.7146,17563.469,0,0
0,1665.3388,3973.4656,699,2837.052,-10.2,0,800.9954,713.4432,2488.335,0,135,0,0,1,788.2362,0,2775.5924,56,685.827,699.1623,1211.9752,747.8673,655.2793,919.4049,385.5937,0,0,1109.2957,722.3224,1479.1669,342.5029,25,676.5348,809.0183,1305.4915,399.9915,0,2.5,796.0439,104.04,490.1022,484.6792,17540.2216,0,0
0,1669.6841,3899.94,956,2783.3061,-9.1,0,731.0624,740.1295,2473.7156,0,159,0,0,0,808.2654,1,2691.0828,56,710.1531,739.2992,1256.7438,784.0184,666.1305,951.7383,416.7076,0,0,1120.236,620.5868,1514.6997,352.4556,38,652.9334,847.7634,1249.5269,425.649,0,2.1,792.5406,82.81,505.5763,484.6419,17409.4081,0,0
0,1659.5073,3872.7968,831,2850.1474,-6.8,0,658.867,793.1648,2538.3244,0,128,1,0,0,822.3881,0,2745.5063,42,730.6889,782.646,1280.9699,775.9598,690.4344,874.7221,475.4972,1,0,1116.8421,587.8323,1507.7122,441.5602,30,663.1034,870.377,1314.768,416.1323,0,2.3,761.8202,46.24,509.4526,523.1398,17571.8064,0,0
0,1686.0821,3905.4698,1018,2924.4905,-4.3,0,736.8298,826.6142,2465.0082,0,207,0,0,0,833.0353,0,2767.0991,37,745.7217,800.8161,1385.1672,768.1554,782.8822,917.8842,490.0385,1,0,1197.2218,586.4021,1518.8841,472.3808,21,695.089,907.7156,1320.4043,420.2144,0,0.9,740.2119,18.49,545.356,518.8519,17849.4228,0,0
0,1859.6825,4058.0544,1212,2965.6393,-2.3,0,868.8715,855.5406,2586.8189,0,230,0,0,0,872.7537,0,2952.5516,34,748.1338,827.3971,1505.189,776.7449,830.7245,977.1987,587.3517,0,0,1258.8671,723.2443,1631.3175,501.4525,17,656.1947,923.1611,1276.0991,426.3821,0,1.2,722.2581,5.29,487.6,525.7804,18818.1203,1,0
1,1903.0784,4179.6607,1333,3114.6131,-0.1,0,1092.1016,945.3094,2626.8551,0,317,0,0,0,892.3504,0,3095.74,32,767.3724,820.6575,1479.5145,809.2896,802.4848,1019.1622,625.9619,1,0,1397.4549,876.6455,1604.3219,634.1799,26,662.9924,1034.4107,1302.6493,455.5889,0,1.5,770.7484,0.01,539.4187,516.0127,19401.2386,0,1
0,1878.3498,4305.561,1564,3183.4582,1.3,0,1314.7159,954.4554,2781.1102,0,289,0,0,0,906.0148,0,3120.8955,32,788.0211,817.509,1569.3377,798.1733,799.3658,1007.1156,694.8158,1,0,1296.6963,1100.0851,1664.2449,751.2805,33,650.5356,1035.3322,1240.5739,426.191,1,2.2,781.2048,1.69,532.675,503.9361,19799.6536,0,0
