"y","past_rent","bus_passenger","sub_passenger","temp","f45","sunny","f15","f50","wet","f40","X17_18","m40","m25","most_use","m50","f0","f35","m20","f20","m55","f60","m35","m45","m0","m70","m5","cloud","m65","f25","wind","f55","dust","f65","m60","m30","f30","f70","semester","rain","X16_17","X19_20","X18_19","X8_9","X9_10","X7_8","X20_21"
0,0,43,0,-8.5,748.0299,0,681.4761,662.6362,41,683.3976,0,841.4878,3015.3596,17968.4607,762.272,324.4602,1085.0905,2548.6367,4073.9727,746.4938,585.9838,1223.1281,957.1493,467.8565,745.5813,483.0675,0,410.6788,2851.2763,1.9,644.9142,23,495.7997,512.8421,1631.9538,1539.043,1177.5972,0,0,0,0,0,0,0,0,0
2,1,14,0,-9.2,743.3119,0,701.3249,666.9795,42,701.6282,0,829.8956,3001.7447,18023.0759,771.3296,347.2202,1084.9156,2523.8443,4097.0041,748.2917,590.0877,1220.2493,934.9358,479.9148,745.9078,493.5686,0,401.14,2896.7789,1.8,674.9197,25,490.9543,503.9736,1657.9051,1540.6339,1160.2243,0,0,0,0,0,0,0,0,0
0,1,16,0,-9.5,726.5149,0,680.9299,670.5085,43,712.1175,0,833.344,3015.5108,18122.5347,769.4922,335.7561,1103.5672,2543.2527,4099.0282,733.0098,611.642,1233.4484,911.7137,471.2436,742.8854,488.5988,0,402.9143,2917.9572,1.2,661.0095,25,489.9515,481.7825,1648.6811,1561.0891,1162.6758,0,0,0,0,0,0,0,0,0
0,0,8,0,-9.3,727.0386,0,723.9365,660.0832,46,713.8411,0,832.4996,3020.2775,18224.6304,749.9581,330.166,1131.8038,2551.1909,4135.1798,746.442,608.5868,1231.1187,923.3402,471.5664,746.3123,527.1239,0,389.9331,2924.6753,1.4,667.3619,24,504.7769,471.9041,1662.8373,1567.5471,1151.3341,0,0,0,0,0,0,0,0,0
0,3,23,6,-9.6,724.2587,0,803.8808,666.0589,48,721.1771,0,811.1801,2981.9287,18208.6097,742.7684,363.9409,1121.2855,2579.9035,4168.5383,727.749,605.5775,1245.9018,895.5703,449.722,743.2318,701.5208,0,387.0125,2907.3525,1.7,665.0042,26,476.5806,486.4672,1641.807,1561.8924,1187.5351,0,0,0,0,0,0,0,0,0
0,1,32,248,-9.7,741.7626,0,839.1351,654.4174,51,732.9495,0,831.3166,2934.6281,18128.5614,730.6878,346.3202,1097.1383,2590.3693,4159.7885,721.1438,626.3112,1217.2336,899.2056,444.4655,777.7017,766.3817,0,385.9548,2941.5118,0.8,663.6529,22,491.5761,478.7768,1614.0798,1573.812,1180.0011,0,0,0,0,0,0,0,0,0
1,0,81,325,-9.8,741.4333,0,815.7923,663.6508,53,730.6798,0,823.8045,2900.0365,17852.3374,744.6223,337.9221,1091.8272,2533.7021,4084.4067,750.8232,642.904,1220.2818,896.2788,401.0949,743.4175,774.0935,0,380.4025,2888.3386,1.9,673.8443,27,492.761,470.706,1605.2295,1528.515,1197.9448,0,0,0,0,0,0,0,0,0
0,0,65,448,-10.1,729.0047,0,794.6434,689.8176,55,708.6772,0,813.9338,2846.1085,17563.469,719.9695,328.6982,1061.0575,2470.8683,4028.3356,725.4468,631.9929,1208.269,883.5217,399.7965,765.5781,766.0265,0,383.6743,2868.5616,1.9,651.5425,25,510.5522,468.7146,1582.745,1497.5235,1235.5588,0,0,0,0,0,0,0,1,0
0,0,135,699,-10.2,788.2362,0,800.9954,685.827,56,713.4432,0,809.0183,2837.052,17540.2216,699.1623,342.5029,1109.2957,2488.335,3973.4656,747.8673,676.5348,1211.9752,919.4049,385.5937,796.0439,722.3224,0,399.9915,2775.5924,2.5,655.2793,25,490.1022,484.6792,1665.3388,1479.1669,1305.4915,0,0,0,0,0,1,0,0,0
0,0,159,956,-9.1,808.2654,0,731.0624,710.1531,56,740.1295,0,847.7634,2783.3061,17409.4081,739.2992,352.4556,1120.236,2473.7156,3899.94,784.0184,652.9334,1256.7438,951.7383,416.7076,792.5406,620.5868,0,425.649,2691.0828,2.1,666.1305,38,505.5763,484.6419,1669.6841,1514.6997,1249.5269,0,0,0,0,0,0,1,0,0
2,0,128,831,-6.8,822.3881,0,658.867,730.6889,42,793.1648,0,870.377,2850.1474,17571.8064,782.646,441.5602,1116.8421,2538.3244,3872.7968,775.9598,663.1034,1280.9699,874.7221,475.4972,761.8202,587.8323,1,416.1323,2745.5063,2.3,690.4344,30,509.4526,523.1398,1659.5073,1507.7122,1314.768,0,0,0,0,0,0,0,0,0
2,0,207,1018,-4.3,833.0353,0,736.8298,745.7217,37,826.6142,0,907.7156,2924.4905,17849.4228,800.8161,472.3808,1197.2218,2465.0082,3905.4698,768.1554,695.089,1385.1672,917.8842,490.0385,740.2119,586.4021,1,420.2144,2767.0991,0.9,782.8822,21,545.356,518.8519,1686.0821,1518.8841,1320.4043,0,0,0,0,0,0,0,0,0
2,1,230,1212,-2.3,872.7537,0,868.8715,748.1338,34,855.5406,0,923.1611,2965.6393,18818.1203,827.3971,501.4525,1258.8671,2586.8189,4058.0544,776.7449,656.1947,1505.189,977.1987,587.3517,722.2581,723.2443,0,426.3821,2952.5516,1.2,830.7245,17,487.6,525.7804,1859.6825,1631.3175,1276.0991,0,0,0,0,0,0,0,0,0
1,0,317,1333,-0.1,892.3504,0,1092.1016,767.3724,32,945.3094,0,1034.4107,3114.6131,19401.2386,820.6575,634.1799,1397.4549,2626.8551,4179.6607,809.2896,662.9924,1479.5145,1019.1622,625.9619,770.7484,876.6455,1,455.5889,3095.74,1.5,802.4848,26,539.4187,516.0127,1903.0784,1604.3219,1302.6493,0,0,0,0,0,0,0,0,0
