"y","bus_passenger","past_rent","sub_passenger","temp","wet","f20","X8_9","m20","most_use","sunny","f0","m30","m25","dust","f25","m45","m0","m55","m5","m50","f70","f65","f40","f15","wind","f55","m40","f50","f30","f45","rain","cloud","f35","f60","m65","m35","m60","m70","temp.sqr","weekend","X18_19","X6_7","semester","X21_22","X1_2","snow","X7_8","X16_17"
0,43,0,0,-8.5,41,4073.9727,0,2548.6367,17968.4607,0,324.4602,1631.9538,3015.3596,23,2851.2763,957.1493,467.8565,746.4938,483.0675,762.272,1177.5972,495.7997,683.3976,681.4761,1.9,644.9142,841.4878,662.6362,1539.043,748.0299,0,0,1085.0905,585.9838,410.6788,1223.1281,512.8421,745.5813,72.25,1,0,0,0,0,0,0,0,0
0,14,1,0,-9.2,42,4097.0041,0,2523.8443,18023.0759,0,347.2202,1657.9051,3001.7447,25,2896.7789,934.9358,479.9148,748.2917,493.5686,771.3296,1160.2243,490.9543,701.6282,701.3249,1.8,674.9197,829.8956,666.9795,1540.6339,743.3119,0,0,1084.9156,590.0877,401.14,1220.2493,503.9736,745.9078,84.64,1,0,0,0,0,1,0,0,0
1,16,2,0,-9.5,43,4099.0282,0,2543.2527,18122.5347,0,335.7561,1648.6811,3015.5108,25,2917.9572,911.7137,471.2436,733.0098,488.5988,769.4922,1162.6758,489.9515,712.1175,680.9299,1.2,661.0095,833.344,670.5085,1561.0891,726.5149,0,0,1103.5672,611.642,402.9143,1233.4484,481.7825,742.8854,90.25,1,0,0,0,0,0,0,0,0
0,8,0,0,-9.3,46,4135.1798,0,2551.1909,18224.6304,0,330.166,1662.8373,3020.2775,24,2924.6753,923.3402,471.5664,746.442,527.1239,749.9581,1151.3341,504.7769,713.8411,723.9365,1.4,667.3619,832.4996,660.0832,1567.5471,727.0386,0,0,1131.8038,608.5868,389.9331,1231.1187,471.9041,746.3123,86.49,1,0,0,0,0,0,0,0,0
0,23,0,6,-9.6,48,4168.5383,0,2579.9035,18208.6097,0,363.9409,1641.807,2981.9287,26,2907.3525,895.5703,449.722,727.749,701.5208,742.7684,1187.5351,476.5806,721.1771,803.8808,1.7,665.0042,811.1801,666.0589,1561.8924,724.2587,0,0,1121.2855,605.5775,387.0125,1245.9018,486.4672,743.2318,92.16,1,0,0,0,0,0,0,0,0
0,32,0,248,-9.7,51,4159.7885,0,2590.3693,18128.5614,0,346.3202,1614.0798,2934.6281,22,2941.5118,899.2056,444.4655,721.1438,766.3817,730.6878,1180.0011,491.5761,732.9495,839.1351,0.8,663.6529,831.3166,654.4174,1573.812,741.7626,0,0,1097.1383,626.3112,385.9548,1217.2336,478.7768,777.7017,94.09,1,0,0,0,0,0,0,0,0
0,81,0,325,-9.8,53,4084.4067,0,2533.7021,17852.3374,0,337.9221,1605.2295,2900.0365,27,2888.3386,896.2788,401.0949,750.8232,774.0935,744.6223,1197.9448,492.761,730.6798,815.7923,1.9,673.8443,823.8045,663.6508,1528.515,741.4333,0,0,1091.8272,642.904,380.4025,1220.2818,470.706,743.4175,96.04,1,0,1,0,0,0,0,0,0
0,65,1,448,-10.1,55,4028.3356,0,2470.8683,17563.469,0,328.6982,1582.745,2846.1085,25,2868.5616,883.5217,399.7965,725.4468,766.0265,719.9695,1235.5588,510.5522,708.6772,794.6434,1.9,651.5425,813.9338,689.8176,1497.5235,729.0047,0,0,1061.0575,631.9929,383.6743,1208.269,468.7146,765.5781,102.01,1,0,0,0,0,0,0,1,0
1,135,0,699,-10.2,56,3973.4656,1,2488.335,17540.2216,0,342.5029,1665.3388,2837.052,25,2775.5924,919.4049,385.5937,747.8673,722.3224,699.1623,1305.4915,490.1022,713.4432,800.9954,2.5,655.2793,809.0183,685.827,1479.1669,788.2362,0,0,1109.2957,676.5348,399.9915,1211.9752,484.6792,796.0439,104.04,1,0,0,0,0,0,0,0,0
0,159,2,956,-9.1,56,3899.94,0,2473.7156,17409.4081,0,352.4556,1669.6841,2783.3061,38,2691.0828,951.7383,416.7076,784.0184,620.5868,739.2992,1249.5269,505.5763,740.1295,731.0624,2.1,666.1305,847.7634,710.1531,1514.6997,808.2654,0,0,1120.236,652.9334,425.649,1256.7438,484.6419,792.5406,82.81,1,0,0,0,0,0,0,0,0
2,128,2,831,-6.8,42,3872.7968,0,2538.3244,17571.8064,0,441.5602,1659.5073,2850.1474,30,2745.5063,874.7221,475.4972,775.9598,587.8323,782.646,1314.768,509.4526,793.1648,658.867,2.3,690.4344,870.377,730.6889,1507.7122,822.3881,0,1,1116.8421,663.1034,416.1323,1280.9699,523.1398,761.8202,46.24,1,0,0,0,0,0,0,0,0
1,207,1,1018,-4.3,37,3905.4698,0,2465.0082,17849.4228,0,472.3808,1686.0821,2924.4905,21,2767.0991,917.8842,490.0385,768.1554,586.4021,800.8161,1320.4043,545.356,826.6142,736.8298,0.9,782.8822,907.7156,745.7217,1518.8841,833.0353,0,1,1197.2218,695.089,420.2144,1385.1672,518.8519,740.2119,18.49,1,0,0,0,0,0,0,0,0
1,230,3,1212,-2.3,34,4058.0544,0,2586.8189,18818.1203,0,501.4525,1859.6825,2965.6393,17,2952.5516,977.1987,587.3517,776.7449,723.2443,827.3971,1276.0991,487.6,855.5406,868.8715,1.2,830.7245,923.1611,748.1338,1631.3175,872.7537,0,0,1258.8671,656.1947,426.3821,1505.189,525.7804,722.2581,5.29,1,0,0,0,0,0,0,0,0
0,317,0,1333,-0.1,32,4179.6607,0,2626.8551,19401.2386,0,634.1799,1903.0784,3114.6131,26,3095.74,1019.1622,625.9619,809.2896,876.6455,820.6575,1302.6493,539.4187,945.3094,1092.1016,1.5,802.4848,1034.4107,767.3724,1604.3219,892.3504,0,1,1397.4549,662.9924,455.5889,1479.5145,516.0127,770.7484,0.01,1,0,0,0,0,0,0,0,0
0,289,1,1564,1.3,32,4305.561,0,2781.1102,19799.6536,1,751.2805,1878.3498,3183.4582,33,3120.8955,1007.1156,694.8158,798.1733,1100.0851,817.509,1240.5739,532.675,954.4554,1314.7159,2.2,799.3658,1035.3322,788.0211,1664.2449,906.0148,0,1,1296.6963,650.5356,426.191,1569.3377,503.9361,781.2048,1.69,1,0,0,0,0,0,0,0,0
2,334,0,1831,1.9,35,4504.0262,0,3021.9892,20581.514,1,892.3827,1904.7691,3308.7379,46,3165.0785,1075.261,768.3739,810.2722,1533.5207,856.697,1237.8167,560.3337,897.7426,1725.9705,1.7,831.9715,1074.65,775.275,1726.6451,945.9123,0,0,1318.7469,641.0388,425.5368,1631.5211,516.2654,811.7398,3.61,1,0,0,0,0,0,0,0,0
1,393,0,2177,1.8,37,4648.2518,0,3481.3525,21737.0262,1,828.4641,1972.7596,3627.6926,36,3286.5011,1026.4613,677.759,856.0725,1951.9843,898.046,1292.1359,581.6992,879.5719,2255.1883,1.4,805.2629,1034.5832,816.4424,1735.9394,954.1123,0,0,1368.0086,649.4567,440.202,1616.5206,575.7618,785.5772,3.24,1,0,0,0,0,0,0,0,1
1,436,0,2172,0.5,38,5060.285,0,4061.439,23109.4736,0,777.9175,2021.4605,3857.673,42,3510.5175,995.6357,625.3572,888.3974,2263.3812,881.8446,1277.7392,566.1505,879.2243,2646.9193,1.5,813.6039,1078.4719,786.7407,1746.7962,943.3894,0,0,1263.0188,669.0835,443.0869,1588.2836,579.374,747.7952,0.25,1,0,0,0,0,0,0,0,0
0,374,2,1919,-0.9,42,5475.9384,0,4256.555,24170.2517,0,673.987,2106.8455,4122.9342,46,3621.7632,1068.9945,714.8656,851.4151,2380.0975,832.9198,1281.4106,534.6887,894.2637,2808.1361,0.7,769.2663,1063.4898,784.0434,1750.1372,987.391,0,1,1294.8336,655.461,453.6725,1541.2446,619.3034,760.3326,0.81,1,1,0,0,0,0,0,0,0
0,305,0,1822,-1.2,45,5433.5806,0,4307.0667,24282.2147,0,584.2799,2142.992,4168.2017,43,3618.2199,1070.2002,600.0606,842.4864,2302.7393,881.6793,1222.8802,559.3522,853.9846,2620.2517,0.9,799.8908,1055.6617,784.2678,1765.6912,986.3548,0,7,1328.7882,706.2706,444.6465,1517.6744,617.974,769.1565,1.44,1,0,0,0,0,0,0,0,0
0,482,0,3216,-1.6,47,5054.2346,0,3809.3629,22705.0773,0,505.39,2022.8202,3987.5885,44,3458.2767,1046.1585,480.8395,864.8032,1990.2825,838.2168,1215.1594,562.3245,840.3534,2174.8429,0.9,742.736,971.6193,756.7894,1734.4228,908.8601,0,4,1213.1176,680.7566,438.4032,1425.254,558.3138,746.3631,2.56,1,0,0,0,0,0,0,0,0
0,634,0,4686,-2.4,49,4384.5668,0,2966.0381,19868.6887,0,380.3577,1845.7715,3306.7813,49,3166.2979,1025.4351,554.185,802.2568,1010.5843,816.4539,1241.576,561.7106,796.9554,1027.2487,2.1,757.9299,890.7127,779.8195,1643.6693,866.2712,0,3,1187.2465,675.7285,424.2162,1368.3173,546.7402,756.3511,5.76,1,0,0,0,1,0,0,0,0
1,340,1,1294,-2.5,49,4242.8454,0,2697.6954,19227.1009,0,388.5686,1777.7479,3215.2554,48,3115.3854,974.7318,514.7113,810.0397,665.6039,801.8453,1222.1237,524.8618,782.2246,752.5396,1,727.5439,862.1241,794.7583,1664.3515,842.5428,0,6,1215.4682,695.5734,442.2193,1298.3517,568.5069,751.4911,6.25,1,0,0,0,0,0,0,0,0
0,124,1,312,-2.6,52,4208.4572,0,2496.8181,18418.4618,0,300.0897,1621.3565,3131.7732,52,3002.7874,895.2271,461.283,759.3371,515.973,730.9854,1108.3629,501.4084,646.9265,637.14,0.9,622.0597,818.7908,672.8306,1629.9731,746.8139,0,8,1097.3711,611.6483,404.4098,1229.9252,509.645,784.51,6.76,1,0,0,0,0,0,0,0,0
1,36,0,2,-2.8,55,4230.2852,0,2528.0976,18420.8415,0,330.7562,1649.3404,3054.5089,51,2960.1867,906.0489,459.8054,728.0094,527.3301,725.6719,1148.3885,493.9842,643.7032,598.9934,2.3,629.466,791.2885,677.3715,1675.7792,749.1479,0,7,1067.6567,629.755,416.2185,1254.9868,491.5773,770.8469,7.84,1,0,0,0,0,0,0,0,0
0,13,0,0,-2.9,57,4255.3486,0,2550.0382,18537.3961,0,341.9429,1676.1082,3069.2582,55,2997.0907,886.2969,471.4803,726.0669,506.7215,745.1448,1135.7623,510.7964,685.7243,607.0678,2.1,619.1185,827.1632,682.0035,1656.4244,770.2866,0,8,1080.3975,615.1559,398.5573,1252.7303,494.3149,763.9788,8.41,1,0,0,0,0,1,0,0,0
1,19,0,0,-2.6,57,4273.9491,0,2538.5105,18521.2688,0,344.1256,1675.8869,3066.2662,51,3008.6295,875.2236,492.5551,726.8703,524.8589,744.1317,1126.2161,484.6168,660.4695,588.4983,1.9,589.0645,817.9012,689.4129,1641.1874,754.7675,0,8,1060.8378,622.665,406.412,1256.0014,496.8338,745.4565,6.76,1,0,0,0,0,0,0,0,0
0,8,0,0,-2.1,56,4276.3212,0,2514.5834,18543.7858,0,355.3955,1698.6529,3082.9688,38,3002.3673,904.0857,445.0988,716.3295,526.9761,750.5879,1136.0043,487.8129,659.0926,605.8067,2.5,595.6035,803.6301,697.1884,1675.377,739.2058,0,9,1080.4464,619.0804,417.9578,1213.0688,500.0517,737.3836,4.41,1,0,0,0,0,0,0,0,0
