"y","past_rent","station_dist","bus_passenger","temp","m60","X18_19","f30","wet","m20","f25","f65","m35","sub_passenger","m5","m0","f40","m55","f60","m25","dust","f0","m45","m65","station_type","f55","m30","m50","f15","m70","wind","f70","f35","f45","f50","f20","m40","X9_10","m10","semester","X19_20","weekend","most_use","X10_11","f10","cloud","X17_18","X8_9","X7_8","rain","X22_23"
6,5,160,371,25.4,636.5909,0,870.0446,81,722.6442,877.0062,606.3673,1080.831,0,608.1646,924.9474,991.1481,722.9638,779.8576,867.8902,22,843.5254,1010.5014,483.9629,0,1019.5015,703.705,794.2888,610.0216,858.658,0.6,1259.3689,1286.121,1057.5957,963.8841,907.5821,890.6951,0,477.456,0,0,0,7315.8243,0,448.3667,10,0,0,0,0,0
6,1,10,231,21.5,659.5354,0,1603.1158,84,1012.2892,1858.8441,624.7637,1357.5999,1100,744.4159,762.2155,1214.5842,953.9269,931.3912,1627.1641,14,684.6781,1207.8675,456.1469,0,1125.2937,1505.4935,875.7025,683.8715,1041.2594,2.3,1392.693,1540.4273,1342.7865,1096.901,1350.5065,1139.8873,0,354.971,0,0,0,11855.4404,0,364.6794,8,0,0,0,0,0
0,0,40,12,21.3,385.2595,0,945.2813,90,1276.1038,1380.306,357.7811,980.2555,0,472.6655,389.7681,587.524,557.2815,471.9727,1442.3422,41,291.684,609.7258,338.3634,0,517.9904,1022.2715,551.4388,460.1671,501.7413,1.1,838.3926,884.0386,532.2618,506.895,1890.5137,636.8637,0,163.13,1,0,0,9821.1126,0,142.9095,10,0,0,0,2.4,0
0,0,546,59,-0.1,574.4388,0,1956.6572,60,4574.6442,4175.0722,575.1624,1408.4027,0,933.0087,442.0518,763.3409,847.3987,637.738,4202.2031,47,419.191,1039.5853,418.5861,0,663.8375,2091.114,844.3329,1151.3728,804.6404,0.8,1122.5553,1318.2078,851.6374,810.9298,6432.3093,953.6356,0,204.0236,1,0,1,26158.6105,0,194.6711,7,0,0,0,0,0
0,0,283,376,23.6,443.8762,0,1069.4592,99,1212.7042,1562.0641,425.9417,1028.0172,0,447.9646,397.1271,651.9482,705.2773,493.7159,1503.4258,6,380.1451,780.2666,372.6224,0,594.1065,1097.5787,687.6617,421.8465,616.9809,4.7,994.3056,965.8206,629.77,552.2937,1503.3892,749.2926,0,166.2101,0,0,0,9942.459,0,186.2507,10,0,0,0,15.3,0
24,14,36,256,21.8,692.4536,0,987.1652,74,869.4263,1386.3211,618.407,1054.4317,0,542.9896,555.7337,944.389,929.4532,880.302,1033.4188,69,650.5278,1018.509,472.7699,0,1060.0825,1015.7104,776.977,544.9728,835.9851,1.9,1315.2186,1102.7608,966.2596,838.4329,1100.7097,934.3999,0,338.922,1,0,0,8549.944,0,376.2865,1,0,0,0,0,0
1,1,127,137,6.2,803.187,0,1117.588,68,723.6249,1221.0537,729.5543,1106.3137,1253,947.9694,1069.3632,1181.7472,1140.0593,1054.0954,931.621,14.5,1232.0051,1256.9525,552.6346,0,1118.2245,961.9074,1323.208,1011.727,1051.4695,0.5,1553.7043,1269.7666,1608.9456,1227.1728,904.6987,1190.8916,0,581.618,1,0,0,8236.574,0,643.9533,0,0,0,0,0,0
21,9,76,492,30.8,893.5395,0,1380.4392,63,1727.8841,1760.6374,754.1345,1292.0629,493,856.2063,568.3331,1180.3052,1183.9611,956.5723,1451.0728,24,536.252,1171.9131,671.651,1,1162.3615,1115.591,1147.7432,968.6675,1094.4095,3.6,1651.3437,1260.2322,1212.0236,1022.125,2195.7127,1230.9541,0,238.4766,0,0,0,12183.6323,0,262.2392,4,1,0,0,0,0
4,2,90,234,11.6,712.7006,0,1084.1309,53,1040.4189,1298.0824,632.0126,1030.824,0,1054.0563,693.4326,907.1671,797.7189,819.1923,1206.8212,67,435.9165,959.2578,452.1519,0,1033.7577,1114.823,876.8691,861.283,937.5801,1.8,1474.4446,1063.4716,995.0024,903.4803,1216.4855,933.6381,0,422.8997,1,0,0,9055.0575,0,252.1482,8,0,0,0,0,0
7,5,82,618,16.8,885.9722,0,966.7416,66,1022.8195,1078.9231,890.0562,945.9702,2205,1552.931,2195.7807,1828.3034,1103.003,1049.6381,882.5502,38,2433.8798,1479.8075,654.0653,0,1429.2058,869.7489,1167.1529,1652.0175,1377.1964,2.5,1917.5934,1505.4162,1948.2644,1607.4516,1188.9567,1369.1001,0,1856.2532,1,0,0,8461.1264,0,2038.7497,0,0,1,0,0,0
16,7,405,462,21,613.4176,1,870.2748,45,536.0681,842.5948,532.7422,869.5344,0,416.4599,914.989,789.4788,654.1189,762.9739,749.7953,51,893.7877,882.4703,442.8986,0,822.3418,784.0514,822.6481,425.2976,845.5825,4.5,1281.4106,953.9102,856.8878,692.77,625.6055,867.7906,0,428.0454,1,0,0,6231.8345,0,388.2373,0,0,0,0,0,0
0,0,61,14,-0.8,506.9857,0,711.6071,58,461.2608,714.6431,484.0235,724.5314,0,294.9458,546.0338,458.4761,626.8904,566.1613,659.1435,11,479.4365,582.5527,339.4333,1,790.615,731.5332,594.5022,305.4297,675.9602,2.3,1110.3998,726.4457,717.9255,634.2214,586.1108,576.1847,0,270.0063,1,0,1,5315.2756,0,232.6539,0,0,0,0,0,0
0,0,332,253,19.1,820.2305,0,902.0165,35,879.3994,893.9723,682.2782,1099.4738,946,1247.6828,1361.3419,1760.8067,1291.4087,915.1354,766.6793,52,1556.7875,1647.9007,670.6834,0,1175.1052,760.9005,1546.3526,1233.3673,1212.5578,5,1551.1894,1226.376,2020.5726,1448.8044,952.8532,1361.3432,0,1150.8415,1,0,1,7481.671,0,1304.0494,8,0,0,0,0,0
1,3,90,415,28,445.3888,0,843.1362,79,1261.7255,1259.6071,404.3755,874.8585,0,321.8094,250.6034,749.2104,651.62,529.417,1365.5515,13,297.1163,831.6576,346.2444,0,554.1372,963.6103,748.427,322.4372,625.3986,2.8,1041.639,875.08,697.4696,585.0839,1677.7439,757.5707,0,104.8854,0,0,0,9121.313,0,145.5711,10,0,0,0,0,0
0,3,475,360,11,654.531,0,964.3118,71,659.783,1011.639,623.2842,1043.0276,0,459.9589,904.9832,1020.0273,789.9283,867.2258,884.3628,17,818.04,1083.7814,522.208,0,927.6715,988.8114,771.9151,520.8304,885.3777,1.4,1400.1688,1208.3434,965.4014,761.1169,750.2605,975.2534,0,423.3644,1,0,0,7510.5395,0,355.3346,0,0,0,0,0,0
0,0,405,204,26.8,548.571,0,809.6805,92,592.2164,780.0263,537.0274,945.4014,0,485.011,648.1395,762.4103,705.3177,724.3682,713.6227,10,605.0639,843.0209,450.1667,0,783.8287,873.4412,694.809,444.8882,884.2786,3.3,1209.651,977.5421,782.0606,621.8678,608.0089,799.1301,0,303.2089,0,0,1,6299.9395,0,262.8234,10,0,0,0,1.7,0
0,0,89,159,11.3,807.0844,0,870.8058,24,914.578,942.9946,744.5215,988.2697,468,1467.5102,2182.6966,1654.4319,1056.0456,1012.1658,767.9494,62,2346.3722,1367.2104,654.266,0,1367.3702,755.4908,1069.8113,1438.2717,1238.9341,1.5,1858.5574,1431.4914,1876.3858,1357.3729,1053.4654,1145.6266,0,1845.1927,1,0,0,7725.0451,0,1965.4484,0,0,0,0,0,0
7,4,90,1001,23.9,442.5081,0,1025.6794,99,1220.5046,1438.1257,434.0409,965.0771,0,350.8257,226.2964,692.9575,575.4841,448.5084,1370.9776,18,236.5836,725.2965,317.1971,0,595.2398,999.815,654.2813,298.9641,565.1844,1.6,956.6517,958.5337,611.6614,571.6918,1729.9653,733.4696,0,94.7119,0,0,0,9708.6784,0,115.913,9,0,1,0,0,0
3,2,27,540,0.1,571.0418,0,878.4412,89,843.4092,897.3329,652.5,867.2278,0,561.553,1081.7595,895.0577,675.8872,797.4181,748.9068,176,896.2893,742.862,446.9016,1,1010.2063,596.3456,700.1333,676.7107,823.9672,3.8,1280.4819,1187.8802,923.4978,895.1998,884.6537,730.2414,0,558.4024,1,0,0,6904.1974,0,476.4125,10,1,0,0,0,0
3,4,88,321,13.9,430.6062,0,968.2847,58,696.3018,1040.1193,342.3376,768.2449,1653,260.4094,406.1408,637.6396,564.7221,473.2441,778.3599,7,445.7989,618.3297,274.6081,0,603.6313,880.1988,574.7571,335.7311,529.8942,3.6,921.7762,904.6157,559.3505,557.5815,835.5399,584.2045,0,135.3803,1,0,0,6871.665,0,159.3918,9,0,0,0,0,0
1,1,41,110,24.8,884.9102,0,1081.9029,77,673.6264,1029.9775,911.0741,1024.8144,0,631.4809,728.038,950.5754,1118.8774,1198.1802,924.668,11,866.8274,895.9481,588.063,0,1346.4815,921.8778,941.4814,571.9162,1366.1743,1.7,2259.0463,1098.9329,1109.5075,1106.4046,790.4628,869.3004,0,355.4733,1,0,0,7546.2627,0,401.9678,0,0,0,0,0,1
