"y","bus_passenger","past_rent","temp","sub_passenger","m5","wet","sunny","f15","m50","most_use","m35","m20","f30","f45","f20","m30","m25","f0","f70","wind","m0","m70","m55","m40","f60","f65","m45","f25","f40","m60","m65","f50","dust","f35","f55","X18_19","cloud","X17_18","rain","weekend","semester","X22_23","X1_2","X7_8"
0,43,0,-8.5,0,483.0675,41,0,681.4761,762.272,17968.4607,1223.1281,2548.6367,1539.043,748.0299,4073.9727,1631.9538,3015.3596,324.4602,1177.5972,1.9,467.8565,745.5813,746.4938,841.4878,585.9838,495.7997,957.1493,2851.2763,683.3976,512.8421,410.6788,662.6362,23,1085.0905,644.9142,0,0,0,0,1,0,0,0,0
1,14,0,-9.2,0,493.5686,42,0,701.3249,771.3296,18023.0759,1220.2493,2523.8443,1540.6339,743.3119,4097.0041,1657.9051,3001.7447,347.2202,1160.2243,1.8,479.9148,745.9078,748.2917,829.8956,590.0877,490.9543,934.9358,2896.7789,701.6282,503.9736,401.14,666.9795,25,1084.9156,674.9197,0,0,0,0,1,0,0,1,0
0,16,0,-9.5,0,488.5988,43,0,680.9299,769.4922,18122.5347,1233.4484,2543.2527,1561.0891,726.5149,4099.0282,1648.6811,3015.5108,335.7561,1162.6758,1.2,471.2436,742.8854,733.0098,833.344,611.642,489.9515,911.7137,2917.9572,712.1175,481.7825,402.9143,670.5085,25,1103.5672,661.0095,0,0,0,0,1,0,0,0,0
0,8,1,-9.3,0,527.1239,46,0,723.9365,749.9581,18224.6304,1231.1187,2551.1909,1567.5471,727.0386,4135.1798,1662.8373,3020.2775,330.166,1151.3341,1.4,471.5664,746.3123,746.442,832.4996,608.5868,504.7769,923.3402,2924.6753,713.8411,471.9041,389.9331,660.0832,24,1131.8038,667.3619,0,0,0,0,1,0,0,0,0
0,23,1,-9.6,6,701.5208,48,0,803.8808,742.7684,18208.6097,1245.9018,2579.9035,1561.8924,724.2587,4168.5383,1641.807,2981.9287,363.9409,1187.5351,1.7,449.722,743.2318,727.749,811.1801,605.5775,476.5806,895.5703,2907.3525,721.1771,486.4672,387.0125,666.0589,26,1121.2855,665.0042,0,0,0,0,1,0,0,0,0
0,32,0,-9.7,248,766.3817,51,0,839.1351,730.6878,18128.5614,1217.2336,2590.3693,1573.812,741.7626,4159.7885,1614.0798,2934.6281,346.3202,1180.0011,0.8,444.4655,777.7017,721.1438,831.3166,626.3112,491.5761,899.2056,2941.5118,732.9495,478.7768,385.9548,654.4174,22,1097.1383,663.6529,0,0,0,0,1,0,0,0,0
0,81,0,-9.8,325,774.0935,53,0,815.7923,744.6223,17852.3374,1220.2818,2533.7021,1528.515,741.4333,4084.4067,1605.2295,2900.0365,337.9221,1197.9448,1.9,401.0949,743.4175,750.8232,823.8045,642.904,492.761,896.2788,2888.3386,730.6798,470.706,380.4025,663.6508,27,1091.8272,673.8443,0,0,0,0,1,0,0,0,0
0,65,0,-10.1,448,766.0265,55,0,794.6434,719.9695,17563.469,1208.269,2470.8683,1497.5235,729.0047,4028.3356,1582.745,2846.1085,328.6982,1235.5588,1.9,399.7965,765.5781,725.4468,813.9338,631.9929,510.5522,883.5217,2868.5616,708.6772,468.7146,383.6743,689.8176,25,1061.0575,651.5425,0,0,0,0,1,0,0,0,1
0,135,0,-10.2,699,722.3224,56,0,800.9954,699.1623,17540.2216,1211.9752,2488.335,1479.1669,788.2362,3973.4656,1665.3388,2837.052,342.5029,1305.4915,2.5,385.5937,796.0439,747.8673,809.0183,676.5348,490.1022,919.4049,2775.5924,713.4432,484.6792,399.9915,685.827,25,1109.2957,655.2793,0,0,0,0,1,0,0,0,0
0,159,0,-9.1,956,620.5868,56,0,731.0624,739.2992,17409.4081,1256.7438,2473.7156,1514.6997,808.2654,3899.94,1669.6841,2783.3061,352.4556,1249.5269,2.1,416.7076,792.5406,784.0184,847.7634,652.9334,505.5763,951.7383,2691.0828,740.1295,484.6419,425.649,710.1531,38,1120.236,666.1305,0,0,0,0,1,0,0,0,0
