"y","bus_passenger","past_rent","sub_passenger","temp","wet","X8_9","m25","m5","f20","m30","f0","sunny","f55","m40","m20","f25","m65","f65","f15","m45","f60","m0","wind","f30","m55","rain","dust","f70","f35","f45","m60","m35","most_use","f40","m70","m50","f50","cloud","weekend","X9_10","X17_18","X23_24","temp.sqr","X15_16","X22_23","semester","snow"
1,43,0,0,-8.5,41,0,3015.3596,483.0675,4073.9727,1631.9538,324.4602,0,644.9142,841.4878,2548.6367,2851.2763,410.6788,495.7997,681.4761,957.1493,585.9838,467.8565,1.9,1539.043,746.4938,0,23,1177.5972,1085.0905,748.0299,512.8421,1223.1281,17968.4607,683.3976,745.5813,762.272,662.6362,0,1,0,0,0,72.25,0,0,0,0
1,14,0,0,-9.2,42,0,3001.7447,493.5686,4097.0041,1657.9051,347.2202,0,674.9197,829.8956,2523.8443,2896.7789,401.14,490.9543,701.3249,934.9358,590.0877,479.9148,1.8,1540.6339,748.2917,0,25,1160.2243,1084.9156,743.3119,503.9736,1220.2493,18023.0759,701.6282,745.9078,771.3296,666.9795,0,1,0,0,0,84.64,0,0,0,0
0,16,0,0,-9.5,43,0,3015.5108,488.5988,4099.0282,1648.6811,335.7561,0,661.0095,833.344,2543.2527,2917.9572,402.9143,489.9515,680.9299,911.7137,611.642,471.2436,1.2,1561.0891,733.0098,0,25,1162.6758,1103.5672,726.5149,481.7825,1233.4484,18122.5347,712.1175,742.8854,769.4922,670.5085,0,1,0,0,0,90.25,0,0,0,0
0,8,1,0,-9.3,46,0,3020.2775,527.1239,4135.1798,1662.8373,330.166,0,667.3619,832.4996,2551.1909,2924.6753,389.9331,504.7769,723.9365,923.3402,608.5868,471.5664,1.4,1567.5471,746.442,0,24,1151.3341,1131.8038,727.0386,471.9041,1231.1187,18224.6304,713.8411,746.3123,749.9581,660.0832,0,1,0,0,0,86.49,0,0,0,0
1,23,0,6,-9.6,48,0,2981.9287,701.5208,4168.5383,1641.807,363.9409,0,665.0042,811.1801,2579.9035,2907.3525,387.0125,476.5806,803.8808,895.5703,605.5775,449.722,1.7,1561.8924,727.749,0,26,1187.5351,1121.2855,724.2587,486.4672,1245.9018,18208.6097,721.1771,743.2318,742.7684,666.0589,0,1,0,0,0,92.16,0,0,0,0
0,32,0,248,-9.7,51,0,2934.6281,766.3817,4159.7885,1614.0798,346.3202,0,663.6529,831.3166,2590.3693,2941.5118,385.9548,491.5761,839.1351,899.2056,626.3112,444.4655,0.8,1573.812,721.1438,0,22,1180.0011,1097.1383,741.7626,478.7768,1217.2336,18128.5614,732.9495,777.7017,730.6878,654.4174,0,1,0,0,0,94.09,0,0,0,0
0,81,0,325,-9.8,53,0,2900.0365,774.0935,4084.4067,1605.2295,337.9221,0,673.8443,823.8045,2533.7021,2888.3386,380.4025,492.761,815.7923,896.2788,642.904,401.0949,1.9,1528.515,750.8232,0,27,1197.9448,1091.8272,741.4333,470.706,1220.2818,17852.3374,730.6798,743.4175,744.6223,663.6508,0,1,0,0,0,96.04,0,0,0,0
1,65,1,448,-10.1,55,0,2846.1085,766.0265,4028.3356,1582.745,328.6982,0,651.5425,813.9338,2470.8683,2868.5616,383.6743,510.5522,794.6434,883.5217,631.9929,399.7965,1.9,1497.5235,725.4468,0,25,1235.5588,1061.0575,729.0047,468.7146,1208.269,17563.469,708.6772,765.5781,719.9695,689.8176,0,1,0,0,0,102.01,0,0,0,0
1,135,2,699,-10.2,56,1,2837.052,722.3224,3973.4656,1665.3388,342.5029,0,655.2793,809.0183,2488.335,2775.5924,399.9915,490.1022,800.9954,919.4049,676.5348,385.5937,2.5,1479.1669,747.8673,0,25,1305.4915,1109.2957,788.2362,484.6792,1211.9752,17540.2216,713.4432,796.0439,699.1623,685.827,0,1,0,0,0,104.04,0,0,0,0
2,159,1,956,-9.1,56,0,2783.3061,620.5868,3899.94,1669.6841,352.4556,0,666.1305,847.7634,2473.7156,2691.0828,425.649,505.5763,731.0624,951.7383,652.9334,416.7076,2.1,1514.6997,784.0184,0,38,1249.5269,1120.236,808.2654,484.6419,1256.7438,17409.4081,740.1295,792.5406,739.2992,710.1531,0,1,1,0,0,82.81,0,0,0,0
