"y","m20","bus_passenger","past_rent","temp","f15","sub_passenger","m35","wet","sunny","f20","m25","most_use","m50","f50","m0","m40","f45","m30","m5","f65","f0","f25","f60","m45","f70","f35","f40","f30","m55","f55","wind","m65","m60","m70","dust","cloud","X18_19","rain","semester","X17_18","X22_23","X7_8","X21_22","X23_24"
1,2548.6367,43,0,-8.5,681.4761,0,1223.1281,41,0,4073.9727,3015.3596,17968.4607,762.272,662.6362,467.8565,841.4878,748.0299,1631.9538,483.0675,495.7997,324.4602,2851.2763,585.9838,957.1493,1177.5972,1085.0905,683.3976,1539.043,746.4938,644.9142,1.9,410.6788,512.8421,745.5813,23,0,0,0,0,0,0,0,0,0
0,2523.8443,14,0,-9.2,701.3249,0,1220.2493,42,0,4097.0041,3001.7447,18023.0759,771.3296,666.9795,479.9148,829.8956,743.3119,1657.9051,493.5686,490.9543,347.2202,2896.7789,590.0877,934.9358,1160.2243,1084.9156,701.6282,1540.6339,748.2917,674.9197,1.8,401.14,503.9736,745.9078,25,0,0,0,0,0,0,0,0,0
1,2543.2527,16,0,-9.5,680.9299,0,1233.4484,43,0,4099.0282,3015.5108,18122.5347,769.4922,670.5085,471.2436,833.344,726.5149,1648.6811,488.5988,489.9515,335.7561,2917.9572,611.642,911.7137,1162.6758,1103.5672,712.1175,1561.0891,733.0098,661.0095,1.2,402.9143,481.7825,742.8854,25,0,0,0,0,0,0,0,0,0
1,2551.1909,8,0,-9.3,723.9365,0,1231.1187,46,0,4135.1798,3020.2775,18224.6304,749.9581,660.0832,471.5664,832.4996,727.0386,1662.8373,527.1239,504.7769,330.166,2924.6753,608.5868,923.3402,1151.3341,1131.8038,713.8411,1567.5471,746.442,667.3619,1.4,389.9331,471.9041,746.3123,24,0,0,0,0,0,0,0,0,0
0,2579.9035,23,0,-9.6,803.8808,6,1245.9018,48,0,4168.5383,2981.9287,18208.6097,742.7684,666.0589,449.722,811.1801,724.2587,1641.807,701.5208,476.5806,363.9409,2907.3525,605.5775,895.5703,1187.5351,1121.2855,721.1771,1561.8924,727.749,665.0042,1.7,387.0125,486.4672,743.2318,26,0,0,0,0,0,0,0,0,0
0,2590.3693,32,1,-9.7,839.1351,248,1217.2336,51,0,4159.7885,2934.6281,18128.5614,730.6878,654.4174,444.4655,831.3166,741.7626,1614.0798,766.3817,491.5761,346.3202,2941.5118,626.3112,899.2056,1180.0011,1097.1383,732.9495,1573.812,721.1438,663.6529,0.8,385.9548,478.7768,777.7017,22,0,0,0,0,0,0,0,0,0
0,2533.7021,81,0,-9.8,815.7923,325,1220.2818,53,0,4084.4067,2900.0365,17852.3374,744.6223,663.6508,401.0949,823.8045,741.4333,1605.2295,774.0935,492.761,337.9221,2888.3386,642.904,896.2788,1197.9448,1091.8272,730.6798,1528.515,750.8232,673.8443,1.9,380.4025,470.706,743.4175,27,0,0,0,0,0,0,0,0,0
0,2470.8683,65,0,-10.1,794.6434,448,1208.269,55,0,4028.3356,2846.1085,17563.469,719.9695,689.8176,399.7965,813.9338,729.0047,1582.745,766.0265,510.5522,328.6982,2868.5616,631.9929,883.5217,1235.5588,1061.0575,708.6772,1497.5235,725.4468,651.5425,1.9,383.6743,468.7146,765.5781,25,0,0,0,0,0,0,1,0,0
1,2488.335,135,0,-10.2,800.9954,699,1211.9752,56,0,3973.4656,2837.052,17540.2216,699.1623,685.827,385.5937,809.0183,788.2362,1665.3388,722.3224,490.1022,342.5029,2775.5924,676.5348,919.4049,1305.4915,1109.2957,713.4432,1479.1669,747.8673,655.2793,2.5,399.9915,484.6792,796.0439,25,0,0,0,0,0,0,0,0,0
0,2473.7156,159,0,-9.1,731.0624,956,1256.7438,56,0,3899.94,2783.3061,17409.4081,739.2992,710.1531,416.7076,847.7634,808.2654,1669.6841,620.5868,505.5763,352.4556,2691.0828,652.9334,951.7383,1249.5269,1120.236,740.1295,1514.6997,784.0184,666.1305,2.1,425.649,484.6419,792.5406,38,0,0,0,0,0,0,0,0,0
