"y","past_rent","station_dist","sub_passenger","bus_passenger","temp","station_type","m50","m30","f45","m20","f70","m45","f0","wet","f15","f50","f40","m40","m0","X8_9","m55","m5","f20","semester","m60","f30","wind","m35","f65","f60","f55","m65","f25","m70","m25","f35","dust","X17_18","cloud","most_use","X9_10","sunny","X10_11","rain","temp.sqr","X19_20","X13_14","X18_19"
0,0,554,2945,578,0.8,0,1110.1506,1642.3918,1157.9073,3381.5893,1331.9551,1301.5345,485.5888,46,2489.5974,1056.639,1004.3248,1200.8799,603.9711,0,1080.0707,1505.6409,4938.7355,0,707.8569,1705.0955,2.5,1572.8501,674.8634,893.346,904.764,505.8232,3021.4133,956.2095,2879.1366,1428.3808,59,0,0,20569.5929,0,0,0,0,0.64,0,0,0
7,6,116,2056,398,24.1,1,850.3963,1901.1116,845.3123,3339.5273,1068.104,1102.0189,514.1221,54,1280.9671,870.6199,1023.2667,1033.6057,432.8889,0,811.0922,837.007,5209.3985,0,591.266,1941.5813,1.4,1440.7994,512.0534,672.2453,808.1764,382.912,3474.3662,723.8321,3318.7785,1421.1595,21,0,4,22046.7223,0,1,0,0,580.81,0,0,0
0,1,51,1372,408,11.4,0,751.739,1882.6687,763.5312,3590.3824,1254.1969,983.2078,381.3707,67,1266.2686,723.2601,857.1958,955.7028,461.4558,0,765.2357,862.3346,5877.7855,1,550.253,1890.5153,3.6,1342.404,555.4079,599.9588,659.6975,390.9618,3858.958,822.9247,3582.3131,1347.3925,55,0,10,23372.4195,0,1,0,0,129.96,0,0,0
1,0,611,390,91,8.7,0,925.0035,1908.919,837.2532,3373.3817,1219.7653,1182.139,420.1661,87,1127.3514,785.0621,863.4283,972.3325,518.5038,0,806.601,923.9553,5528.0496,1,582.3764,1945.4549,3.5,1302.7572,596.4139,615.8291,701.0782,419.5883,3655.4946,827.1903,3440.6718,1318.573,8,0,9,22473.3018,0,1,0,0,75.69,0,0,0
0,2,83,1285,226,16.1,0,792.4353,1825.4407,760.413,3514.1143,1155.7947,1071.9245,335.4315,88,1070.2856,773.5057,797.3164,945.4821,442.1232,0,784.5813,857.1799,5211.8065,1,535.1183,1674.5705,1,1427.6217,550.3921,627.8743,706.1641,384.986,3495.7144,793.0272,3467.0656,1208.3696,39,0,10,21824.7033,1,0,0,0,259.21,0,0,0
0,0,128,716,117,21.6,0,838.1451,1889.9266,786.7319,3404.2863,1192.0789,971.5123,358.4948,81,963.1728,741.7309,788.1984,964.7168,381.8164,0,835.9484,645.6247,5722.6811,0,608.2034,1950.0992,1.6,1338.8904,523.5173,613.7395,725.4275,407.7626,3974.2453,861.0435,3733.8592,1330.5898,16,0,8,23344.5779,0,1,0,0,466.56,0,0,0
0,1,554,2624,796,5,0,1006.5483,2199.5633,1049.2491,4710.3713,1237.4215,1412.9988,430.8277,62,2328.5282,999.2479,1032.8143,1321.7602,475.4408,0,877.4958,1828.4834,6486.185,0,743.5475,2039.7292,3.7,1781.1547,629.4723,747.6011,929.0267,439.963,4153.512,923.7513,4001.4807,1417.0099,34,0,0,26789.0061,0,1,0,0,25,1,0,0
1,3,232,1451,375,-1.9,0,1130.0713,1723.8399,979.3012,2358.5962,1292.7445,1284.2199,431.662,41,979.4407,992.1748,1077.6245,1240.0477,523.8664,0,969.1533,556.5266,3686.1641,0,735.3104,1666.1753,3,1512.8783,644.7294,710.7625,1016.6984,513.0324,2819.7344,862.361,2635.2685,1311.8653,23,0,0,17714.522,0,0,0,0,3.61,0,0,0
4,1,37,2032,467,24.5,0,1154.1819,1667.0528,1156.3541,4084.3739,1218.7143,1348.6421,581.6625,56,1528.1407,1124.5539,1121.2485,1179.8284,564.4271,0,1131.7963,1390.6631,5756.1791,1,703.0666,1889.2561,2,1366.4072,638.2864,720.72,1041.2511,518.52,3036.3943,974.4463,2925.4755,1444.0136,66,0,1,22169.1525,0,1,0,0,600.25,0,0,0
2,2,113,2507,499,11.4,0,864.4391,2219.1643,964.4012,5002.3468,1154.0533,1072.9431,662.8641,54,2738.0154,930.3761,977.8961,1112.9006,542.8448,0,831.7284,2167.4197,6922.2226,1,586.0245,2155.706,3.4,1597.0218,642.0377,675.7371,782.1813,474.729,4458.0861,856.1341,4461.4755,1380.6171,133,0,3,28196.6402,0,1,0,0,129.96,0,0,1
0,1,546,1446,353,18.8,0,830.5245,2049.3824,811.6104,4302.1809,1291.7868,1062.6631,336.7108,63,1443.9312,755.5299,739.4452,1010.2307,455.8002,0,766.3216,1006.0091,6822.7266,1,573.6438,1984.8197,3.6,1470.8462,529.7043,663.1354,658.152,407.4795,4105.7827,784.2079,3927.8548,1319.8622,9,0,10,25983.4555,0,1,0,0,353.44,0,0,0
0,0,17,3341,566,7.2,1,853.4528,2275.0573,910.856,4208.9102,1201.6633,1184.8682,447.8221,48,1890.7704,904.1466,984.1956,1136.7876,597.9228,0,912.3408,1432.1107,6250.9629,0,646.6201,2048.6734,0.6,1552.5852,592.7155,683.8135,745.6341,466.7212,4009.717,851.0341,4029.8342,1322.1673,38,0,5,25697.9075,0,0,0,0,51.84,0,0,0
