"y","bus_passenger","sub_passenger","temp","wet","f15","sunny","m0","m40","m35","f0","m55","m70","m65","m20","f25","f35","f60","f45","f65","f55","most_use","m50","m45","m30","f40","wind","f70","m5","f20","dust","m60","past_rent","f50","f30","m25","rain","cloud","weekend","X8_9","X21_22","temp.sqr","X16_17","semester"
0,43,0,-8.5,41,681.4761,0,467.8565,841.4878,1223.1281,324.4602,746.4938,745.5813,410.6788,2548.6367,2851.2763,1085.0905,585.9838,748.0299,495.7997,644.9142,17968.4607,762.272,957.1493,1631.9538,683.3976,1.9,1177.5972,483.0675,4073.9727,23,512.8421,0,662.6362,1539.043,3015.3596,0,0,1,0,0,72.25,0,0
0,14,0,-9.2,42,701.3249,0,479.9148,829.8956,1220.2493,347.2202,748.2917,745.9078,401.14,2523.8443,2896.7789,1084.9156,590.0877,743.3119,490.9543,674.9197,18023.0759,771.3296,934.9358,1657.9051,701.6282,1.8,1160.2243,493.5686,4097.0041,25,503.9736,0,666.9795,1540.6339,3001.7447,0,0,1,0,0,84.64,0,0
0,16,0,-9.5,43,680.9299,0,471.2436,833.344,1233.4484,335.7561,733.0098,742.8854,402.9143,2543.2527,2917.9572,1103.5672,611.642,726.5149,489.9515,661.0095,18122.5347,769.4922,911.7137,1648.6811,712.1175,1.2,1162.6758,488.5988,4099.0282,25,481.7825,0,670.5085,1561.0891,3015.5108,0,0,1,0,0,90.25,0,0
0,8,0,-9.3,46,723.9365,0,471.5664,832.4996,1231.1187,330.166,746.442,746.3123,389.9331,2551.1909,2924.6753,1131.8038,608.5868,727.0386,504.7769,667.3619,18224.6304,749.9581,923.3402,1662.8373,713.8411,1.4,1151.3341,527.1239,4135.1798,24,471.9041,0,660.0832,1567.5471,3020.2775,0,0,1,0,0,86.49,0,0
0,23,6,-9.6,48,803.8808,0,449.722,811.1801,1245.9018,363.9409,727.749,743.2318,387.0125,2579.9035,2907.3525,1121.2855,605.5775,724.2587,476.5806,665.0042,18208.6097,742.7684,895.5703,1641.807,721.1771,1.7,1187.5351,701.5208,4168.5383,26,486.4672,0,666.0589,1561.8924,2981.9287,0,0,1,0,0,92.16,0,0
0,32,248,-9.7,51,839.1351,0,444.4655,831.3166,1217.2336,346.3202,721.1438,777.7017,385.9548,2590.3693,2941.5118,1097.1383,626.3112,741.7626,491.5761,663.6529,18128.5614,730.6878,899.2056,1614.0798,732.9495,0.8,1180.0011,766.3817,4159.7885,22,478.7768,0,654.4174,1573.812,2934.6281,0,0,1,0,0,94.09,0,0
0,81,325,-9.8,53,815.7923,0,401.0949,823.8045,1220.2818,337.9221,750.8232,743.4175,380.4025,2533.7021,2888.3386,1091.8272,642.904,741.4333,492.761,673.8443,17852.3374,744.6223,896.2788,1605.2295,730.6798,1.9,1197.9448,774.0935,4084.4067,27,470.706,0,663.6508,1528.515,2900.0365,0,0,1,0,0,96.04,0,0
0,65,448,-10.1,55,794.6434,0,399.7965,813.9338,1208.269,328.6982,725.4468,765.5781,383.6743,2470.8683,2868.5616,1061.0575,631.9929,729.0047,510.5522,651.5425,17563.469,719.9695,883.5217,1582.745,708.6772,1.9,1235.5588,766.0265,4028.3356,25,468.7146,0,689.8176,1497.5235,2846.1085,0,0,1,0,0,102.01,0,0
0,135,699,-10.2,56,800.9954,0,385.5937,809.0183,1211.9752,342.5029,747.8673,796.0439,399.9915,2488.335,2775.5924,1109.2957,676.5348,788.2362,490.1022,655.2793,17540.2216,699.1623,919.4049,1665.3388,713.4432,2.5,1305.4915,722.3224,3973.4656,25,484.6792,0,685.827,1479.1669,2837.052,0,0,1,1,0,104.04,0,0
0,159,956,-9.1,56,731.0624,0,416.7076,847.7634,1256.7438,352.4556,784.0184,792.5406,425.649,2473.7156,2691.0828,1120.236,652.9334,808.2654,505.5763,666.1305,17409.4081,739.2992,951.7383,1669.6841,740.1295,2.1,1249.5269,620.5868,3899.94,38,484.6419,0,710.1531,1514.6997,2783.3061,0,0,1,0,0,82.81,0,0
0,128,831,-6.8,42,658.867,0,475.4972,870.377,1280.9699,441.5602,775.9598,761.8202,416.1323,2538.3244,2745.5063,1116.8421,663.1034,822.3881,509.4526,690.4344,17571.8064,782.646,874.7221,1659.5073,793.1648,2.3,1314.768,587.8323,3872.7968,30,523.1398,0,730.6889,1507.7122,2850.1474,0,1,1,0,0,46.24,0,0
0,207,1018,-4.3,37,736.8298,0,490.0385,907.7156,1385.1672,472.3808,768.1554,740.2119,420.2144,2465.0082,2767.0991,1197.2218,695.089,833.0353,545.356,782.8822,17849.4228,800.8161,917.8842,1686.0821,826.6142,0.9,1320.4043,586.4021,3905.4698,21,518.8519,0,745.7217,1518.8841,2924.4905,0,1,1,0,0,18.49,0,0
0,230,1212,-2.3,34,868.8715,0,587.3517,923.1611,1505.189,501.4525,776.7449,722.2581,426.3821,2586.8189,2952.5516,1258.8671,656.1947,872.7537,487.6,830.7245,18818.1203,827.3971,977.1987,1859.6825,855.5406,1.2,1276.0991,723.2443,4058.0544,17,525.7804,0,748.1338,1631.3175,2965.6393,0,0,1,0,0,5.29,0,0
2,317,1333,-0.1,32,1092.1016,0,625.9619,1034.4107,1479.5145,634.1799,809.2896,770.7484,455.5889,2626.8551,3095.74,1397.4549,662.9924,892.3504,539.4187,802.4848,19401.2386,820.6575,1019.1622,1903.0784,945.3094,1.5,1302.6493,876.6455,4179.6607,26,516.0127,0,767.3724,1604.3219,3114.6131,0,1,1,0,0,0.01,0,0
0,289,1564,1.3,32,1314.7159,1,694.8158,1035.3322,1569.3377,751.2805,798.1733,781.2048,426.191,2781.1102,3120.8955,1296.6963,650.5356,906.0148,532.675,799.3658,19799.6536,817.509,1007.1156,1878.3498,954.4554,2.2,1240.5739,1100.0851,4305.561,33,503.9361,1,788.0211,1664.2449,3183.4582,0,1,1,0,0,1.69,0,0
0,334,1831,1.9,35,1725.9705,1,768.3739,1074.65,1631.5211,892.3827,810.2722,811.7398,425.5368,3021.9892,3165.0785,1318.7469,641.0388,945.9123,560.3337,831.9715,20581.514,856.697,1075.261,1904.7691,897.7426,1.7,1237.8167,1533.5207,4504.0262,46,516.2654,0,775.275,1726.6451,3308.7379,0,0,1,0,0,3.61,0,0
0,393,2177,1.8,37,2255.1883,1,677.759,1034.5832,1616.5206,828.4641,856.0725,785.5772,440.202,3481.3525,3286.5011,1368.0086,649.4567,954.1123,581.6992,805.2629,21737.0262,898.046,1026.4613,1972.7596,879.5719,1.4,1292.1359,1951.9843,4648.2518,36,575.7618,0,816.4424,1735.9394,3627.6926,0,0,1,0,0,3.24,1,0
2,436,2172,0.5,38,2646.9193,0,625.3572,1078.4719,1588.2836,777.9175,888.3974,747.7952,443.0869,4061.439,3510.5175,1263.0188,669.0835,943.3894,566.1505,813.6039,23109.4736,881.8446,995.6357,2021.4605,879.2243,1.5,1277.7392,2263.3812,5060.285,42,579.374,0,786.7407,1746.7962,3857.673,0,0,1,0,0,0.25,0,0
0,374,1919,-0.9,42,2808.1361,0,714.8656,1063.4898,1541.2446,673.987,851.4151,760.3326,453.6725,4256.555,3621.7632,1294.8336,655.461,987.391,534.6887,769.2663,24170.2517,832.9198,1068.9945,2106.8455,894.2637,0.7,1281.4106,2380.0975,5475.9384,46,619.3034,0,784.0434,1750.1372,4122.9342,0,1,1,0,0,0.81,0,0
0,305,1822,-1.2,45,2620.2517,0,600.0606,1055.6617,1517.6744,584.2799,842.4864,769.1565,444.6465,4307.0667,3618.2199,1328.7882,706.2706,986.3548,559.3522,799.8908,24282.2147,881.6793,1070.2002,2142.992,853.9846,0.9,1222.8802,2302.7393,5433.5806,43,617.974,0,784.2678,1765.6912,4168.2017,0,7,1,0,0,1.44,0,0
1,482,3216,-1.6,47,2174.8429,0,480.8395,971.6193,1425.254,505.39,864.8032,746.3631,438.4032,3809.3629,3458.2767,1213.1176,680.7566,908.8601,562.3245,742.736,22705.0773,838.2168,1046.1585,2022.8202,840.3534,0.9,1215.1594,1990.2825,5054.2346,44,558.3138,0,756.7894,1734.4228,3987.5885,0,4,1,0,0,2.56,0,0
1,634,4686,-2.4,49,1027.2487,0,554.185,890.7127,1368.3173,380.3577,802.2568,756.3511,424.2162,2966.0381,3166.2979,1187.2465,675.7285,866.2712,561.7106,757.9299,19868.6887,816.4539,1025.4351,1845.7715,796.9554,2.1,1241.576,1010.5843,4384.5668,49,546.7402,1,779.8195,1643.6693,3306.7813,0,3,1,0,1,5.76,0,0
0,340,1294,-2.5,49,752.5396,0,514.7113,862.1241,1298.3517,388.5686,810.0397,751.4911,442.2193,2697.6954,3115.3854,1215.4682,695.5734,842.5428,524.8618,727.5439,19227.1009,801.8453,974.7318,1777.7479,782.2246,1,1222.1237,665.6039,4242.8454,48,568.5069,0,794.7583,1664.3515,3215.2554,0,6,1,0,0,6.25,0,0
0,124,312,-2.6,52,637.14,0,461.283,818.7908,1229.9252,300.0897,759.3371,784.51,404.4098,2496.8181,3002.7874,1097.3711,611.6483,746.8139,501.4084,622.0597,18418.4618,730.9854,895.2271,1621.3565,646.9265,0.9,1108.3629,515.973,4208.4572,52,509.645,0,672.8306,1629.9731,3131.7732,0,8,1,0,0,6.76,0,0
0,36,2,-2.8,55,598.9934,0,459.8054,791.2885,1254.9868,330.7562,728.0094,770.8469,416.2185,2528.0976,2960.1867,1067.6567,629.755,749.1479,493.9842,629.466,18420.8415,725.6719,906.0489,1649.3404,643.7032,2.3,1148.3885,527.3301,4230.2852,51,491.5773,0,677.3715,1675.7792,3054.5089,0,7,1,0,0,7.84,0,0
0,13,0,-2.9,57,607.0678,0,471.4803,827.1632,1252.7303,341.9429,726.0669,763.9788,398.5573,2550.0382,2997.0907,1080.3975,615.1559,770.2866,510.7964,619.1185,18537.3961,745.1448,886.2969,1676.1082,685.7243,2.1,1135.7623,506.7215,4255.3486,55,494.3149,0,682.0035,1656.4244,3069.2582,0,8,1,0,0,8.41,0,0
0,19,0,-2.6,57,588.4983,0,492.5551,817.9012,1256.0014,344.1256,726.8703,745.4565,406.412,2538.5105,3008.6295,1060.8378,622.665,754.7675,484.6168,589.0645,18521.2688,744.1317,875.2236,1675.8869,660.4695,1.9,1126.2161,524.8589,4273.9491,51,496.8338,0,689.4129,1641.1874,3066.2662,0,8,1,0,0,6.76,0,0
0,8,0,-2.1,56,605.8067,0,445.0988,803.6301,1213.0688,355.3955,716.3295,737.3836,417.9578,2514.5834,3002.3673,1080.4464,619.0804,739.2058,487.8129,595.6035,18543.7858,750.5879,904.0857,1698.6529,659.0926,2.5,1136.0043,526.9761,4276.3212,38,500.0517,0,697.1884,1675.377,3082.9688,0,9,1,0,0,4.41,0,0
0,12,5,-1.9,55,637.0526,0,434.6023,796.9997,1205.585,338.3259,714.0956,748.4007,414.0992,2554.3603,2968.2033,1103.7989,635.7418,754.1053,482.6152,581.9424,18543.7955,728.445,899.1318,1704.6129,660.6537,2,1123.3199,544.9547,4266.5884,41,501.2277,0,679.593,1678.664,3061.9827,0,8,1,0,0,3.61,0,0
0,37,161,-1.9,56,665.0012,0,412.9007,821.4094,1224.7163,324.6109,713.7302,747.7826,426.0584,2545.7365,2984.2089,1075.489,635.9868,731.9394,511.8701,595.7291,18453.4719,731.1179,906.7302,1695.6564,647.9535,2.3,1157.4969,548.4396,4218.3895,43,510.728,0,675.7104,1659.9689,3049.3064,0,9,1,0,0,3.61,0,0
0,56,246,-1.9,66,639.7209,0,420.7984,799.429,1212.6061,324.349,713.4863,759.6752,431.7673,2542.303,2973.5895,1073.0664,658.7549,746.2945,538.8868,601.7095,18440.4493,746.232,925.2835,1690.2626,661.6567,2.5,1164.5989,574.8667,4248.1746,43,517.5398,0,680.5979,1668.6876,3031.7595,0,9,1,0,0,3.61,0,0
0,85,416,-2.2,81,619.3514,0,414.7436,824.9195,1199.5701,314.2971,734.231,754.8039,438.3799,2469.1511,2932.8963,1086.8994,629.731,735.9822,534.7857,620.8738,18198.0685,698.9761,907.0188,1655.5987,666.1195,2,1183.6856,549.6872,4174.7932,52,517.8935,0,680.5075,1639.6134,3039.5463,0,9,1,0,0,4.84,0,0
0,171,789,-2.2,83,582.732,0,449.7321,872.3767,1186.7689,317.0563,772.8655,734.9286,445.4824,2445.8786,2869.5038,1089.1511,650.1473,738.8499,537.8985,641.7601,17995.9003,687.7629,891.3126,1677.396,683.126,2,1176.5494,566.1793,4060.9573,54,530.9345,0,691.9868,1686.3704,2979.8742,0,8,1,1,0,4.84,0,0
