"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m5","m20","m25","m30","m35","m40","m45","m50","m55","m65","f0","f10","f15","f20","f25","f35","f40","f50","f65","f70","sub_passenger"
0,-8.5,0,1.9,41,0,0,72.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.8565,483.0675,2548.6367,3015.3596,1631.9538,1223.1281,841.4878,957.1493,762.272,746.4938,410.6788,324.4602,150.6782,681.4761,4073.9727,2851.2763,1085.0905,683.3976,662.6362,495.7997,1177.5972,0
0,-9.2,0,1.8,42,0,0,84.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.9148,493.5686,2523.8443,3001.7447,1657.9051,1220.2493,829.8956,934.9358,771.3296,748.2917,401.14,347.2202,161.2478,701.3249,4097.0041,2896.7789,1084.9156,701.6282,666.9795,490.9543,1160.2243,0
0,-9.5,0,1.2,43,0,0,90.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.2436,488.5988,2543.2527,3015.5108,1648.6811,1233.4484,833.344,911.7137,769.4922,733.0098,402.9143,335.7561,155.9243,680.9299,4099.0282,2917.9572,1103.5672,712.1175,670.5085,489.9515,1162.6758,0
0,-9.3,0,1.4,46,0,0,86.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.5664,527.1239,2551.1909,3020.2775,1662.8373,1231.1187,832.4996,923.3402,749.9581,746.442,389.9331,330.166,153.3279,723.9365,4135.1798,2924.6753,1131.8038,713.8411,660.0832,504.7769,1151.3341,0
0,-9.6,0,1.7,48,0,0,92.16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.722,701.5208,2579.9035,2981.9287,1641.807,1245.9018,811.1801,895.5703,742.7684,727.749,387.0125,363.9409,169.013,803.8808,4168.5383,2907.3525,1121.2855,721.1771,666.0589,476.5806,1187.5351,6
0,-9.7,0,0.8,51,0,0,94.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.4655,766.3817,2590.3693,2934.6281,1614.0798,1217.2336,831.3166,899.2056,730.6878,721.1438,385.9548,346.3202,160.8301,839.1351,4159.7885,2941.5118,1097.1383,732.9495,654.4174,491.5761,1180.0011,248
0,-9.8,0,1.9,53,0,0,96.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.0949,774.0935,2533.7021,2900.0365,1605.2295,1220.2818,823.8045,896.2788,744.6223,750.8232,380.4025,337.9221,156.9301,815.7923,4084.4067,2888.3386,1091.8272,730.6798,663.6508,492.761,1197.9448,325
0,-10.1,0,1.9,55,0,0,102.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.7965,766.0265,2470.8683,2846.1085,1582.745,1208.269,813.9338,883.5217,719.9695,725.4468,383.6743,328.6982,152.6468,794.6434,4028.3356,2868.5616,1061.0575,708.6772,689.8176,510.5522,1235.5588,448
1,-10.2,0,2.5,56,0,0,104.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.5937,722.3224,2488.335,2837.052,1665.3388,1211.9752,809.0183,919.4049,699.1623,747.8673,399.9915,342.5029,159.0575,800.9954,3973.4656,2775.5924,1109.2957,713.4432,685.827,490.1022,1305.4915,699
0,-9.1,0,2.1,56,0,0,82.81,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,416.7076,620.5868,2473.7156,2783.3061,1669.6841,1256.7438,847.7634,951.7383,739.2992,784.0184,425.649,352.4556,163.679,731.0624,3899.94,2691.0828,1120.236,740.1295,710.1531,505.5763,1249.5269,956
