"timestamp","spot_number","rent_num","station_dist","station_type","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-05-30 13:",3873,3,47,0,24.1,0,3.3,60,0,9,38,580.81,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1124.531,526.0718,483.4213,448.7976,546.8204,657.5675,673.3604,668.2291,731.6674,635.713,652.1019,546.8599,386.7972,867.2345,1066.0639,463.0695,485.0128,519.953,599.9715,644.3146,773.337,751.9638,769.3712,633.7937,716.1146,657.6134,511.8109,1219.8572,4864.122,312,0,6377,6099,3463,3502,3540,3266
"2022-09-10 20:",3509,3,118,0,24.8,0,2.1,57,0,9,31.5,615.04,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,557.0988,233.1632,275.2324,845.5711,1001.7074,798.8376,796.1845,673.3417,655.4671,547.7211,554.4142,414.3256,285.5541,572.3271,373.6063,183.0469,276.8075,895.355,884.5247,681.5126,614.3823,606.6908,582.965,515.1209,484.4514,471.9797,360.164,961.2909,6518.0752,211,0,6377,6099,3463,3502,3540,3266
"2022-04-20 22:",3521,0,41,0,14.2,0,2.5,54,0,0,67,201.64,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1667.9013,1409.998,1478.4455,908.8777,780.2005,783.1915,1082.6233,1653.125,1745.0097,1449.584,1207.8237,829.8282,623.2383,1232.6789,1860.0769,1558.1012,1633.0677,1153.2405,1002.1663,868.4059,1525.6978,2047.0933,2252.0104,1525.5212,1311.2121,922.3561,753.3811,1684.0615,8104.4035,163,339,6377,6099,3463,3502,3540,3266
"2022-11-22 14:",3529,1,10,0,13.5,0,3.1,54,0,10,64,182.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,567.925,189.3081,427.6369,1117.3927,863.8591,667.4892,751.0577,611.6986,717.799,556.0733,571.8053,391.7485,316.5695,759.7299,1436.6132,513.6486,768.5509,1182.3625,953.0203,750.5483,828.7072,599.3944,694.1078,582.9179,638.192,537.7304,478.777,1049.3309,7114.437,316,2030,6377,6099,3463,3502,3540,3266
"2022-05-06 01:",573,2,62,0,15.8,0,0,72,0,0,28,249.64,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.7848,150.2615,237.0994,491.1756,741.2984,829.0998,718.8783,559.1585,525.0973,425.4338,394.7574,324.9455,234.548,447.1815,368.0367,131.5885,275.6162,726.8882,920.8078,876.6734,696.7748,493.836,459.1299,373.383,473.5909,358.798,311.7711,769.896,6001.5963,29,0,6377,6099,3463,3502,3540,3266
"2022-03-22 21:",3880,0,91,0,7.2,0,3,56,0,7,20,51.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,646.3835,357.3332,593.8249,610.0427,654.2562,679.3717,804.0109,784.6953,848.0182,725.5422,862.0083,548.0035,417.0979,921.8084,881.0079,511.4585,589.94,723.6197,824.0267,830.3624,884.4059,1044.1735,1085.809,852.5343,873.6676,858.157,657.6038,1499.5231,6010.0962,240,315,6377,6099,3463,3502,3540,3266
"2022-02-08 04:",3566,0,43,0,-3.4,0,0.3,63,0,0,32,11.56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953.5669,492.2297,633.7191,703.0289,918.6603,835.2287,1220.2991,1016.0144,1059.9305,968.5518,841.9028,683.7718,503.3472,986.2743,980.8766,521.3742,756.7651,954.1501,984.1849,1025.1899,1178.0292,1093.0375,1016.2215,1013.1667,1101.9347,815.2584,667.2698,1485.9261,7818.7711,15,0,6377,6099,3463,3502,3540,3266
"2022-04-18 20:",3528,8,48,0,15.4,0,3.1,42,0,0,57,237.16,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1501.7599,1269.5468,1315.7739,853.8297,817.7056,747.4215,1081.834,1320.0372,1805.0923,1451.798,1248.3287,894.0053,644.1094,1249.127,1782.1377,1492.8152,1528.9451,1053.2284,965.2505,877.7083,1547.6893,1975.8037,2198.9622,1494.235,1395.7691,987.4305,711.47,1681.559,7944.6673,167,314,6377,6099,3463,3502,3540,3266
"2022-12-02 08:",3863,7,42,0,-7.6,0,2.1,54,0,0,20,57.76,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.0465,128.9269,413.3401,1493.2493,1478.5978,993.2148,1060.8982,724.8475,795.9051,645.305,602.0668,452.4237,313.6142,589.7835,348.8234,170.9047,448.578,2155.1504,1497.3849,1104.0867,923.9619,700.8985,645.1035,588.5818,575.1206,520.623,313.4513,939.9898,10706.544,1070,0,6377,6099,3463,3502,3540,3266
"2022-12-28 03:",3881,0,100,0,-3.3,0,1.8,78,0,9,37,10.89,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874.3544,409.036,461.8892,622.101,749.8801,861.8575,1011.8788,829.5621,964.8996,742.1591,816.314,615.1272,434.9804,943.7865,789.2329,342.8212,534.0504,663.8967,946.2954,993.9675,1155.1386,1019.0013,951.8781,761.3906,1003.4441,807.169,631.9965,1441.0415,7005.0156,1,0,6377,6099,3463,3502,3540,3266
