"timestamp","spot_number","rent_num","station_dist","station_type","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-05-17 21:",3500,9,29,1,19.6,0,2.3,65,0,0,64,384.16,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,380.5292,133.8619,163.754,445.7966,755.8461,830.0211,740.2406,691.7616,597.0068,614.7953,574.0479,443.4541,338.6839,580.8168,319.3038,125.699,247.8403,496.5245,836.5152,817.5578,728.739,560.452,587.7669,537.5174,662.8016,594.6315,406.0443,899.5064,5651.2409,156,0,6377,6099,3463,3502,3540,3266
"2022-06-27 23:",3500,4,29,1,27.6,0,4.2,77,0,10,15,761.76,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,627.0045,220.5666,259.9364,462.0242,772.1651,825.1835,710.6248,725.5104,592.231,531.8997,612.9944,464.4882,346.1466,612.1481,523.9446,206.2589,228.7512,625.9773,1033.4079,966.5269,781.4356,575.6201,593.1279,540.8103,574.8272,625.6963,399.3155,881.5562,6177.3453,62,0,6377,6099,3463,3502,3540,3266
"2022-11-09 06:",3500,0,29,1,7.3,0,2,88,0,0,40,53.29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.8148,214.5197,256.8627,406.7528,718.3792,824.8957,820.0084,647.4517,575.2886,484.4522,459.8162,370.8812,306.041,521.1964,472.6331,186.0594,254.0216,612.8752,1067.1359,888.5423,780.6162,607.1797,505.3844,557.4306,581.3094,565.051,389.3602,885.1838,6119.2057,206,0,6377,6099,3463,3502,3540,3266
"2022-12-25 09:",3500,0,29,1,-8.9,0,1.6,80,1.6,0,41,79.21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,630.5637,221.8187,220.0857,482.1598,780.9599,836.447,821.1579,591.4199,605.8726,526.3718,523.7211,407.5313,357.6034,608.9512,495.862,195.2033,316.0581,642.259,918.3797,811.6096,798.7353,547.9812,480.0785,488.8353,577.4677,552.0232,376.4096,838.3814,6091.7082,203,0,6377,6099,3463,3502,3540,3266
"2022-02-07 22:",3500,1,29,1,-1.2,0,0.9,55,0,10,31,1.44,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,522.5175,183.8105,213.744,467.6424,749.6969,772.4616,737.6306,667.7804,618.6414,575.8817,582.3057,422.8877,323.4348,604.5386,263.2949,103.65,229.1392,608.4692,924.5089,866.6939,781.321,568.4756,584.0486,587.8133,612.0708,601.8962,407.1889,838.0803,5908.4245,101,0,6377,6099,3463,3502,3540,3266
"2022-07-16 01:",3500,4,29,1,24.1,0,2.9,87,0,1,22,580.81,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,597.7909,210.2898,297.1366,451.1311,739.5288,849.5613,766.0952,679.9431,644.0996,545.8501,583.2974,447.7321,341.5154,588.6155,546.0048,214.943,261.1322,580.9938,1003.7966,917.0849,818.3154,574.3621,611.2625,527.4548,647.7421,641.8921,403.7873,829.6118,6126.5071,22,0,6377,6099,3463,3502,3540,3266
"2022-04-11 20:",3500,9,29,1,20.6,0,2.3,67,0,0,31,424.36,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,521.2281,183.3567,148.9917,421.6661,700.7051,749.0499,730.827,676.8017,642.2323,584.1545,626.2134,448.9384,346.8393,573.1852,308.667,121.5115,196.0006,629.033,840.9354,842.2476,787.0826,487.9673,581.0642,500.3828,624.3383,567.4873,397.2563,911.2156,5701.5467,169,0,6377,6099,3463,3502,3540,3266
"2022-12-07 02:",3500,1,29,1,3.4,0,2.7,73,0,9,34,11.56,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.9586,214.57,242.5103,437.1827,838.6216,817.4945,799.1386,610.569,557.6041,539.7081,558.1667,438.6574,347.4613,542.6722,458.0571,180.3213,264.629,616.5994,1049.0988,897.4867,824.3464,587.4245,572.0802,528.7195,578.5918,632.5225,388.0909,805.2383,6279.9687,9,0,6377,6099,3463,3502,3540,3266
"2022-03-10 18:",3500,12,29,1,12.8,0,2.9,30,0,7,58,163.84,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,468.9307,164.9596,191.0798,458.1527,645.758,668.0088,787.4772,636.0704,644.6758,635.4968,740.3523,470.0796,383.6811,613.1186,334.9786,131.8693,220.4547,612.4707,780.6733,715.9113,792.1093,520.6923,617.8684,582.2899,659.5788,660.7906,442.8961,892.5257,5460.5613,341,0,6377,6099,3463,3502,3540,3266
"2022-09-30 09:",3500,8,29,1,18.4,0,1.3,79,0,0,41,338.56,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.9338,158.9806,134.2641,414.6115,568.7774,653.145,654.3975,577.2008,609.0732,508.0197,606.7814,479.0876,320.8545,537.8876,295.0078,116.1342,180.2352,487.3633,644.4802,617.2593,530.1015,540.0749,509.2756,534.3104,578.7867,531.3276,301.1972,850.8004,4570.1357,298,0,6377,6099,3463,3502,3540,3266
"2022-08-02 13:",3500,1,29,1,28.3,0,3.6,80,0,10,24,800.89,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,569.5755,200.3641,160.655,392.4566,570.646,593.4263,634.8602,502.7472,647.9515,548.0308,596.3632,434.7352,315.5039,574.3382,406.6298,160.0762,152.9019,434.7215,545.942,594.2434,546.8363,435.9817,514.5073,530.9729,559.8565,491.8082,368.2377,867.4847,4313.1323,225,0,6377,6099,3463,3502,3540,3266
"2022-08-11 20:",3500,11,29,1,25.9,0,1.9,82,0,7,9,670.81,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,388.4824,136.6597,227.9569,413.793,639.0318,718.7698,701.3378,640.7622,581.0995,570.6109,683.0721,492.8366,330.6619,592.0108,439.475,173.006,218.5382,498.6424,843.1586,793.2246,676.4938,577.5071,571.4173,533.0479,558.4969,577.0892,382.3655,873.6798,5284.4518,181,0,6377,6099,3463,3502,3540,3266
"2022-12-29 20:",3500,4,29,1,-1,0,1.8,54,0,9,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,617.8542,217.3475,176.7896,380.0331,642.0232,723.4971,843.8654,691.2395,574.0542,587.7612,658.8097,467.942,363.6699,627.0405,404.0673,159.0673,205.1856,513.4856,837.8886,819.2438,776.0824,566.2381,584.9526,517.318,679.7093,613.1808,416.269,879.448,5536.1192,173,0,6377,6099,3463,3502,3540,3266
