"timestamp","spot_number","rent_num","station_dist","station_type","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-11-15 17:",3508,0,113,0,11.5,0,3.4,64,0,4,43,132.25,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,493.2705,227.663,1246.8057,4636.3463,3213.9354,1817.9036,1556.5596,1136.1885,1331.0094,1021.1376,1031.8328,720.3305,513.2807,982.2352,464.7004,215.8052,1649.1834,6748.3193,3354.0537,1824.2011,1403.4656,1081.4504,1126.1216,1067.1073,1000.2838,738.4728,590.4004,1302.6502,24554.7846,803,3929,6377,6099,3463,3502,3540,3266
"2022-09-20 17:",3508,2,113,0,23.8,0,1.9,41,0,3,23,566.44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,440.6126,203.359,1489.9341,4728.5088,3184.8848,1782.6687,1610.6587,1257.4367,1328.8986,1234.1135,1092.0279,802.73,513.3154,992.4645,494.0096,229.4166,1798.0053,6701.0586,3356.0877,1784.2543,1458.8951,1038.321,1290.6781,1061.5323,959.908,835.5331,602.015,1295.2263,24607.0167,763,4023,6377,6099,3463,3502,3540,3266
"2022-06-28 02:",3508,0,113,0,27.5,0,4.6,77,0,10,18,756.25,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.6321,212.1378,710.4284,3717.9046,3665.3508,1897.521,1410.073,895.1008,985.7441,812.6459,736.2267,545.2235,415.0218,832.3846,367.4815,170.6575,972.8166,5749.3282,3962.9937,2010.5242,1333.3405,771.6063,731.4767,733.5393,664.6776,634.8478,495.3358,1241.3382,23747.036,40,0,6377,6099,3463,3502,3540,3266
"2022-02-22 09:",3508,2,113,0,-5.8,0,2.3,40,0,0,27,33.64,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.574,219.9568,531.9165,2901.235,2892.006,1689.6044,1474.3901,1182.2603,1258.0533,1105.297,1043.8128,745.5316,508.3454,1053.2215,360.8336,167.5705,747.3408,4458.5619,2991.2969,1666.0719,1383.7151,1089.3587,1088.2963,959.9444,921.6243,796.5397,578.5926,1344.404,19456.8813,556,2536,6377,6099,3463,3502,3540,3266
"2022-03-08 23:",3508,0,113,0,4.2,0,1.4,77,0,0,28,17.64,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,441.1742,203.6187,837.8424,3622.5672,3835.2541,1935.9457,1315.4637,984.7622,1056.8765,758.9783,772.0209,548.2382,425.8829,824.4942,360.1285,167.2428,1204.8251,5691.779,3835.9265,1967.7567,1291.0634,761.8986,744.3464,726.6989,654.8773,609.1135,529.4744,1224.8249,23495.7563,539,2131,6377,6099,3463,3502,3540,3266
"2022-10-09 01:",3508,0,113,0,14.3,0,1.6,73,0,10,44.5,204.49,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,392.1437,180.9894,1025.3864,4892.981,4405.9444,2223.9368,1478.2268,876.5043,965.3796,779.2902,844.2764,525.9078,413.3803,770.2484,370.4464,172.0342,1206.8716,6561.5971,3991.6489,1832.1544,1285.1621,737.6028,826.717,836.0604,682.6119,652.6787,495.4653,1127.6771,26671.6515,134,0,6377,6099,3463,3502,3540,3266
"2022-10-02 22:",3508,0,113,0,17.4,1.8,4.1,95,0,10,17,302.76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,585.6986,270.3218,1073.4234,5017.1983,4552.6659,2219.5268,1489.1089,1044.5341,1042.0364,882.4263,873.0696,586.019,430.5951,817.3385,541.1226,251.2958,1451.6568,6891.2554,4314.9448,1957.4491,1385.1021,844.4923,937.815,868.7543,718.7126,670.2379,534.0474,1117.8636,27827.2513,514,2908,6377,6099,3463,3502,3540,3266
"2022-11-21 05:",3508,0,113,0,9.6,0,0.4,74,0,8,19,92.16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.8555,182.7021,783.1871,3793.7513,3711.1955,1907.1952,1307.1997,906.1729,1014.9767,779.1415,754.6845,567.7221,378.0326,807.1118,442.3261,205.415,1019.0478,6134.2519,4107.4544,1875.6329,1334.7967,731.3674,806.6632,744.6938,614.9937,613.3071,472.4879,1223.1926,24171.4776,103,722,6377,6099,3463,3502,3540,3266
"2022-05-17 17:",3508,1,113,0,26,0,4,42,0,0,69,676,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,535.9413,247.3576,1781.5199,4611.6176,3154.1117,1789.1037,1575.6259,1292.9877,1390.9802,1060.9647,1081.3912,640.1771,513.6751,918.0753,479.892,222.8605,2110.8681,6493.665,3476.4858,1766.2537,1527.928,1026.2338,1124.9005,1066.1659,1035.8054,748.0946,593.5266,1326.3263,24394.7914,716,3838,6377,6099,3463,3502,3540,3266
"2022-10-16 19:",3508,0,113,0,17,0,2.4,71,0,8,36,289,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,643.0427,296.7889,1456.5162,4711.4625,4260.3825,2247.8122,1594.2135,1076.398,1082.585,923.6535,898.1321,610.9424,421.8163,815.8016,537.6331,249.6753,1848.3452,7051.412,4326.0091,2120.54,1598.9239,854.2153,943.6486,902.9459,796.7621,622.4097,568.3698,1341.9335,27910.7557,543,3017,6377,6099,3463,3502,3540,3266
"2022-09-09 19:",3508,1,113,0,27,0,1.8,44,0,6,30,729,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,582.192,268.7035,970.5871,3329.376,2970.5902,1655.9932,1362.3974,1014.7458,1093.1904,838.9536,770.4026,645.4288,372.3933,745.4184,697.1543,323.7564,1259.7139,4613.7655,2776.0617,1517.6292,1197.5008,871.1029,949.9097,858.1431,711.3053,670.4146,505.4346,1068.7538,19423.314,339,1922,6377,6099,3463,3502,3540,3266
"2022-12-23 10:",3508,0,113,0,-12.1,0,5.5,57,1.8,1,17,146.41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662.5042,305.7704,918.7214,3142.9464,2907.435,1709.7747,1475.498,1282.1655,1220.5226,1029.045,1060.7523,652.3792,489.3478,934.207,726.5686,337.4162,924.0024,4925.225,3040.0249,1789.1222,1474.3852,1127.7672,1074.2633,972.8842,955.1102,719.9326,596.1351,1367.7861,20464.4114,398,1792,6377,6099,3463,3502,3540,3266
"2022-06-14 20:",3508,0,113,0,20.6,0,5.2,53,0,9,8,424.36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,477.8825,220.5606,1622.7361,4713.3623,3988.2074,2161.9445,1744.1118,1327.7061,1331.5357,1148.2753,995.2619,683.103,477.8368,856.8952,367.8267,170.8174,1967.5598,7373.2024,4492.976,2106.6643,1500.8587,942.8656,1035.2411,1001.7398,922.4151,741.9353,614.64,1367.4233,28081.3274,617,2863,6377,6099,3463,3502,3540,3266
"2022-12-24 18:",3508,0,113,0,-5.2,0,1.5,48,1.6,1,46,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,858.3067,396.1411,1847.4484,4760.9737,4261.97,2323.0144,1691.1145,1133.0518,1327.6178,1005.6699,993.175,648.3971,467.9973,824.5332,1095.3105,508.659,2382.7611,6286.8784,4219.7924,2092.9268,1490.1356,1057.7779,1229.0519,1013.2111,982.6783,726.9903,627.3888,1153.716,27126.8058,779,3863,6377,6099,3463,3502,3540,3266
"2022-03-11 07:",3508,1,113,0,5.1,0,1.8,64,0,5,55,26.01,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.3678,260.477,920.8797,3406.0882,3385.9802,1900.4809,1369.685,977.1384,1119.2685,823.7665,827.5287,606.5547,454.9657,872.2087,425.7087,197.6976,1136.9517,5470.8771,3735.3983,1962.6254,1335.2616,875.3604,873.8146,806.8322,717.6796,649.1649,548.5487,1136.9591,22566.3967,453,2292,6377,6099,3463,3502,3540,3266
"2022-02-21 07:",3508,0,113,0,-7.9,0,1.6,60,0,0,27,62.41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.112,214.205,508.2473,2934.8105,3331.5302,1814.1917,1335.3895,1044.4305,1188.4952,869.128,888.9366,619.6327,451.8487,937.3698,313.6201,145.6442,791.7749,4967.3595,3584.5427,1931.8174,1332.1589,882.3647,875.5057,861.162,711.907,716.8836,575.6191,1181.3862,21231.8004,378,2288,6377,6099,3463,3502,3540,3266
"2022-01-19 13:",3508,0,113,0,-3.4,0,1.7,83,3.4,9,54,11.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,505.5753,233.3421,991.858,3008.9017,2812.0714,1755.1335,1521.9821,1220.7591,1319.1279,1179.5057,1083.1901,717.1207,523.0656,893.7891,533.3926,247.7062,1274.8893,4424.9453,3064.6372,1626.7993,1406.7868,1115.2424,1083.1428,1055.9578,1054.9605,797.5665,667.6001,1422.2171,19621.2573,418,1846,6377,6099,3463,3502,3540,3266
"2022-01-07 06:",3508,0,113,0,-5.7,0,1.6,59,0,0,72,32.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.6822,194.1609,504.684,2790.4047,3465.1617,1796.3543,1329.0456,889.2553,1069.0534,796.9496,740.2558,541.716,416.3324,835.42,327.4507,152.0672,639.5548,5104.3079,3665.7553,1957.4003,1242.349,773.0044,803.3708,717.7542,746.2684,641.3467,535.2116,1253.7399,21350.7788,170,830,6377,6099,3463,3502,3540,3266
"2022-09-20 19:",3508,2,113,0,20.9,0,2.4,53,0,2,27,436.81,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,432.0974,199.4292,1493.6732,5178.6645,3944.3188,2142.7913,1836.6174,1228.9145,1376.0451,1128.6296,1003.3057,705.3843,497.5826,843.9409,456.2248,211.8695,1985.7303,7379.5458,4410.103,2345.8632,1589.013,1043.9631,1230.8178,1064.7488,951.2471,810.3977,575.7235,1353.5727,28826.917,825,3157,6377,6099,3463,3502,3540,3266
"2022-11-28 11:",3508,2,113,0,12.9,0,3.5,45,0,7,39,166.41,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,577.2203,266.4094,1390.8713,4507.3967,3070.2619,1641.1289,1492.3956,1123.371,1235.0235,1051.7936,1056.0378,651.7482,475.3519,919.7819,364.5101,169.2773,1424.5609,6237.1281,2989.7333,1750.9648,1458.2532,1110.7233,1107.8747,979.8503,878.1427,758.8427,625.4135,1278.2543,23147.2625,365,1714,6377,6099,3463,3502,3540,3266
"2022-04-24 19:",3508,2,113,0,19.2,0,3.1,72,0,0,58,368.64,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,594.9208,274.5784,1547.9488,4706.4653,4467.5709,2262.4254,1605.1799,1033.2359,1055.3749,876.179,913.8705,632.8898,390.3895,899.0841,597.9662,277.6935,1781.329,7007.9105,4348.9579,2017.6901,1465.4612,848.8939,881.1652,840.1593,800.8065,693.7782,601.0642,1195.6091,27881.6612,445,2474,6377,6099,3463,3502,3540,3266
"2022-06-12 22:",3508,0,113,0,23.5,0,2,70,0,8,28,552.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,575.4866,265.6087,1313.941,4541.0417,4142.3545,2005.3653,1525.9606,1031.1453,997.6804,912.1689,801.7356,600.1333,430.1274,899.0492,416.5591,193.4486,1644.1847,6908.0701,4316.9465,2024.642,1432.081,864.5284,849.4705,809.6728,792.8295,709.144,594.7946,1365.9321,26896.4617,456,2397,6377,6099,3463,3502,3540,3266
"2022-07-17 23:",3508,0,113,0,24.9,0,1.2,75,0,3,12,620.01,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,450.3085,207.8345,914.3765,3915.7712,3869.4993,2040.3084,1440.1711,912.5582,905.7747,736.4194,791.3667,538.8997,383.3092,738.0348,354.1147,164.4495,1119.2081,5922.9621,4184.3849,1844.2578,1364.8407,687.8504,772.0117,751.4404,631.41,630.6407,466.6587,1174.1673,24582.1955,382,1431,6377,6099,3463,3502,3540,3266
"2022-04-15 14:",3508,2,113,0,18.3,0,4.4,31,0,0,44,334.89,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,499.569,230.5704,1534.8046,4154.1199,3033.0975,1826.2772,1548.8407,1207.4647,1210.4424,1106.4837,970.0127,723.175,479.5954,816.5556,495.983,230.333,1756.3067,5602.9533,3231.8048,1782.5273,1560.832,1255.4405,1209.2459,990.584,1036.2044,807.9465,687.4872,1267.8254,22740.4527,470,2204,6377,6099,3463,3502,3540,3266
"2022-03-22 03:",3508,0,113,0,2.8,0,1.2,58,0,5,23,7.84,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.8229,215.9182,879.7152,3527.1514,3587.5879,1845.6391,1363.912,890.6486,1001.9562,742.3285,684.2509,532.3727,426.7653,851.3788,320.9489,149.0475,1107.1206,5875.1041,3788.1626,1947.5129,1322.5789,811.1415,773.9947,739.836,674.4256,619.7011,502.8846,1279.1492,23257.6489,23,0,6377,6099,3463,3502,3540,3266
"2022-12-24 15:",3508,0,113,0,-2.6,0,2.5,42,1.6,0,49,6.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,807.9757,372.9112,1378.7958,3787.2825,3650.0394,2161.8119,1706.7145,1247.3725,1279.3645,970.2254,916.52,631.2771,484.624,970.6338,1366.5229,634.6091,1987.9353,5501.8648,3912.1169,2110.7682,1499.2712,1042.6283,1177.1948,1118.5239,998.705,768.904,584.8134,1207.6275,24329.8694,734,3437,6377,6099,3463,3502,3540,3266
"2022-10-20 18:",3508,3,113,0,16.2,0,1.6,53,0,0,41,262.44,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,444.938,205.3556,1408.5853,4687.7229,3658.6166,1980.8619,1772.7515,1292.814,1333.2402,1047.5455,1088.8285,769.9354,513.7836,926.1486,460.5903,213.8968,1961.2173,6694.0951,3943.1317,2164.3791,1549.5637,1050.2011,1252.1371,1092.4687,958.2875,858.3881,602.4714,1327.1232,26451.1225,1010,4279,6377,6099,3463,3502,3540,3266
"2022-03-15 11:",3508,2,113,0,7.2,0,1,74,0,7,44,51.84,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,688.0134,317.544,1420.4406,3786.4687,2930.4868,1685.445,1528.9307,1100.8621,1243.1712,1120.2139,999.8494,650.057,523.1058,1014.4538,372.561,173.0162,1633.1457,5415.8764,3272.3335,1771.4284,1507.0758,1155.8841,1194.318,974.5918,957.8411,706.9814,652.1677,1407.3881,21898.0453,312,1348,6377,6099,3463,3502,3540,3266
"2022-08-21 15:",3508,1,113,0,31.2,0,2.3,61,0,8,28,973.44,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,787.9428,363.6656,1046.0593,3409.241,3593.8048,2025.0426,1635.4973,1171.361,1061.5254,879.3862,807.3749,590.0269,386.875,814.5867,1138.1431,528.5506,1758.987,5365.9576,3864.358,2060.3416,1485.2797,1056.9919,1048.5524,976.4744,865.6896,743.9951,525.2988,1302.9017,23439.5226,519,2324,6377,6099,3463,3502,3540,3266
"2022-09-25 19:",3508,0,113,0,21.4,0,1,49,0,4,25,457.96,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,576.063,265.8747,1422.238,5040.6308,4170.5543,2169.554,1528.4847,1026.7998,1160.9085,907.9995,810.774,592.1287,420.2954,858.5971,598.7091,278.0389,1892.291,7012.1447,4409.2735,2007.8972,1428.7492,913.5293,943.385,843.2979,775.6217,689.9308,554.2468,1166.6722,27767.2884,494,2782,6377,6099,3463,3502,3540,3266
"2022-02-20 16:",3508,0,113,0,-0.6,0,3.6,25,0,0,49,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,607.0527,280.178,1281.589,3711.1825,3712.3069,2146.8853,1529.8057,1093.2299,1065.6679,808.0082,907.7852,614.4023,436.903,918.6956,664.0142,308.3664,1713.8926,5544.5787,4008.4944,1972.8453,1477.713,952.2458,1029.9231,880.2588,924.0333,712.5049,616.8008,1150.7875,24103.8118,364,2177,6377,6099,3463,3502,3540,3266
"2022-03-17 06:",3508,0,113,0,8.2,0,2,68,0,10,46,67.24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.3072,211.5258,832.3133,3440.4691,3485.0103,1854.9932,1327.562,947.3119,1029.2178,765.8984,779.7501,557.925,396.5886,893.6873,386.0962,179.3016,1145.1506,5800.7441,3935.3815,1940.625,1330.3348,856.4265,786.2202,737.5031,704.2227,621.5062,554.0588,1355.2623,23115.12,164,793,6377,6099,3463,3502,3540,3266
"2022-05-30 10:",3508,0,113,0,23.1,0,1.4,66,0,10,38,533.61,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665.4732,307.1408,1590.1681,3874.592,2874.5114,1685.5454,1536.486,1198.5214,1347.446,1103.7522,1059.1006,747.8594,543.22,921.2214,344.3635,159.9213,1581.5785,5507.3905,2999.5084,1715.8129,1433.2895,1126.2147,1263.8779,1060.7373,1039.0337,834.521,645.854,1491.8505,21627.1361,396,1784,6377,6099,3463,3502,3540,3266
