"timestamp","spot_number","return_num","station_dist","station_type","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_rent","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-12-16 05:",3500,0,29,1,-8.4,0,2.5,78,3.7,0,46,70.56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.0511,230.0812,221.9803,434.4973,780.9439,880.4759,816.0404,665.3674,579.5818,543.5075,591.7585,418.7076,331.7195,531.742,472.5965,186.0448,271.6509,653.5094,1076.001,928.5942,833.2066,597.4468,544.9347,517.2825,585.2522,636.9505,405.6781,847.134,6403.2687,151,0,6377,6099,3463,3502,3540,3266
"2022-07-18 08:",3500,11,29,1,24.3,0,2.6,85,0,8,29,590.49,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.7516,110.371,146.8003,435.2581,620.5832,686.1258,695.3635,646.0191,669.7506,506.8113,613.9947,450.412,354.1208,573.6385,188.783,74.3172,128.8013,565.0344,791.4908,778.5893,708.705,545.0799,513.3813,560.3852,590.0999,586.4825,338.6924,868.907,5281.1501,464,0,6377,6099,3463,3502,3540,3266
"2022-04-15 07:",3500,8,29,1,7.9,0,2.5,64,0,0,24,62.41,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.0866,155.5163,155.1597,449.0504,762.9989,753.6207,804.0742,639.2783,556.9701,528.405,580.414,398.9155,311.3077,552.3105,401.2585,157.9614,170.1834,637.4961,960.8935,928.7959,770.7803,538.4808,537.4941,567.5498,678.9045,599.1593,379.701,922.8777,6067.71,400,0,6377,6099,3463,3502,3540,3266
"2022-12-04 21:",3500,2,29,1,-4,0,2.3,38,0,3,15,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,625.8756,220.1694,245.6296,394.3132,793.5209,830.7734,805.6604,630.6974,597.1865,562.0684,609.3171,465.5316,359.2273,591.4479,447.7072,176.2466,271.7915,590.2574,1026.5217,882.8477,798.0927,568.5586,490.7626,538.5667,575.8214,580.796,383.6617,832.3867,6121.9874,122,0,6377,6099,3463,3502,3540,3266
"2022-04-14 02:",3500,0,29,1,12.2,0,4.8,49,0,10,6,148.84,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.6009,212.3338,233.5323,419.3186,767.6244,858.9231,794.7829,692.246,587.7379,539.7682,569.7926,472.9817,347.9073,617.9983,436.9803,172.0237,253.933,685.0249,1031.4064,963.4527,799.4257,582.063,596.3828,564.593,633.4835,627.7228,391.8029,887.7786,6319.9587,9,0,6377,6099,3463,3502,3540,3266
"2022-07-19 02:",3500,0,29,1,25.2,0,2.6,81,0,10,27,635.04,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.9343,213.1546,260.476,472.2846,772.9899,830.9562,740.9365,685.2596,612.979,572.4929,578.2492,449.5822,349.496,611.4432,506.0855,199.2283,261.2596,643.7149,1043.7988,993.0771,775.6135,590.6761,592.8827,542.4049,598.3202,636.8865,411.7636,908.1822,6273.3715,11,0,6377,6099,3463,3502,3540,3266
"2022-06-23 12:",3500,1,29,1,26.4,0,1.8,78,0,10,35,696.96,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366.1433,128.8013,99.7006,378.1384,563.497,550.1549,582.262,564.7148,583.8254,558.8403,720.7541,450.4325,337.9951,589.8293,231.717,91.2189,128.1945,486.094,607.6144,635.4501,519.6204,448.8372,509.7697,527.4704,602.2215,492.7364,334.0657,911.5919,4322.8312,169,0,6377,6099,3463,3502,3540,3266
"2022-09-18 06:",3500,1,29,1,23.1,0,1.2,91,0,7,24,533.61,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600.0067,211.069,253.632,507.6834,785.385,776.7819,794.3533,621.4874,584.9686,473.2407,634.9855,443.8694,311.0836,613.3517,553.3484,217.8342,254.7205,639.9823,887.2979,887.9718,706.4504,581.9245,502.722,507.1821,587.748,618.7765,401.3586,870.5588,5985.906,72,0,6377,6099,3463,3502,3540,3266
"2022-09-26 17:",3500,15,29,1,24.9,0,2.6,38,0,7,37,620.01,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,420.1587,147.8026,162.1734,405.8801,591.3963,576.8573,724.3453,602.6418,627.5809,573.7517,766.9693,458.3092,362.9255,581.5944,245.845,96.7807,141.7498,414.4001,584.895,728.5259,595.0129,474.9211,520.0747,533.8784,618.5663,587.8129,386.7953,897.8704,4621.3129,242,0,6377,6099,3463,3502,3540,3266
"2022-08-25 20:",3500,9,29,1,21.9,0,2.6,79,0,9,18,479.61,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,350.6173,123.3396,213.4007,400.0497,688.0393,850.4923,701.4799,594.169,600.0222,561.6946,653.4099,472.3817,358.2759,562.2128,415.3785,163.5201,162.0088,515.0378,816.8693,744.8173,740.8477,564.7506,553.483,524.9762,647.3309,595.4113,365.3924,917.1979,5457.6333,184,0,6377,6099,3463,3502,3540,3266
