"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-11-14 22:",3587,2,7.6,0,3.9,59,0,1,10,57.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1183.9827,643.9585,984.533,848.8724,1009.9052,1075.7246,1170.7458,1115.9986,1387.8451,1254.2989,1124.9448,761.2257,568.6088,1009.8647,1369.7665,715.9596,1108.678,1006.4058,1261.1936,1065.1726,1310.0572,1301.5095,1597.5661,1286.6057,1234.1917,1078.4941,728.2024,1529.8754,8748.0772,377,550,6377,6099,3463,3502,3540,3266
"2022-08-06 10:",501,6,28.8,0,2.9,80,0,9,33,829.44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,837.1718,432.1466,590.9867,776.5485,847.8058,701.7533,1045.3777,857.0867,922.2813,791.9463,726.081,553.0906,470.757,931.0721,714.0171,379.528,683.8519,862.8141,920.5653,901.9979,1115.7281,930.1682,1025.844,977.3524,1104.6645,916.2034,625.4906,1323.828,7172.5907,298,0,6377,6099,3463,3502,3540,3266
"2022-08-21 03:",505,1,26.3,0,1.1,85,0,3,29,691.69,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,471.3624,287.467,627.9457,954.5904,1239.7551,1189.5674,1088.5201,878.5742,975.6284,857.6028,883.5461,687.3016,473.3488,806.1115,459.2401,265.6395,533.7263,1116.695,1505.1549,1115.8746,1053.3931,911.9729,883.4672,868.4768,1042.8484,810.655,593.239,1346.7792,9263.5506,3,0,6377,6099,3463,3502,3540,3266
"2022-08-10 16:",501,1,27.6,0,3.9,74,0,10,30,761.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,929.2379,479.6709,600.1791,802.2694,745.4414,644.6463,863.0441,740.2795,817.7672,674.4825,655.85,457.0123,456.0619,861.6865,806.6458,428.7635,620.7385,862.9475,848.3727,772.7942,1139.4204,835.9853,1025.269,898.5364,1033.087,855.0102,647.7135,1282.0625,6678.936,413,0,6377,6099,3463,3502,3540,3266
"2022-12-17 10:",3873,1,-5.7,0,1.4,61,1.9,6,12,32.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,977.1998,457.148,461.931,572.2608,797.8539,863.7425,1010.8552,922.4648,821.6135,773.4425,748.7007,536.3208,449.8567,875.7635,800.7074,347.8057,487.0284,634.9371,927.6398,889.8154,1096.5661,918.1365,744.3239,689.4043,894.0477,695.2748,595.4434,1354.3073,6793.6708,384,0,6377,6099,3463,3502,3540,3266
"2022-02-05 18:",576,2,-5.1,0,4.5,41,0,0,29,26.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1514.6008,1280.4029,1479.2406,888.4933,799.2909,742.915,1081.673,1625.8796,1784.9174,1518.256,1188.0046,919.167,640.4678,1197.4707,1610.3851,1348.9461,1465.618,1252.5535,1010.797,962.0446,1596.221,1862.4492,2081.9074,1526.9453,1352.1456,975.8843,644.8022,1603.6871,8333.9883,141,386,6377,6099,3463,3502,3540,3266
"2022-07-20 19:",3863,0,27.9,0,1.9,69,0,10,30,778.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,413.3833,173.0135,335.891,1071.7475,1426.8169,1023.7625,975.0681,717.2056,838.344,620.3568,684.3504,473.3935,365.5729,658.1952,346.6745,169.8518,340.3299,1464.6404,1407.4446,1039.6083,885.6882,667.4122,608.2467,553.544,575.2174,519.6936,452.0773,1006.0526,9294.7765,562,0,6377,6099,3463,3502,3540,3266
"2022-02-10 02:",3860,0,-0.8,0,1.5,55,0,8,49,0.64,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.6252,190.4423,506.6777,2988.215,3674.0419,1839.9564,1297.7923,933.949,993.8488,719.679,737.5401,552.068,417.903,852.8995,353.8207,164.3131,750.5951,5016.5774,3891.4258,1910.248,1231.2005,762.2423,734.3639,725.2352,674.8006,658.9306,501.1534,1238.6715,21849.4573,23,0,6377,6099,3463,3502,3540,3266
"2022-11-23 01:",3873,0,10.4,0,0.5,69,0,10,32,108.16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964.8404,451.3662,456.987,590.7317,798.1998,953.1516,1046.923,919.6414,970.7811,774.0497,805.8446,637.6962,469.37,1074.8009,851.4063,369.8277,562.4835,683.3586,1019.3354,1026.7962,1176.8425,984.322,959.5729,832.2292,1033.0721,863.729,638.6437,1405.2233,7295.3388,5,0,6377,6099,3463,3502,3540,3266
"2022-04-24 08:",540,0,15.5,0.1,1.7,91,0,10,32,240.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,474.9945,198.7999,516.5953,1293.4078,1503.9456,1053.6475,937.979,640.9195,575.651,530.6133,582.1862,409.4362,274.7558,465.6256,325.0348,159.2496,425.9835,1669.8905,1394.3248,895.86,825.2314,567.4417,586.7581,442.8167,523.6969,453.7816,338.1417,854.4571,9574.2866,199,0,6377,6099,3463,3502,3540,3266
