"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-12-13 12:",3500,2,2.3,0,2.6,65,0,6,440,5.29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,459.8658,161.7707,230.5084,331.6695,593.0013,569.0571,708.3721,549.5905,623.0355,582.8364,560.8134,414.6961,331.1638,561.8075,310.1997,122.1149,173.5711,403.2636,602.2447,573.0989,550.0237,532.7136,545.8836,559.6925,588.5242,545.395,388.9192,839.1589,4330.7309,291,0,6377,6099,3463,3502,3540,3266
"2022-02-02 17:",3500,1,-0.8,0,3.2,38,0,0,17,0.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,673.112,236.786,215.939,415.627,641.2196,659.1275,741.5363,614.0196,672.8725,584.2168,735.6836,469.0364,331.4119,618.0103,453.4364,178.5022,277.1886,453.6113,744.4443,747.3042,734.6874,536.3904,543.5913,517.5677,625.7568,615.283,458.6226,907.7482,5137.5576,142,0,6377,6099,3463,3502,3540,3266
"2022-04-04 10:",3500,3,11.9,0,2,52,0,0,65,141.61,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.1865,95.3978,114.0324,413.1535,633.2197,583.7213,666.0936,522.9679,614.4736,582.9424,626.7775,397.0005,298.4522,566.0032,232.2499,91.4287,103.4647,472.4908,668.4423,758.9582,618.9807,480.8445,567.1881,546.8772,614.1234,496.619,352.6564,845.1991,4815.0601,205,0,6377,6099,3463,3502,3540,3266
"2022-11-08 23:",3500,1,10.1,0,1,77,0,0,46,102.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,632.9937,222.6734,197.1984,412.5248,789.4394,890.4152,778.1996,631.3644,613.2524,518.7904,567.455,391.23,342.365,548.4996,471.1757,185.4854,253.1915,660.9707,1047.6807,915.709,786.39,574.541,543.3736,526.2078,598.2717,580.1047,418.7055,881.6719,6281.3294,89,0,6377,6099,3463,3502,3540,3266
"2022-05-02 23:",3500,4,13.4,0,3.2,53,0,0,40,179.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,589.955,207.5334,228.0304,442.2845,784.5375,824.7919,764.3905,746.7631,577.8104,537.0484,626.617,464.4273,335.7414,574.5512,355.4793,139.9396,288.9628,699.1115,1009.0833,910.6859,826.5672,568.9206,614.6202,539.6858,616.787,595.3487,403.8475,864.9931,6261.4523,66,0,6377,6099,3463,3502,3540,3266
"2022-01-14 12:",3500,1,-2.3,0,1.5,33,0,0,23,5.29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,568.0853,199.8402,237.7783,423.7731,577.7477,572.0999,673.4881,589.0573,564.9151,568.2097,634.7476,492.543,324.8203,647.368,435.2456,171.3414,243.392,488.2795,634.7719,624.1453,671.4759,513.8723,578.3147,564.2121,585.4852,590.4538,338.7771,814.5775,4665.7814,215,0,6377,6099,3463,3502,3540,3266
"2022-04-21 09:",3500,2,15.2,0,1.7,52,0,7,55,231.04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.3884,77.8796,97.247,407.9113,596.5154,585.115,692.2885,664.0493,564.6687,526.2772,606.1535,443.3956,291.3048,467.4555,240.7575,94.7778,124.4219,588.5408,672.3794,661.7698,657.7804,506.7239,517.7781,637.6427,645.5524,522.1229,354.2603,883.9091,4862.3006,329,0,6377,6099,3463,3502,3540,3266
"2022-04-16 05:",3500,0,7.4,0,2.3,68,0,1,8,54.76,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,595.9236,209.6329,255.2079,460.8539,817.1181,887.9859,792.6294,681.6104,594.3091,528.3062,622.1149,447.2988,322.0338,587.7883,435.334,171.3756,254.6034,673.2367,1005.8143,907.4388,827.1767,545.1158,596.9573,538.2864,605.6531,611.7044,392.2347,929.5216,6372.2538,96,0,6377,6099,3463,3502,3540,3266
"2022-10-04 02:",3500,0,21.8,5.4,2.2,98,0,10,3,475.24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.7056,226.0897,257.1777,491.1478,736.5228,836.9747,789.934,654.2915,607.7528,514.05,591.5497,461.2776,338.5345,569.2384,440.3294,173.342,240.1833,602.1693,964.3484,881.1365,745.1336,627.9108,533.9292,528.6396,605.5693,623.4815,414.3316,901.1253,6047.3671,7,0,6377,6099,3463,3502,3540,3266
"2022-07-19 03:",3500,0,24.9,0,1.5,83,0,7,25,620.01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621.4172,218.6007,270.4102,480.0958,782.6813,854.9414,733.8789,693.1351,595.5946,564.9285,566.8612,458.6248,355.2607,621.2776,478.0781,188.2028,260.8654,639.8736,1056.6723,996.6401,797.501,596.4433,587.2862,540.668,592.261,629.7621,401.9059,918.3063,6342.2844,11,0,6377,6099,3463,3502,3540,3266
