"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-11-22 21:",3500,7,11.6,0,1.9,66,0,10,69,134.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,518.4253,182.3705,220.9737,430.2555,684.5351,770.5891,772.5478,617.1525,591.8578,600.3422,611.1498,460.1521,342.872,601.946,372.5482,146.6591,186.0392,584.8167,920.7919,815.9759,796.8454,557.3321,514.5231,579.4541,631.0486,588.4543,379.6475,871.0714,5776.3574,186,0,6377,6099,3463,3502,3540,3266
"2022-07-19 19:",3500,11,28,0,4.4,70,0,8,32,784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,492.0778,173.1024,194.0083,423.5836,644.5952,704.6929,770.0133,637.8999,629.8252,585.591,736.2695,518.2546,340.7306,544.4328,344.5009,135.618,218.3737,450.3025,810.7883,800.8794,683.4459,480.0586,579.96,583.6022,650.981,578.6898,389.1022,881.5077,5288.3011,294,0,6377,6099,3463,3502,3540,3266
"2022-06-20 11:",3500,1,25.1,0,0.5,72,0,9,16,630.01,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,278.7159,98.0461,136.0234,380.9431,573.0466,566.5447,641.4237,594.446,635.5546,528.6639,702.9453,432.2119,346.5146,544.6685,336.1542,132.3321,140.6005,514.2346,633.2123,647.7616,575.3723,471.9325,563.5321,582.8275,570.7368,525.1227,365.2433,910.4172,4532.5389,190,0,6377,6099,3463,3502,3540,3266
"2022-08-15 04:",3500,0,27.3,0,5,85,0,9,25,745.29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563.9659,198.3907,232.1522,516.5934,704.0929,802.5805,720.5996,671.8574,542.7331,502.9381,580.3211,431.2471,319.3596,557.5472,463.9218,182.6298,275.385,547.9319,902.6314,872.1411,761.8444,567.1627,524.9079,509.7912,555.0845,586.4831,388.3023,898.713,5828.4152,28,0,6377,6099,3463,3502,3540,3266
"2022-10-11 07:",3500,17,7.6,0,1.4,82,0,3,14,57.76,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.8242,165.9774,128.1875,471.4491,716.2668,780.1294,769.1343,673.1058,658.4681,534.9582,609.1836,448.1118,332.24,553.4522,545.1995,214.6258,204.0304,646.9036,922.4567,904.6517,730.5085,651.6306,529.4673,578.2005,632.0219,572.2073,391.3237,927.8778,5941.5001,408,0,6377,6099,3463,3502,3540,3266
"2022-11-02 11:",3500,1,13.4,0,1.4,44,0,0,57,179.56,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,245.9304,86.5129,124.8167,302.5699,543.7838,528.3187,602.2119,563.4228,624.4109,592.1986,623.6192,409.6599,319.0618,543.6751,247.2181,97.3212,119.4662,412.152,612.8125,665.9011,576.8311,500.4897,502.877,545.6007,508.9162,512.4521,364.8437,752.6082,4244.581,196,0,6377,6099,3463,3502,3540,3266
"2022-11-30 10:",3500,2,-5.8,0,4.3,43,0,0,47,33.64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.8388,128.3423,97.6076,387.2237,575.1048,566.0318,620.4561,541.9759,609.4904,524.4267,587.9679,416.3984,291.9257,561.917,307.6078,121.0943,110.6903,473.4933,651.9907,596.4733,578.0568,533.5016,508.2393,538.4941,571.1726,545.6035,354.2356,819.1145,4448.8305,214,0,6377,6099,3463,3502,3540,3266
"2022-11-26 12:",3500,2,8.7,0,4,39,0,0,125,75.69,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,520.5683,183.1246,271.0492,447.0388,699.953,683.7426,703.1743,627.9431,596.245,538.9889,608.1406,382.6964,337.3859,531.7463,500.0368,196.8473,204.4038,502.5954,801.2036,693.1675,711.629,567.5651,549.9973,544.7777,578.0164,469.0323,383.5475,853.426,5242.5042,245,0,6377,6099,3463,3502,3540,3266
"2022-02-11 23:",3500,1,3.5,0,1.9,65,0,9,125,12.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,725.6043,255.2516,207.1125,505.218,831.0028,878.6212,810.4014,723.6827,615.5842,499.4257,591.0876,435.5637,338.2646,606.4765,463.1419,182.3227,292.5459,670.8644,1021.4351,958.4884,810.6572,506.6017,598.7715,527.6953,635.3912,617.1904,454.5773,873.528,6486.6885,50,0,6377,6099,3463,3502,3540,3266
"2022-10-08 19:",3500,5,17.2,0,2.2,56,0,5,10,295.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,533.3554,187.623,247.9322,423.1971,587.1985,645.5045,673.6047,594.722,564.8834,560.1771,647.4583,443.9761,332.2885,602.5165,401.881,158.2065,197.0473,489.5875,670.2145,616.7762,663.9108,464.0831,503.4204,543.1176,655.2811,534.1059,396.3016,832.3719,4769.9938,301,0,6377,6099,3463,3502,3540,3266
